,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,69502310.472,,69502310.472,,0.0,,0.0,,20973269.679,,28638.034,,1.127,,0.172,,198797.469,
1,2026.0,76736585.587,0.104,76736585.587,0.104,0.0,,0.0,,21462813.082,0.023,29301.634,0.023,1.216,0.079,0.172,0.0,202667.734,0.019
2,2026.9999999999995,84723853.46,0.104,84723853.46,0.104,0.0,,0.0,,21963783.065,0.023,29980.611,0.023,1.312,0.079,0.173,0.006,206613.347,0.019
3,2027.999999999999,93542490.72,0.104,93542490.72,0.104,0.0,,0.0,,22476446.34,0.023,30675.322,0.023,1.416,0.079,0.173,0.0,210635.774,0.019
4,2029.0,103279031.969,0.104,103279031.969,0.104,0.0,,0.0,,23001075.842,0.023,31386.13,0.023,1.528,0.079,0.174,0.006,214736.512,0.019
5,2030.0,114029018.924,0.104,114029018.924,0.104,0.0,,0.0,,23537950.879,0.023,32113.41,0.023,1.649,0.079,0.175,0.006,218917.084,0.019
6,2031.0000000000007,125897937.934,0.104,125897937.934,0.104,0.0,,0.0,,24087357.278,0.023,32857.541,0.023,1.779,0.079,0.175,0.0,223179.045,0.019
7,2032.0000000000005,139002255.089,0.104,139002255.089,0.104,0.0,,0.0,,24649587.538,0.023,33618.916,0.023,1.92,0.079,0.176,0.006,227523.98,0.019
8,2033.0000000000007,147992893.059,0.065,147339769.362,0.06,0.0,,0.0,,25276499.553,0.025,34475.152,0.025,1.993,0.038,0.178,0.011,229716.755,0.01
9,2034.0000000000002,157565043.69,0.065,156177377.28,0.06,0.0,,0.0,,25919355.798,0.025,35353.195,0.025,2.07,0.039,0.181,0.017,231930.663,0.01
10,2034.9999999999993,167756319.102,0.065,165545075.03,0.06,0.0,,0.0,,26578561.781,0.025,36253.6,0.025,2.149,0.038,0.184,0.017,234165.908,0.01
11,2035.9999999999998,178606764.164,0.065,175474658.008,0.06,0.0,,0.0,,27254533.325,0.025,37176.939,0.025,2.231,0.038,0.187,0.016,236422.695,0.01
12,2036.999999999999,190159013.835,0.065,185999828.731,0.06,0.0,,0.0,,27947696.827,0.025,38123.793,0.025,2.316,0.038,0.19,0.016,238701.232,0.01
13,2038.0000000000005,202458460.697,0.065,197156311.235,0.06,0.0,,0.0,,28658489.529,0.025,39094.763,0.025,2.405,0.038,0.193,0.016,241001.728,0.01
14,2038.999999999999,215553433.314,0.065,208981972.323,0.06,0.0,,0.0,,29387359.795,0.025,40090.462,0.025,2.497,0.038,0.196,0.016,243324.396,0.01
15,2039.9999999999998,229495386.133,0.065,221516950.09,0.06,3989218.022,inf,3989218.022,inf,30134767.391,0.025,41111.52,0.025,2.592,0.038,0.199,0.015,245669.448,0.01
16,2041.0000000000002,244957940.488,0.067,233509631.747,0.054,4921747.755,0.234,4921747.755,0.234,30674453.994,0.018,41847.453,0.018,2.718,0.049,0.201,0.01,247662.053,0.008
17,2041.9999999999995,261462304.837,0.067,246151583.87,0.054,6072268.005,0.234,6072268.005,0.234,31223805.899,0.018,42596.56,0.018,2.85,0.049,0.203,0.01,249670.82,0.008
18,2043.0,279078672.505,0.067,259477957.24,0.054,7491736.791,0.234,7491736.791,0.234,31782996.203,0.018,43359.077,0.018,2.989,0.049,0.205,0.01,251695.88,0.008
19,2044.0000000000002,297881966.181,0.067,273525805.664,0.054,9243024.204,0.234,9243024.204,0.234,32352201.103,0.018,44135.243,0.018,3.134,0.049,0.207,0.01,253737.364,0.008
20,2044.9999999999993,317952156.571,0.067,288334189.0,0.054,11403697.009,0.234,11403697.009,0.234,32931599.95,0.018,44925.304,0.018,3.286,0.049,0.209,0.01,255795.408,0.008
21,2045.9999999999993,339374602.511,0.067,303944281.764,0.054,14069454.174,0.234,14069454.174,0.234,33521375.311,0.018,45729.507,0.018,3.446,0.049,0.211,0.01,257870.143,0.008
22,2046.9999999999995,362240414.004,0.067,320399487.612,0.054,17358365.502,0.234,17358365.502,0.234,34121713.018,0.018,46548.106,0.018,3.614,0.049,0.213,0.009,259961.707,0.008
23,2048.0,386646839.707,0.067,337745560.03,0.054,21416101.092,0.234,21416101.092,0.234,34732802.234,0.018,47381.359,0.018,3.789,0.048,0.215,0.009,262070.235,0.008
24,2049.000000000001,412697680.535,0.067,356030729.544,0.054,26422383.256,0.234,26422383.256,0.234,35354835.509,0.018,48229.528,0.018,3.974,0.049,0.217,0.009,264195.866,0.008
25,2049.999999999999,440503731.126,0.067,375305837.827,0.054,32598946.649,0.234,32598946.649,0.234,35988008.841,0.018,49092.88,0.018,4.167,0.049,0.219,0.009,266338.737,0.008
