,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,37463782.242,,37463782.242,,0.0,,0.0,,10815465.519,,14295.152,,1.355,,0.12,,162578.203,
1,2026.0,41712054.416,0.113,41378219.804,0.104,0.0,,0.0,,11410509.566,0.055,15084.673,0.055,1.429,0.055,0.124,0.033,166259.429,0.023
2,2026.9999999999995,46442066.965,0.113,45701660.955,0.104,0.0,,0.0,,12038291.678,0.055,15917.8,0.055,1.508,0.055,0.128,0.032,170024.009,0.023
3,2027.999999999999,51708447.694,0.113,50476840.811,0.104,0.0,,0.0,,12700613.035,0.055,16796.94,0.055,1.591,0.055,0.132,0.031,173873.83,0.023
4,2029.0,57572019.026,0.113,55750959.703,0.104,0.0,,0.0,,13399373.912,0.055,17724.635,0.055,1.679,0.055,0.136,0.03,177810.822,0.023
5,2030.0,64100500.451,0.113,61576149.733,0.104,0.0,,0.0,,14136579.136,0.055,18703.567,0.055,1.772,0.055,0.141,0.037,181836.958,0.023
6,2031.0000000000007,71369290.631,0.113,68009990.072,0.104,0.0,,0.0,,14914343.832,0.055,19736.565,0.055,1.869,0.055,0.145,0.028,185954.257,0.023
7,2032.0000000000005,79462338.193,0.113,75116076.105,0.104,2173131.044,inf,2173131.044,inf,15734899.498,0.055,20826.616,0.055,1.972,0.055,0.15,0.034,190164.783,0.023
8,2033.0000000000007,85009092.278,0.07,80048888.886,0.066,2451181.782,0.128,2451181.782,0.128,16082444.587,0.022,21290.828,0.022,2.064,0.047,0.152,0.013,192082.731,0.01
9,2034.0000000000002,90943029.543,0.07,85305635.546,0.066,2764808.935,0.128,2764808.935,0.128,16437666.089,0.022,21765.387,0.022,2.16,0.047,0.154,0.013,194020.022,0.01
10,2034.9999999999993,97291176.755,0.07,90907588.565,0.066,3118564.483,0.128,3118564.483,0.128,16800733.557,0.022,22250.523,0.022,2.26,0.046,0.155,0.006,195976.853,0.01
11,2035.9999999999998,104082447.24,0.07,96877417.369,0.066,3517582.83,0.128,3517582.83,0.128,17171820.289,0.022,22746.473,0.022,2.365,0.046,0.157,0.013,197953.42,0.01
12,2036.999999999999,111347772.582,0.07,103239280.067,0.066,3967655.32,0.128,3967655.32,0.128,17551103.411,0.022,23253.477,0.022,2.475,0.047,0.159,0.013,199949.922,0.01
13,2038.0000000000005,119120243.496,0.07,110018921.212,0.066,4475314.3,0.128,4475314.3,0.128,17938763.96,0.022,23771.782,0.022,2.59,0.046,0.161,0.013,201966.56,0.01
14,2038.999999999999,127435260.55,0.07,117243775.981,0.066,5047927.924,0.128,5047927.924,0.128,18334986.975,0.022,24301.639,0.022,2.711,0.047,0.163,0.012,204003.537,0.01
15,2039.9999999999998,136330695.394,0.07,124943081.198,0.066,5693807.098,0.128,5693807.098,0.128,18739961.578,0.022,24843.307,0.022,2.837,0.046,0.165,0.012,206061.059,0.01
16,2041.0000000000002,145654151.178,0.068,131658051.281,0.054,6621497.644,0.163,6665365.007,0.171,19202364.636,0.025,25473.588,0.025,2.956,0.042,0.168,0.018,208092.662,0.01
17,2041.9999999999995,155615224.393,0.068,138733912.281,0.054,7700336.574,0.163,7802703.869,0.171,19676177.353,0.025,26119.859,0.025,3.08,0.042,0.17,0.012,210144.295,0.01
18,2043.0,166257520.758,0.068,146190060.004,0.054,8954950.459,0.163,9134111.576,0.171,20161681.261,0.025,26782.526,0.025,3.209,0.042,0.173,0.018,212216.155,0.01
19,2044.0000000000002,177627628.121,0.068,154046932.669,0.054,10413978.264,0.163,10692702.899,0.171,20659164.835,0.025,27462.005,0.025,3.344,0.042,0.176,0.017,214308.443,0.01
20,2044.9999999999993,189775320.407,0.068,162326066.929,0.054,12110725.1,0.163,12517243.121,0.171,21168923.671,0.025,28158.723,0.025,3.484,0.042,0.178,0.011,216421.359,0.01
21,2045.9999999999993,202753775.505,0.068,171050156.911,0.054,14083922.468,0.163,14653112.204,0.171,21691260.656,0.025,28873.117,0.025,3.63,0.042,0.181,0.017,218555.106,0.01
22,2046.9999999999995,216619808.063,0.068,180243116.42,0.054,16378612.381,0.163,17153433.484,0.171,22226486.154,0.025,29605.635,0.025,3.782,0.042,0.184,0.017,220709.891,0.01
23,2048.0,231434118.198,0.068,189930144.486,0.054,19047175.54,0.163,20080394.948,0.171,22774918.184,0.025,30356.737,0.025,3.941,0.042,0.187,0.016,222885.92,0.01
24,2049.000000000001,247261557.218,0.068,200137794.448,0.054,22150527.018,0.163,23506795.981,0.171,23336882.613,0.025,31126.895,0.025,4.106,0.042,0.19,0.016,225083.403,0.01
25,2049.999999999999,264171411.518,0.068,210894046.729,0.054,25759506.764,0.163,27517858.025,0.171,23912713.349,0.025,31916.592,0.025,4.279,0.042,0.193,0.016,227302.551,0.01
