,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,141660605.511,,141660605.511,,0.0,,0.0,,50453423.535,,20214.022,,1.038,,0.158,,161387.54,
1,2026.0,156059510.0,0.102,155896017.85,0.1,0.0,,0.0,,52510493.626,0.041,21026.53,0.04,1.099,0.059,0.16,0.013,165311.918,0.024
2,2026.9999999999995,171921972.051,0.102,171561940.553,0.1,0.0,,0.0,,54651433.891,0.041,21871.696,0.04,1.164,0.059,0.163,0.019,169331.723,0.024
3,2027.999999999999,189396753.034,0.102,188802124.982,0.1,0.0,,0.0,,56879663.855,0.041,22750.835,0.04,1.233,0.059,0.165,0.012,173449.276,0.024
4,2029.0,208647734.967,0.102,207774768.01,0.1,0.0,,0.0,,59198742.465,0.041,23665.31,0.04,1.306,0.059,0.168,0.018,177666.953,0.024
5,2030.0,229855457.445,0.102,228653963.644,0.1,0.0,,0.0,,61612373.772,0.041,24616.543,0.04,1.383,0.059,0.17,0.012,181987.19,0.024
6,2031.0000000000007,253218810.764,0.102,251631300.523,0.1,0.0,,0.0,,64124412.846,0.041,25606.011,0.04,1.465,0.059,0.173,0.018,186412.479,0.024
7,2032.0000000000005,278956901.166,0.102,276917619.944,0.1,1019640.611,inf,1019640.611,inf,66738871.936,0.041,26635.251,0.04,1.551,0.059,0.176,0.017,190945.376,0.024
8,2033.0000000000007,299347613.658,0.073,295484344.278,0.067,1395568.693,0.369,1395568.695,0.369,68159590.17,0.021,27214.768,0.022,1.629,0.05,0.177,0.006,193344.201,0.013
9,2034.0000000000002,321228811.435,0.073,315295927.111,0.067,1910096.515,0.369,1910096.519,0.369,69610552.253,0.021,27806.893,0.022,1.711,0.05,0.179,0.011,195773.163,0.013
10,2034.9999999999993,344709443.428,0.073,336435833.498,0.067,2614323.977,0.369,2614323.985,0.369,71092402.005,0.021,28411.902,0.022,1.797,0.05,0.181,0.011,198232.64,0.013
11,2035.9999999999998,369906422.334,0.073,358993124.646,0.067,3578190.842,0.369,3578190.856,0.369,72605796.957,0.021,29030.075,0.022,1.887,0.05,0.182,0.006,200723.015,0.013
12,2036.999999999999,396945206.733,0.073,383062833.12,0.067,4897422.742,0.369,4897422.766,0.369,74151408.632,0.021,29661.697,0.022,1.982,0.05,0.184,0.011,203244.676,0.013
13,2038.0000000000005,425960425.757,0.073,408746363.214,0.067,6703038.093,0.369,6703038.132,0.369,75729922.851,0.021,30307.062,0.022,2.081,0.05,0.186,0.011,205798.016,0.013
14,2038.999999999999,457096549.433,0.073,436151918.159,0.067,9174360.074,0.369,9174360.136,0.369,77342040.034,0.021,30966.469,0.022,2.186,0.05,0.187,0.005,208383.434,0.013
15,2039.9999999999998,490508608.005,0.073,465394955.977,0.067,12556825.966,0.369,12556826.063,0.369,78988475.513,0.021,31640.222,0.022,2.296,0.05,0.189,0.011,211001.332,0.013
16,2041.0000000000002,526126993.561,0.073,493406534.894,0.06,14875150.604,0.185,15211518.776,0.211,80508333.205,0.019,32239.9,0.019,2.417,0.053,0.19,0.005,213361.771,0.011
17,2041.9999999999995,564331815.662,0.073,523104098.034,0.06,17621499.741,0.185,18427451.516,0.211,82057435.258,0.019,32850.944,0.019,2.544,0.053,0.192,0.011,215748.615,0.011
18,2043.0,605310888.942,0.073,554589122.819,0.06,20874898.103,0.185,22323278.457,0.211,83636344.376,0.019,33473.568,0.019,2.678,0.053,0.193,0.005,218162.161,0.011
19,2044.0000000000002,649265666.232,0.073,587969194.479,0.06,24728960.486,0.185,27042738.96,0.211,85245634.093,0.019,34107.994,0.019,2.819,0.053,0.195,0.01,220602.707,0.011
20,2044.9999999999993,696412228.903,0.073,623358373.67,0.06,29294585.472,0.185,32759960.947,0.211,86885888.977,0.019,34754.443,0.019,2.968,0.053,0.196,0.005,223070.554,0.011
21,2045.9999999999993,746982349.121,0.073,660877586.23,0.06,34703146.479,0.185,39685885.474,0.211,88557704.844,0.019,35413.145,0.019,3.124,0.053,0.198,0.01,225566.009,0.011
22,2046.9999999999995,801224629.237,0.073,700655036.38,0.06,41110271.953,0.185,48076049.553,0.211,90261688.977,0.019,36084.331,0.019,3.288,0.052,0.2,0.01,228089.381,0.011
23,2048.0,859405723.911,0.073,742826644.802,0.06,48700323.503,0.185,58240014.378,0.211,91998460.341,0.019,36768.239,0.019,3.461,0.053,0.201,0.005,230640.98,0.011
24,2049.000000000001,921811650.991,0.073,787536513.088,0.06,57691700.798,0.185,70552786.81,0.211,93768649.811,0.019,37465.108,0.019,3.644,0.053,0.203,0.01,233221.125,0.011
25,2049.999999999999,988749197.568,0.073,834937416.134,0.06,68343125.91,0.185,85468655.525,0.211,95572900.404,0.019,38175.185,0.019,3.836,0.053,0.204,0.005,235830.132,0.011
