,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,22042031.388,,22042031.388,,0.0,,0.0,,18002709.75,,17011.27,,0.486,,0.165,,130287.664,
1,2026.0,24659488.734,0.119,24659488.734,0.119,0.0,,0.0,,18609942.542,0.034,17578.087,0.033,0.526,0.082,0.165,0.0,134400.09,0.032
2,2026.9999999999995,27587765.115,0.119,27587765.115,0.119,0.0,,0.0,,19237657.343,0.034,18163.791,0.033,0.57,0.084,0.165,0.0,138642.322,0.032
3,2027.999999999999,30863769.816,0.119,30863769.816,0.119,0.0,,0.0,,19886545.012,0.034,18769.011,0.033,0.617,0.082,0.165,0.0,143018.457,0.032
4,2029.0,34528795.039,0.119,34528795.039,0.119,0.0,,0.0,,20557319.713,0.034,19394.397,0.033,0.668,0.083,0.166,0.006,147532.72,0.032
5,2030.0,38629036.374,0.119,38629036.374,0.119,0.0,,0.0,,21250719.696,0.034,20040.621,0.033,0.723,0.082,0.166,0.0,152189.473,0.032
6,2031.0000000000007,43216175.065,0.119,43216175.065,0.119,0.0,,0.0,,21967508.115,0.034,20708.377,0.033,0.783,0.083,0.166,0.0,156993.213,0.032
7,2032.0000000000005,48348029.424,0.119,48348029.424,0.119,0.0,,0.0,,22708473.862,0.034,21398.383,0.033,0.848,0.083,0.167,0.006,161948.578,0.032
8,2033.0000000000007,53003451.026,0.096,53003451.026,0.096,0.0,,0.0,,23101522.923,0.017,21765.999,0.017,0.914,0.078,0.166,-0.006,164838.949,0.018
9,2034.0000000000002,58107142.196,0.096,58107142.196,0.096,0.0,,0.0,,23501375.063,0.017,22139.932,0.017,0.985,0.078,0.166,0.0,167780.906,0.018
10,2034.9999999999993,63702266.718,0.096,63702266.718,0.096,0.0,,0.0,,23908148.034,0.017,22520.288,0.017,1.062,0.078,0.166,0.0,170775.369,0.018
11,2035.9999999999998,69836144.605,0.096,69836144.605,0.096,0.0,,0.0,,24321961.626,0.017,22907.179,0.017,1.144,0.077,0.166,0.0,173823.275,0.018
12,2036.999999999999,76560652.306,0.096,76560652.306,0.096,0.0,,0.0,,24742937.699,0.017,23300.717,0.017,1.233,0.078,0.166,0.0,176925.579,0.018
13,2038.0000000000005,83932661.442,0.096,83932661.442,0.096,0.0,,0.0,,25171200.227,0.017,23701.015,0.017,1.329,0.078,0.166,0.0,180083.251,0.018
14,2038.999999999999,92014519.789,0.096,92014519.789,0.096,0.0,,0.0,,25606875.326,0.017,24108.19,0.017,1.432,0.078,0.166,0.0,183297.28,0.018
15,2039.9999999999998,100874578.58,0.096,100874578.58,0.096,0.0,,0.0,,26050091.297,0.017,24522.361,0.017,1.544,0.078,0.166,0.0,186568.671,0.018
16,2041.0000000000002,109115402.005,0.082,109115402.005,0.082,0.0,,0.0,,26684000.365,0.024,25117.183,0.024,1.63,0.056,0.167,0.006,189440.817,0.015
17,2041.9999999999995,118029449.266,0.082,118029449.266,0.082,0.0,,0.0,,27333335.125,0.024,25726.433,0.024,1.722,0.056,0.169,0.012,192357.178,0.015
18,2043.0,127671718.548,0.082,127671718.548,0.082,0.0,,0.0,,27998470.951,0.024,26350.462,0.024,1.818,0.056,0.17,0.006,195318.436,0.015
19,2044.0000000000002,138101701.044,0.082,138101701.044,0.082,0.0,,0.0,,28679792.349,0.024,26989.627,0.024,1.92,0.056,0.172,0.012,198325.281,0.015
20,2044.9999999999993,149383748.008,0.082,149383748.008,0.082,0.0,,0.0,,29377693.183,0.024,27644.295,0.024,2.028,0.056,0.173,0.006,201378.415,0.015
21,2045.9999999999993,161587467.788,0.082,161587467.788,0.082,0.0,,0.0,,30092576.9,0.024,28314.844,0.024,2.142,0.056,0.175,0.012,204478.551,0.015
22,2046.9999999999995,174788155.3,0.082,174788155.3,0.082,0.0,,0.0,,30824856.766,0.024,29001.658,0.024,2.262,0.056,0.176,0.006,207626.412,0.015
23,2048.0,189067256.585,0.082,189067256.585,0.082,0.0,,0.0,,31574956.103,0.024,29705.131,0.024,2.389,0.056,0.178,0.011,210822.733,0.015
24,2049.000000000001,204512871.317,0.082,204512871.317,0.082,0.0,,0.0,,32343308.534,0.024,30425.668,0.024,2.523,0.056,0.179,0.006,214068.26,0.015
25,2049.999999999999,221220296.363,0.082,221220296.363,0.082,0.0,,0.0,,33130358.235,0.024,31163.683,0.024,2.664,0.056,0.181,0.011,217363.751,0.015
