,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,123342009.388,,123342009.388,,0.0,,0.0,,50651349.669,,20172.801,,0.905,,0.159,,160490.538,
1,2026.0,136359645.811,0.106,136359645.811,0.106,0.0,,0.0,,52526924.226,0.037,20907.54,0.036,0.966,0.067,0.161,0.013,164500.397,0.025
2,2026.9999999999995,150751176.326,0.106,150751176.325,0.106,0.0,,0.0,,54471949.645,0.037,21669.04,0.036,1.03,0.066,0.163,0.012,168610.442,0.025
3,2027.999999999999,166661603.061,0.106,166661603.06,0.106,0.0,,0.0,,56488997.631,0.037,22458.275,0.036,1.099,0.067,0.165,0.012,172823.177,0.025
4,2029.0,184251231.81,0.106,184251231.808,0.106,0.0,,0.0,,58580735.115,0.037,23276.256,0.036,1.172,0.066,0.166,0.006,177141.167,0.025
5,2030.0,203697287.197,0.106,203697287.195,0.106,0.0,,0.0,,60749927.782,0.037,24124.03,0.036,1.25,0.067,0.168,0.012,181567.042,0.025
6,2031.0000000000007,225195698.307,0.106,225195698.305,0.106,0.0,,0.0,,62999443.731,0.037,25002.682,0.036,1.334,0.067,0.17,0.012,186103.497,0.025
7,2032.0000000000005,248963072.773,0.106,248963072.77,0.106,0.001,inf,0.001,inf,65332257.259,0.037,25913.336,0.036,1.423,0.067,0.172,0.012,190753.297,0.025
8,2033.0000000000007,264374771.946,0.062,263652920.066,0.059,0.022,21.0,0.022,21.0,66758340.366,0.022,26486.424,0.022,1.478,0.039,0.174,0.012,193227.84,0.013
9,2034.0000000000002,280740510.081,0.062,279209528.89,0.059,0.336,14.273,0.336,14.273,68215552.246,0.022,27072.186,0.022,1.536,0.039,0.175,0.006,195734.485,0.013
10,2034.9999999999993,298119345.58,0.062,295684041.746,0.059,5.15,14.327,5.15,14.327,69704572.383,0.022,27670.903,0.022,1.596,0.039,0.177,0.011,198273.648,0.013
11,2035.9999999999998,316573992.772,0.062,313130618.753,0.059,78.923,14.325,78.923,14.325,71226095.094,0.022,28282.861,0.022,1.658,0.039,0.178,0.006,200845.749,0.013
12,2036.999999999999,336171048.224,0.062,331606615.703,0.059,1209.603,14.326,1209.603,14.326,72780829.848,0.022,28908.353,0.022,1.722,0.039,0.18,0.011,203451.217,0.013
13,2038.0000000000005,356981231.069,0.062,351172772.614,0.059,18538.755,14.326,18538.755,14.326,74369501.605,0.022,29547.678,0.022,1.789,0.039,0.182,0.011,206090.485,0.013
14,2038.999999999999,379079638.204,0.062,371893413.418,0.059,284130.828,14.326,284130.828,14.326,75992851.147,0.022,30201.141,0.022,1.859,0.039,0.183,0.005,208763.99,0.013
15,2039.9999999999998,402546015.292,0.062,393836657.42,0.059,4354678.936,14.326,4354678.936,14.326,77651635.426,0.022,30869.057,0.022,1.931,0.039,0.185,0.011,211472.177,0.013
16,2041.0000000000002,430744359.766,0.07,419742252.205,0.066,5160146.628,0.185,5160146.631,0.185,79037335.669,0.018,31425.684,0.018,2.03,0.051,0.186,0.005,213918.923,0.012
17,2041.9999999999995,460917997.998,0.07,447351852.518,0.066,6114598.483,0.185,6114598.491,0.185,80447763.854,0.018,31992.348,0.018,2.134,0.051,0.187,0.005,216393.978,0.012
18,2043.0,493205299.296,0.07,476777543.599,0.066,7245591.514,0.185,7245591.527,0.185,81883361.253,0.018,32569.23,0.018,2.243,0.051,0.188,0.005,218897.67,0.012
19,2044.0000000000002,527754325.737,0.07,508138783.377,0.066,8585779.839,0.185,8585779.861,0.185,83344577.014,0.018,33156.514,0.018,2.357,0.051,0.19,0.011,221430.329,0.012
20,2044.9999999999993,564723511.146,0.07,541562887.428,0.066,10173857.484,0.185,10173857.516,0.185,84831868.299,0.018,33754.388,0.018,2.478,0.051,0.191,0.005,223992.292,0.012
21,2045.9999999999993,604282387.635,0.07,577185545.827,0.066,12055675.552,0.185,12055675.597,0.185,86345700.427,0.018,34363.043,0.018,2.604,0.051,0.192,0.005,226583.897,0.012
22,2046.9999999999995,646612363.039,0.07,615151374.005,0.066,14285566.045,0.185,14285566.107,0.185,87886547.022,0.018,34982.673,0.018,2.737,0.051,0.193,0.005,229205.486,0.012
23,2048.0,691907552.81,0.07,655614499.837,0.066,16927910.538,0.185,16927910.623,0.185,89454890.159,0.018,35613.476,0.018,2.877,0.051,0.195,0.01,231857.408,0.012
24,2049.000000000001,740375670.186,0.07,698739189.345,0.066,20058999.013,0.185,20058999.125,0.185,91051220.517,0.018,36255.653,0.018,3.024,0.051,0.196,0.005,234540.012,0.012
25,2049.999999999999,792238978.715,0.07,744700513.56,0.066,23769232.504,0.185,23769232.652,0.185,92676037.531,0.018,36909.411,0.018,3.179,0.051,0.197,0.005,237253.655,0.012
