,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,23345078.462,,23345078.462,,0.0,,0.0,,20402107.6,,19284.055,,0.454,,0.167,,145617.058,
1,2026.0,26183631.609,0.122,26183631.609,0.122,0.0,,0.0,,21067653.063,0.033,19906.708,0.032,0.494,0.088,0.167,0.0,150213.661,0.032
2,2026.9999999999995,29367327.48,0.122,29367327.48,0.122,0.0,,0.0,,21754909.556,0.033,20549.466,0.032,0.536,0.085,0.167,0.0,154955.361,0.032
3,2027.999999999999,32938132.35,0.122,32938132.35,0.122,0.0,,0.0,,22464585.323,0.033,21212.977,0.032,0.583,0.088,0.167,0.0,159846.74,0.032
4,2029.0,36943115.216,0.122,36943115.216,0.122,0.0,,0.0,,23197411.713,0.033,21897.912,0.032,0.633,0.086,0.167,0.0,164892.522,0.032
5,2030.0,41435068.247,0.122,41435068.247,0.122,0.0,,0.0,,23954143.93,0.033,22604.962,0.032,0.688,0.087,0.167,0.0,170097.581,0.032
6,2031.0000000000007,46473202.669,0.122,46473202.669,0.122,0.0,,0.0,,24735561.818,0.033,23334.842,0.032,0.747,0.086,0.168,0.006,175466.944,0.032
7,2032.0000000000005,52123929.263,0.122,52123929.263,0.122,0.0,,0.0,,25542470.657,0.033,24088.288,0.032,0.812,0.087,0.168,0.0,181005.799,0.032
8,2033.0000000000007,56670124.725,0.087,56670124.725,0.087,0.0,,0.0,,25974829.508,0.017,24489.791,0.017,0.868,0.069,0.167,-0.006,184235.663,0.018
9,2034.0000000000002,61612834.677,0.087,61612834.677,0.087,0.0,,0.0,,26414506.921,0.017,24897.987,0.017,0.929,0.07,0.167,0.0,187523.16,0.018
10,2034.9999999999993,66986642.704,0.087,66986642.704,0.087,0.0,,0.0,,26861626.779,0.017,25312.986,0.017,0.993,0.069,0.167,0.0,190869.319,0.018
11,2035.9999999999998,72829148.735,0.087,72829148.735,0.087,0.0,,0.0,,27316315.061,0.017,25734.902,0.017,1.062,0.069,0.167,0.0,194275.187,0.018
12,2036.999999999999,79181232.13,0.087,79181232.13,0.087,0.0,,0.0,,27778699.876,0.017,26163.85,0.017,1.136,0.07,0.167,0.0,197741.829,0.018
13,2038.0000000000005,86087337.7,0.087,86087337.7,0.087,0.0,,0.0,,28248911.506,0.017,26599.949,0.017,1.215,0.07,0.167,0.0,201270.33,0.018
14,2038.999999999999,93595786.69,0.087,93595786.69,0.087,0.0,,0.0,,28727082.435,0.017,27043.316,0.017,1.299,0.069,0.166,-0.006,204861.793,0.018
15,2039.9999999999998,101759114.874,0.087,101759114.874,0.087,0.0,,0.0,,29213347.39,0.017,27494.073,0.017,1.389,0.069,0.166,0.0,208517.342,0.018
16,2041.0000000000002,110716164.622,0.088,110716164.622,0.088,0.0,,0.0,,29749548.663,0.018,27998.236,0.018,1.484,0.068,0.167,0.006,211729.029,0.015
17,2041.9999999999995,120461632.59,0.088,120461632.59,0.088,0.0,,0.0,,30295591.733,0.018,28511.644,0.018,1.586,0.069,0.167,0.0,214990.185,0.015
18,2043.0,131064916.995,0.088,131064916.995,0.088,0.0,,0.0,,30851657.241,0.018,29034.467,0.018,1.694,0.068,0.168,0.006,218301.57,0.015
19,2044.0000000000002,142601524.632,0.088,142601524.632,0.088,0.0,,0.0,,31417929.147,0.018,29566.877,0.018,1.81,0.068,0.168,0.0,221663.959,0.015
20,2044.9999999999993,155153608.56,0.088,155153608.56,0.088,0.0,,0.0,,31994594.785,0.018,30109.049,0.018,1.934,0.069,0.169,0.006,225078.137,0.015
21,2045.9999999999993,168810553.121,0.088,168810553.121,0.088,0.0,,0.0,,32581844.93,0.018,30661.163,0.018,2.066,0.068,0.169,0.0,228544.902,0.015
22,2046.9999999999995,183669610.457,0.088,183669610.457,0.088,0.0,,0.0,,33179873.855,0.018,31223.402,0.018,2.208,0.069,0.17,0.006,232065.063,0.015
23,2048.0,199836593.043,0.088,199836593.043,0.088,0.0,,0.0,,33788879.402,0.018,31795.95,0.018,2.359,0.068,0.17,0.0,235639.444,0.015
24,2049.000000000001,217426627.19,0.088,217426627.19,0.088,0.0,,0.0,,34409063.044,0.018,32378.998,0.018,2.52,0.068,0.171,0.006,239268.88,0.015
25,2049.999999999999,236564972.867,0.088,236564972.867,0.088,0.0,,0.0,,35040629.95,0.018,32972.736,0.018,2.693,0.069,0.171,0.0,242954.217,0.015
