,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,36213559.186,,36213559.186,,0.0,,0.0,,11831163.588,,15831.958,,1.182,,0.132,,165524.885,
1,2026.0,40166913.345,0.109,40166913.344,0.109,0.0,,0.0,,12467152.222,0.054,16682.05,0.054,1.245,0.053,0.136,0.03,169326.566,0.023
2,2026.9999999999995,44551846.433,0.109,44551846.432,0.109,0.0,,0.0,,13137328.662,0.054,17577.788,0.054,1.31,0.052,0.14,0.029,173215.562,0.023
3,2027.999999999999,49415472.967,0.109,49415472.966,0.109,0.0,,0.0,,13843530.689,0.054,18521.623,0.054,1.379,0.053,0.144,0.029,177193.878,0.023
4,2029.0,54810050.853,0.109,54810050.852,0.109,0.0,,0.0,,14587694.87,0.054,19516.136,0.054,1.452,0.053,0.148,0.028,181263.566,0.023
5,2030.0,60793542.875,0.109,60793542.873,0.109,0.0,,0.0,,15371861.875,0.054,20564.05,0.054,1.528,0.052,0.153,0.034,185426.724,0.023
6,2031.0000000000007,67430239.487,0.109,67430239.484,0.109,0.0,,0.0,,16198182.072,0.054,21668.231,0.054,1.609,0.053,0.157,0.026,189685.499,0.023
7,2032.0000000000005,74791449.588,0.109,74791449.585,0.109,0.001,inf,0.001,inf,17068921.421,0.054,22831.701,0.054,1.693,0.052,0.162,0.032,194042.087,0.023
8,2033.0000000000007,79049913.42,0.057,78285710.684,0.047,0.022,21.0,0.022,21.0,17463059.753,0.023,23361.635,0.023,1.749,0.033,0.164,0.012,196066.293,0.01
9,2034.0000000000002,83550844.998,0.057,81943223.875,0.047,0.336,14.273,0.336,14.273,17866299.131,0.023,23903.87,0.023,1.807,0.033,0.166,0.012,198111.615,0.01
10,2034.9999999999993,88308049.913,0.057,85771616.306,0.047,5.15,14.327,5.15,14.327,18278849.705,0.023,24458.691,0.023,1.866,0.033,0.168,0.012,200178.274,0.01
11,2035.9999999999998,93336119.815,0.057,89778871.465,0.047,78.923,14.325,78.923,14.325,18700926.482,0.023,25026.389,0.023,1.928,0.033,0.17,0.012,202266.491,0.01
12,2036.999999999999,98650477.173,0.057,93973345.831,0.047,1209.603,14.326,1209.603,14.326,19132749.431,0.023,25607.264,0.023,1.991,0.033,0.173,0.018,204376.492,0.01
13,2038.0000000000005,104267422.578,0.057,98363786.296,0.047,18538.755,14.326,18538.755,14.326,19574543.6,0.023,26201.621,0.023,2.057,0.033,0.175,0.012,206508.505,0.01
14,2038.999999999999,110204184.739,0.057,102959348.407,0.047,284130.828,14.326,284130.828,14.326,20026539.234,0.023,26809.773,0.023,2.125,0.033,0.177,0.011,208662.758,0.01
15,2039.9999999999998,116478973.333,0.057,107769615.462,0.047,4354678.936,14.326,4354678.936,14.326,20488971.896,0.023,27432.041,0.023,2.195,0.033,0.179,0.011,210839.484,0.01
16,2041.0000000000002,124017808.966,0.065,114666364.648,0.064,4674194.445,0.073,4674194.45,0.073,20854361.507,0.018,27925.455,0.018,2.296,0.046,0.181,0.011,212990.798,0.01
17,2041.9999999999995,132044578.523,0.065,122004473.387,0.064,5017153.74,0.073,5017153.75,0.073,21226267.284,0.018,28427.744,0.018,2.401,0.046,0.182,0.006,215164.064,0.01
18,2043.0,140590862.415,0.065,129812186.617,0.064,5385276.96,0.073,5385276.976,0.073,21604805.435,0.018,28939.067,0.018,2.511,0.046,0.183,0.005,217359.505,0.01
19,2044.0000000000002,149690285.022,0.065,138119556.821,0.064,5780410.455,0.073,5780410.478,0.073,21990094.237,0.018,29459.587,0.018,2.627,0.046,0.185,0.011,219577.348,0.01
20,2044.9999999999993,159378646.983,0.065,146958559.698,0.064,6204536.049,0.073,6204536.08,0.073,22382254.078,0.018,29989.47,0.018,2.747,0.046,0.186,0.005,221817.82,0.01
21,2045.9999999999993,169694066.053,0.065,156363217.24,0.064,6659780.976,0.073,6659781.016,0.073,22781407.493,0.018,30528.883,0.018,2.873,0.046,0.188,0.011,224081.153,0.01
22,2046.9999999999995,180677127.074,0.065,166369728.692,0.064,7148428.553,0.073,7148428.603,0.073,23187679.201,0.018,31077.999,0.018,3.005,0.046,0.189,0.005,226367.58,0.01
23,2048.0,192371041.645,0.065,177016609.874,0.064,7672929.629,0.073,7672929.69,0.073,23601196.146,0.018,31636.992,0.018,3.143,0.046,0.191,0.011,228677.337,0.01
24,2049.000000000001,204821818.139,0.065,188344841.443,0.064,8235914.881,0.073,8235914.954,0.073,24022087.536,0.018,32206.039,0.018,3.288,0.046,0.192,0.005,231010.662,0.01
25,2049.999999999999,218078442.718,0.065,200398026.622,0.064,8840208.004,0.073,8840208.092,0.073,24450484.883,0.018,32785.321,0.018,3.438,0.046,0.194,0.01,233367.795,0.01
