,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,63783371.741,,63783371.741,,0.0,,0.0,,18418078.481,,25171.838,,1.177,,0.172,,174370.937,
1,2026.0,69979006.748,0.097,69979006.748,0.097,0.0,,0.0,,18978859.53,0.03,25924.78,0.03,1.253,0.065,0.174,0.012,177802.745,0.02
2,2026.9999999999995,76776458.374,0.097,76776458.374,0.097,0.0,,0.0,,19556714.856,0.03,26700.245,0.03,1.335,0.065,0.175,0.006,181302.095,0.02
3,2027.999999999999,84234184.428,0.097,84234184.428,0.097,0.0,,0.0,,20152164.326,0.03,27498.904,0.03,1.422,0.065,0.177,0.011,184870.316,0.02
4,2029.0,92416321.051,0.097,92416321.051,0.097,0.0,,0.0,,20765743.634,0.03,28321.454,0.03,1.515,0.065,0.179,0.011,188508.764,0.02
5,2030.0,101393234.285,0.097,101393234.285,0.097,0.0,,0.0,,21398004.785,0.03,29168.608,0.03,1.614,0.065,0.181,0.011,192218.82,0.02
6,2031.0000000000007,111242125.222,0.097,111242125.222,0.097,0.0,,0.0,,22049516.591,0.03,30041.101,0.03,1.72,0.066,0.182,0.006,196001.894,0.02
7,2032.0000000000005,122047693.922,0.097,122047693.922,0.097,0.0,,0.0,,22720865.182,0.03,30939.693,0.03,1.832,0.065,0.184,0.011,199859.422,0.02
8,2033.0000000000007,128500963.044,0.053,128500963.044,0.053,0.0,,0.0,,23316757.444,0.026,31758.738,0.026,1.879,0.026,0.187,0.016,201773.645,0.01
9,2034.0000000000002,135295448.628,0.053,135295448.628,0.053,0.0,,0.0,,23928277.965,0.026,32599.464,0.026,1.927,0.026,0.19,0.016,203706.202,0.01
10,2034.9999999999993,142449192.487,0.053,142449192.487,0.053,0.0,,0.0,,24555836.624,0.026,33462.446,0.026,1.977,0.026,0.194,0.021,205657.268,0.01
11,2035.9999999999998,149981190.395,0.053,149981190.395,0.053,0.0,,0.0,,25199854.046,0.026,34348.274,0.026,2.028,0.026,0.197,0.015,207627.022,0.01
12,2036.999999999999,157911442.526,0.053,157911442.526,0.053,0.0,,0.0,,25860761.89,0.026,35257.551,0.026,2.08,0.026,0.2,0.015,209615.641,0.01
13,2038.0000000000005,166261006.563,0.053,166261006.563,0.053,0.0,,0.0,,26539003.135,0.026,36190.899,0.026,2.133,0.025,0.203,0.015,211623.307,0.01
14,2038.999999999999,175052053.615,0.053,175052053.615,0.053,0.0,,0.0,,27235032.379,0.026,37148.955,0.026,2.188,0.026,0.207,0.02,213650.203,0.01
15,2039.9999999999998,184307927.085,0.053,184307927.085,0.053,0.0,,0.0,,27949316.14,0.026,38132.373,0.026,2.244,0.026,0.21,0.014,215696.511,0.01
16,2041.0000000000002,195807483.614,0.062,194002647.777,0.053,0.0,,0.0,,28433357.693,0.017,38810.673,0.018,2.343,0.044,0.212,0.01,217431.783,0.008
17,2041.9999999999995,208024533.972,0.062,204207317.285,0.053,0.0,,0.0,,28925782.142,0.017,39501.039,0.018,2.445,0.044,0.214,0.009,219181.014,0.008
18,2043.0,221003844.877,0.062,214948759.26,0.053,0.0,,0.0,,29426734.667,0.017,40203.685,0.018,2.553,0.044,0.216,0.009,220944.318,0.008
19,2044.0000000000002,234792976.183,0.062,226255208.293,0.053,0.0,,0.0,,29936362.963,0.017,40918.829,0.018,2.665,0.044,0.219,0.014,222721.808,0.008
20,2044.9999999999993,249442455.155,0.062,238156384.136,0.053,0.0,,0.0,,30454817.28,0.017,41646.695,0.018,2.781,0.044,0.221,0.009,224513.598,0.008
21,2045.9999999999993,265005961.614,0.062,250683569.817,0.053,0.0,,0.0,,30982250.473,0.017,42387.508,0.018,2.903,0.044,0.223,0.009,226319.803,0.008
22,2046.9999999999995,281540524.638,0.062,263869693.875,0.053,0.0,,0.0,,31518818.042,0.017,43141.499,0.018,3.03,0.044,0.225,0.009,228140.538,0.008
23,2048.0,299106731.526,0.062,277749416.91,0.053,0.0,,0.0,,32064678.182,0.017,43908.901,0.018,3.163,0.044,0.227,0.009,229975.921,0.008
24,2049.000000000001,317768949.813,0.062,292359222.694,0.053,0.0,,0.0,,32619991.827,0.017,44689.955,0.018,3.302,0.044,0.229,0.009,231826.07,0.008
25,2049.999999999999,337595563.13,0.062,307737514.07,0.053,14929024.5,inf,14929024.56,inf,33184922.698,0.017,45484.901,0.018,3.447,0.044,0.232,0.013,233691.103,0.008
