,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,205373290.866,,205373290.866,,0.0,,0.0,,89154141.617,,83340016.936,,2665972.083,,777100.261,,2371052.337,,23737.503,,0.952,,0.848,,2.544,,2.544,,4.239,,0.163,,181654.956,
1,2026.0,230358164.807,0.122,230283857.949,0.121,0.0,,0.0,,92608722.167,0.039,86570005.575,0.039,2768234.477,0.038,806576.421,0.038,2463901.851,0.039,24599.355,0.036,1.03,0.082,0.918,0.083,2.755,0.083,2.755,0.083,4.592,0.083,0.164,0.006,186909.761,0.029
2,2026.9999999999995,258382596.246,0.122,258215929.678,0.121,0.0,,0.0,,96197162.194,0.039,89925178.093,0.039,2874419.492,0.038,837170.639,0.038,2560387.317,0.039,25492.498,0.036,1.115,0.083,0.995,0.084,2.985,0.083,2.985,0.083,4.974,0.083,0.165,0.006,192316.573,0.029
3,2027.999999999999,289816365.304,0.122,289535996.719,0.121,0.0,,0.0,,99924648.539,0.039,93410386.211,0.039,2984677.593,0.038,868925.326,0.038,2660651.117,0.039,26418.07,0.036,1.207,0.083,1.078,0.083,3.233,0.083,3.233,0.083,5.388,0.083,0.167,0.012,197879.791,0.029
4,2029.0,325074238.043,0.122,324655002.89,0.121,0.0,,0.0,,103796569.025,0.039,97030669.687,0.039,3099165.017,0.038,901884.498,0.038,2764841.209,0.039,27377.246,0.036,1.306,0.082,1.167,0.083,3.502,0.083,3.502,0.083,5.837,0.083,0.168,0.006,203603.937,0.029
5,2030.0,364621439.263,0.122,364033737.069,0.121,0.0,,0.0,,107818520.244,0.039,100791263.604,0.039,3218043.994,0.038,936093.844,0.038,2873111.346,0.039,28371.248,0.036,1.414,0.083,1.265,0.084,3.794,0.083,3.794,0.083,6.323,0.083,0.169,0.006,209493.669,0.029
6,2031.0000000000007,408979791.11,0.122,408188879.102,0.121,0.0,,0.0,,111996315.646,0.039,104697605.939,0.039,3341482.977,0.038,971600.783,0.038,2985621.301,0.039,29401.34,0.036,1.531,0.083,1.37,0.083,4.109,0.083,4.109,0.083,6.849,0.083,0.17,0.006,215553.775,0.029
7,2032.0000000000005,458734598.478,0.122,457699779.047,0.121,517409.715,inf,517409.715,inf,116335993.946,0.039,108755345.428,0.039,3469656.881,0.038,1008454.534,0.038,3102537.104,0.039,30468.831,0.036,1.657,0.082,1.484,0.083,4.451,0.083,4.451,0.083,7.419,0.083,0.171,0.006,221789.184,0.029
8,2033.0000000000007,495512972.208,0.08,490124063.202,0.071,857333.188,0.657,857333.188,0.657,118618638.359,0.02,110861162.93,0.019,3541156.624,0.021,1030229.795,0.022,3185492.039,0.027,31103.108,0.021,1.753,0.058,1.571,0.059,4.713,0.059,4.713,0.059,7.855,0.059,0.172,0.006,225102.28,0.015
9,2034.0000000000002,535239998.12,0.08,524845342.573,0.071,1420576.716,0.657,1420576.716,0.657,120946070.85,0.02,113007755.138,0.019,3614129.773,0.021,1052475.243,0.022,3270665.005,0.027,31750.588,0.021,1.855,0.058,1.663,0.059,4.99,0.059,4.99,0.059,8.316,0.059,0.173,0.006,228464.867,0.015
