,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,45055178.471,,44674905.972,,185462.648,,194809.851,,20665470.458,,28134.14,,0.744,,0.168,,199893.446,
1,2026.0,51579662.996,0.145,51134502.076,0.145,208822.631,0.126,234300.957,0.203,21227273.686,0.027,28904.614,0.027,0.829,0.114,0.168,0.0,205400.775,0.028
2,2026.9999999999995,59048964.515,0.145,58528098.619,0.145,235124.926,0.126,281797.549,0.203,21804349.871,0.027,29696.189,0.027,0.923,0.113,0.168,0.0,211059.838,0.028
3,2027.999999999999,67599902.903,0.145,66990743.802,0.145,264740.13,0.126,338922.467,0.203,22397114.219,0.027,30509.442,0.027,1.029,0.115,0.168,0.0,216874.816,0.028
4,2029.0,77389111.055,0.145,76677012.598,0.145,298085.524,0.126,407627.53,0.203,23005993.222,0.027,31344.966,0.027,1.146,0.114,0.167,-0.006,222850.004,0.028
5,2030.0,88595904.027,0.145,87763830.154,0.145,335630.943,0.126,490260.22,0.203,23631424.966,0.027,32203.372,0.027,1.278,0.115,0.167,0.0,228989.816,0.028
6,2031.0000000000007,101425563.666,0.145,100453703.428,0.145,377905.403,0.126,589643.892,0.203,24273859.448,0.027,33085.285,0.027,1.424,0.114,0.167,0.0,235298.789,0.028
7,2032.0000000000005,116113098.884,0.145,114978420.093,0.145,425504.55,0.126,709174.241,0.203,24933758.898,0.027,33991.351,0.027,1.586,0.114,0.167,0.0,241781.582,0.028
8,2033.0000000000007,128348312.526,0.105,125242753.661,0.089,661154.497,0.554,1050624.755,0.481,24988320.647,0.002,34074.821,0.002,1.749,0.103,0.166,-0.006,244975.268,0.013
9,2034.0000000000002,141872790.293,0.105,136423403.034,0.089,1027310.447,0.554,1556475.564,0.481,25043001.792,0.002,34158.497,0.002,1.929,0.103,0.164,-0.012,248211.139,0.013
10,2034.9999999999993,156822386.126,0.105,148602169.398,0.089,1596248.319,0.554,2305881.494,0.481,25097802.594,0.002,34242.377,0.002,2.127,0.103,0.162,-0.012,251489.753,0.013
11,2035.9999999999998,173347269.335,0.105,161868156.48,0.089,2480271.375,0.554,3416108.54,0.481,25152723.315,0.002,34326.464,0.002,2.345,0.102,0.16,-0.012,254811.674,0.013
12,2036.999999999999,191613433.058,0.105,176318422.459,0.089,3853877.885,0.554,5060883.478,0.481,25207764.217,0.002,34410.757,0.002,2.586,0.103,0.159,-0.006,258177.474,0.013
13,2038.0000000000005,211804361.668,0.105,192058690.074,0.089,5988205.524,0.554,7497578.393,0.481,25262925.563,0.002,34495.257,0.002,2.851,0.102,0.157,-0.013,261587.733,0.013
14,2038.999999999999,234122873.879,0.105,209204120.13,0.089,9304551.538,0.554,11107483.901,0.481,25318207.617,0.002,34579.965,0.002,3.144,0.103,0.155,-0.013,265043.038,0.013
15,2039.9999999999998,258793160.073,0.105,227880154.042,0.089,14457533.058,0.554,16455472.974,0.481,25373610.643,0.002,34664.881,0.002,3.467,0.103,0.154,-0.006,268543.984,0.013
16,2041.0000000000002,279669905.263,0.081,244340215.224,0.072,16302262.751,0.128,18613766.585,0.131,26034614.452,0.026,35557.823,0.026,3.652,0.053,0.156,0.013,271716.021,0.012
17,2041.9999999999995,302230769.499,0.081,261989206.681,0.072,18382373.378,0.128,21055141.17,0.131,26712837.964,0.026,36473.766,0.026,3.848,0.054,0.158,0.013,274925.526,0.012
18,2043.0,326611610.019,0.081,280913006.295,0.072,20727898.709,0.128,23816725.523,0.131,27408729.766,0.026,37413.304,0.026,4.054,0.054,0.16,0.013,278172.942,0.012
19,2044.0000000000002,352959243.614,0.081,301203695.013,0.072,23372704.712,0.128,26940518.234,0.131,28122750.132,0.026,38377.043,0.026,4.271,0.054,0.162,0.012,281458.716,0.012
20,2044.9999999999993,381432330.728,0.081,322960004.899,0.072,26354978.535,0.128,30474026.416,0.131,28855371.327,0.026,39365.608,0.026,4.499,0.053,0.165,0.019,284783.302,0.012
21,2045.9999999999993,412202330.885,0.081,346287799.558,0.072,29717779.87,0.128,34470988.195,0.131,29607077.918,0.026,40379.637,0.026,4.74,0.054,0.167,0.012,288147.157,0.012
22,2046.9999999999995,445454535.179,0.081,371300589.247,0.072,33509662.671,0.128,38992189.968,0.131,30378367.095,0.026,41419.787,0.026,4.994,0.054,0.169,0.012,291550.747,0.012
23,2048.0,481389182.068,0.081,398120083.212,0.072,37785376.203,0.128,44106390.857,0.131,31169749.001,0.026,42486.73,0.026,5.261,0.053,0.172,0.018,294994.539,0.012
24,2049.000000000001,520222663.171,0.081,426876781.904,0.072,42606655.543,0.128,49891368.399,0.131,31981747.069,0.026,43581.157,0.026,5.543,0.054,0.174,0.012,298479.01,0.012
25,2049.999999999999,562188826.334,0.081,457710611.981,0.072,48043112.945,0.128,56435101.408,0.131,32814898.366,0.026,44703.776,0.026,5.84,0.054,0.176,0.011,302004.639,0.012
