,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,56565475.117,,56565475.117,,0.0,,0.0,,17526500.965,,24005.321,,1.218,,0.146,,221340.999,
1,2026.0,62940535.863,0.113,62940535.863,0.113,0.0,,0.0,,18366877.349,0.048,25163.644,0.048,1.293,0.062,0.15,0.027,226517.87,0.023
2,2026.9999999999995,70034080.798,0.113,70034080.798,0.113,0.0,,0.0,,19247548.852,0.048,26377.858,0.048,1.372,0.061,0.154,0.027,231815.821,0.023
3,2027.999999999999,77927084.763,0.113,77927084.763,0.113,0.0,,0.0,,20170447.583,0.048,27650.663,0.048,1.457,0.062,0.157,0.019,237237.684,0.023
4,2029.0,86709648.653,0.113,86709648.653,0.113,0.0,,0.0,,21137598.289,0.048,28984.883,0.048,1.546,0.061,0.161,0.025,242786.357,0.023
5,2030.0,96482027.941,0.113,96482027.941,0.113,0.0,,0.0,,22151122.805,0.048,30383.483,0.048,1.641,0.061,0.165,0.025,248464.806,0.023
6,2031.0000000000007,107355777.127,0.113,107355777.127,0.113,0.0,,0.0,,23213244.703,0.048,31849.57,0.048,1.742,0.062,0.169,0.024,254276.066,0.023
7,2032.0000000000005,119455023.164,0.113,119455023.164,0.113,0.0,,0.0,,24326294.174,0.048,33386.399,0.048,1.85,0.062,0.173,0.024,260223.244,0.023
8,2033.0000000000007,128704562.0,0.077,127783335.541,0.07,0.0,,0.0,,24925723.293,0.025,34198.383,0.024,1.945,0.051,0.176,0.017,262917.331,0.01
9,2034.0000000000002,138670303.189,0.077,136692291.454,0.07,0.0,,0.0,,25539923.066,0.025,35030.116,0.024,2.046,0.052,0.178,0.011,265639.31,0.01
10,2034.9999999999993,149407703.097,0.077,146222372.924,0.07,0.0,,0.0,,26169257.46,0.025,35882.078,0.024,2.152,0.052,0.18,0.011,268389.469,0.01
11,2035.9999999999998,160976512.139,0.077,156416884.347,0.07,0.0,,0.0,,26814099.409,0.025,36754.759,0.024,2.264,0.052,0.183,0.017,271168.101,0.01
12,2036.999999999999,173441107.275,0.077,167322149.269,0.07,0.0,,0.0,,27474831.039,0.025,37648.665,0.024,2.381,0.052,0.185,0.011,273975.5,0.01
13,2038.0000000000005,186870850.245,0.077,178987720.877,0.07,0.0,,0.0,,28151843.89,0.025,38564.312,0.024,2.505,0.052,0.188,0.016,276811.964,0.01
14,2038.999999999999,201340473.546,0.077,191466607.169,0.07,0.0,,0.0,,28845539.152,0.025,39502.228,0.024,2.635,0.052,0.191,0.016,279677.793,0.01
15,2039.9999999999998,216930496.3,0.077,204815511.819,0.07,6057492.241,inf,6057492.241,inf,29556327.898,0.025,40462.954,0.024,2.771,0.052,0.193,0.01,282573.293,0.01
16,2041.0000000000002,233458787.908,0.076,217355155.375,0.061,7325298.779,0.209,7325298.779,0.209,29982837.274,0.014,41055.475,0.015,2.939,0.061,0.194,0.005,285009.207,0.009
17,2041.9999999999995,251246397.26,0.076,230662527.21,0.061,8858451.661,0.209,8858451.661,0.209,30415501.348,0.014,41656.673,0.015,3.118,0.061,0.196,0.01,287466.12,0.009
18,2043.0,270389273.85,0.076,244784630.791,0.061,10712486.713,0.209,10712486.713,0.209,30854408.933,0.014,42266.674,0.015,3.307,0.061,0.197,0.005,289944.213,0.009
19,2044.0000000000002,290990677.719,0.076,259771347.328,0.061,12954563.162,0.209,12954563.162,0.209,31299650.127,0.014,42885.607,0.015,3.508,0.061,0.198,0.005,292443.668,0.009
20,2044.9999999999993,313161736.461,0.076,275675611.964,0.061,15665896.372,0.209,15665896.372,0.209,31751316.325,0.014,43513.604,0.015,3.72,0.06,0.199,0.005,294964.67,0.009
21,2045.9999999999993,337022044.664,0.076,292553600.747,0.061,18944699.722,0.209,18944699.722,0.209,32209500.243,0.014,44150.797,0.015,3.946,0.061,0.2,0.005,297507.404,0.009
22,2046.9999999999995,362700309.027,0.076,310464929.053,0.061,22909742.221,0.209,22909742.221,0.209,32674295.934,0.014,44797.321,0.015,4.185,0.061,0.201,0.005,300072.058,0.009
23,2048.0,390335042.621,0.076,329472862.155,0.061,27704650.713,0.209,27704650.713,0.209,33145798.81,0.014,45453.312,0.015,4.439,0.061,0.203,0.01,302658.82,0.009
24,2049.000000000001,420075312.058,0.076,349644538.685,0.061,33503112.506,0.209,33503112.506,0.209,33624105.656,0.014,46118.91,0.015,4.708,0.061,0.204,0.005,305267.881,0.009
25,2049.999999999999,452081541.579,0.076,371051207.777,0.061,40515166.901,0.209,40515166.901,0.209,34109314.657,0.014,46794.254,0.015,4.994,0.061,0.205,0.005,307899.433,0.009
