,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,172877192.598,,172877192.598,,0.0,,0.0,,76391237.943,,71579069.198,,2253121.212,,652280.659,,1906766.875,,26090.763,,1.068,,0.954,,2.862,,2.862,,4.77,,0.165,,195108.949,
1,2026.0,194003284.965,0.122,193500033.721,0.119,0.0,,0.0,,79406759.792,0.039,74403974.857,0.039,2341714.439,0.039,677861.525,0.039,1983206.598,0.04,27089.512,0.038,1.154,0.081,1.032,0.082,3.095,0.081,3.095,0.081,5.159,0.082,0.167,0.012,200575.968,0.028
2,2026.9999999999995,217711046.852,0.122,216583011.831,0.119,0.0,,0.0,,82541318.486,0.039,77340366.905,0.039,2433791.171,0.039,704445.611,0.039,2062710.687,0.04,28126.494,0.038,1.247,0.081,1.116,0.081,3.348,0.082,3.348,0.082,5.58,0.082,0.168,0.006,206196.175,0.028
3,2027.999999999999,244315965.731,0.122,242419601.237,0.119,0.0,,0.0,,85799612.971,0.039,80392645.212,0.039,2529488.382,0.039,732072.26,0.039,2145401.988,0.04,29203.171,0.038,1.348,0.081,1.207,0.082,3.621,0.082,3.621,0.082,6.035,0.082,0.17,0.012,211973.861,0.028
4,2029.0,274172082.557,0.122,271338285.339,0.119,0.0,,0.0,,89186527.682,0.039,83565383.289,0.039,2628948.427,0.039,760782.36,0.039,2231408.272,0.04,30321.063,0.038,1.457,0.081,1.305,0.081,3.916,0.081,3.916,0.081,6.527,0.082,0.172,0.012,217913.441,0.028
5,2030.0,307676703.111,0.122,303706732.934,0.119,0.0,,0.0,,92707139.862,0.039,86863335.145,0.039,2732319.264,0.039,790618.4,0.039,2320862.432,0.04,31481.747,0.038,1.575,0.081,1.412,0.082,4.236,0.082,4.236,0.082,7.06,0.082,0.174,0.012,224019.449,0.028
6,2031.0000000000007,345275685.09,0.122,339936472.71,0.119,0.0,,0.0,,96366727.183,0.039,90291442.408,0.039,2839754.665,0.039,821624.537,0.039,2413902.69,0.04,32686.862,0.038,1.702,0.081,1.527,0.081,4.581,0.081,4.581,0.081,7.636,0.082,0.175,0.006,230296.55,0.028
7,2032.0000000000005,387469371.288,0.122,380488125.378,0.119,3490622.955,inf,3490622.955,inf,100170775.646,0.039,93854841.73,0.039,2951414.45,0.039,853846.659,0.039,2510672.806,0.04,33938.109,0.038,1.84,0.081,1.652,0.082,4.955,0.082,4.955,0.082,8.259,0.082,0.177,0.011,236749.537,0.028
8,2033.0000000000007,417887027.889,0.079,406372177.613,0.068,4614256.737,0.322,4614256.739,0.322,102262307.415,0.021,95786958.449,0.021,3015804.751,0.022,873549.35,0.023,2585261.401,0.03,34689.077,0.022,1.941,0.055,1.744,0.056,5.232,0.056,5.232,0.056,8.72,0.056,0.179,0.011,239990.903,0.014
9,2034.0000000000002,450692573.448,0.079,434017084.17,0.068,6099588.958,0.322,6099588.963,0.322,104397509.656,0.021,97758850.155,0.021,3081599.839,0.022,893706.684,0.023,2662065.919,0.03,35456.663,0.022,2.049,0.056,1.841,0.056,5.524,0.056,5.524,0.056,9.207,0.056,0.18,0.006,243276.647,0.014
10,2034.9999999999993,486073465.326,0.079,463542633.401,0.068,8063050.58,0.322,8063050.59,0.322,106577294.195,0.021,99771335.663,0.021,3148830.363,0.022,914329.152,0.023,2741152.192,0.03,36241.233,0.022,2.162,0.055,1.944,0.056,5.832,0.056,5.832,0.056,9.72,0.056,0.182,0.011,246607.377,0.014
11,2035.9999999999998,524231876.924,0.079,495076762.683,0.068,10658551.765,0.322,10658551.782,0.322,108802591.895,0.021,101825250.647,0.021,3217527.64,0.022,935427.489,0.023,2822588.008,0.03,37043.163,0.022,2.281,0.055,2.053,0.056,6.158,0.056,6.158,0.056,10.263,0.056,0.183,0.005,249983.708,0.014
12,2036.999999999999,565385852.937,0.079,528756112.789,0.068,14089546.456,0.322,14089546.485,0.322,111074353.055,0.021,103921447.983,0.021,3287723.668,0.022,957012.674,0.023,2906443.169,0.03,37862.839,0.022,2.407,0.055,2.167,0.056,6.502,0.056,6.502,0.056,10.836,0.056,0.185,0.011,253406.265,0.014
13,2038.0000000000005,609770555.306,0.079,564726619.962,0.068,18624980.552,0.322,18624980.598,0.322,113393547.816,0.021,106060798.106,0.021,3359451.146,0.022,979095.941,0.023,2992789.55,0.03,38700.652,0.022,2.539,0.055,2.288,0.056,6.865,0.056,6.865,0.056,11.441,0.056,0.186,0.005,256875.681,0.014
14,2038.999999999999,657639606.981,0.079,603144148.275,0.068,24620373.811,0.322,24620373.882,0.322,115761166.576,0.021,108244189.367,0.021,3432743.485,0.022,1001688.785,0.023,3081701.161,0.03,39557.003,0.022,2.679,0.055,2.416,0.056,7.248,0.056,7.248,0.056,12.08,0.056,0.188,0.011,260392.597,0.014
15,2039.9999999999998,709266541.171,0.079,644175165.008,0.068,32545688.028,0.322,32545688.135,0.322,118178220.411,0.021,110472528.409,0.021,3507634.826,0.022,1024802.963,0.023,3173254.213,0.03,40432.304,0.022,2.827,0.055,2.551,0.056,7.652,0.056,7.652,0.056,12.754,0.056,0.189,0.005,263957.663,0.014
16,2041.0000000000002,756115747.841,0.066,681427048.353,0.058,36666126.366,0.127,36666126.478,0.127,120685099.885,0.021,112804433.627,0.021,3583416.376,0.022,1047816.057,0.022,3249312.198,0.024,41372.443,0.023,2.945,0.042,2.656,0.041,7.967,0.041,7.967,0.041,13.278,0.041,0.192,0.016,266470.932,0.01
17,2041.9999999999995,806059486.732,0.066,720833163.789,0.058,41308231.725,0.127,41308231.84,0.127,123245157.049,0.021,115185561.778,0.021,3660835.167,0.022,1071345.936,0.022,3327193.175,0.024,42334.441,0.023,3.069,0.042,2.765,0.041,8.294,0.041,8.294,0.041,13.824,0.041,0.194,0.01,269008.13,0.01
18,2043.0,859302161.085,0.066,762518087.994,0.058,46538049.62,0.127,46538049.739,0.127,125859519.945,0.021,117616951.884,0.021,3739926.571,0.022,1095404.205,0.022,3406940.838,0.024,43318.809,0.023,3.197,0.042,2.879,0.041,8.636,0.041,8.636,0.041,14.393,0.041,0.197,0.015,271569.487,0.01
