,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,213114307.596,,213114307.596,,0.0,,0.0,,90611715.989,,84731568.296,,2696084.831,,782681.575,,2401381.287,,23893.9,,0.981,,0.874,,2.621,,2.621,,4.368,,0.163,,182863.947,
1,2026.0,239742865.034,0.125,238997554.269,0.121,0.0,,0.0,,94083754.666,0.038,87979561.46,0.038,2798800.846,0.038,812357.782,0.038,2493033.624,0.038,24756.637,0.036,1.066,0.087,0.949,0.086,2.848,0.087,2.848,0.087,4.746,0.087,0.164,0.006,188135.671,0.029
2,2026.9999999999995,269698651.315,0.125,268024383.679,0.121,0.0,,0.0,,97688834.113,0.038,91352059.101,0.038,2905430.158,0.038,843159.194,0.038,2588184.01,0.038,25650.525,0.036,1.157,0.085,1.031,0.086,3.094,0.086,3.094,0.086,5.157,0.087,0.165,0.006,193559.372,0.029
3,2027.999999999999,303397402.509,0.125,300576591.532,0.121,0.0,,0.0,,101432052.157,0.038,94853833.817,0.038,3016121.857,0.038,875128.475,0.038,2686965.953,0.038,26576.688,0.036,1.256,0.086,1.121,0.087,3.362,0.087,3.362,0.087,5.604,0.087,0.166,0.006,199139.43,0.029
4,2029.0,341306800.758,0.125,337082343.541,0.121,0.0,,0.0,,105318701.96,0.038,98489841.152,0.038,3131030.711,0.038,908309.904,0.038,2789518.059,0.038,27536.293,0.036,1.364,0.086,1.218,0.087,3.654,0.087,3.654,0.087,6.089,0.087,0.168,0.012,204880.355,0.029
5,2030.0,383952964.924,0.125,378021807.181,0.121,0.0,,0.0,,109354279.508,0.038,102265226.61,0.038,3250317.387,0.038,942749.444,0.038,2895984.22,0.038,28530.545,0.036,1.481,0.086,1.323,0.086,3.97,0.086,3.97,0.086,6.617,0.087,0.169,0.006,210786.782,0.029
6,2031.0000000000007,431927752.235,0.125,423933467.424,0.121,0.0,,0.0,,113544491.377,0.038,106185332.937,0.038,3374148.673,0.038,978494.795,0.038,3006513.823,0.038,29560.698,0.036,1.608,0.086,1.438,0.087,4.314,0.087,4.314,0.087,7.19,0.087,0.17,0.006,216863.484,0.029
7,2032.0000000000005,485896972.27,0.125,475421209.538,0.121,5237881.366,inf,5237881.366,inf,117895262.812,0.038,110255707.68,0.038,3502697.709,0.038,1015595.469,0.038,3121261.954,0.038,30628.046,0.036,1.746,0.086,1.563,0.087,4.688,0.087,4.688,0.087,7.813,0.087,0.171,0.006,223115.369,0.029
8,2033.0000000000007,525574995.783,0.082,509742419.652,0.072,6754761.279,0.29,6754761.282,0.29,120288015.106,0.02,112462607.873,0.02,3577319.892,0.021,1038368.371,0.022,3208997.603,0.028,31266.028,0.021,1.85,0.06,1.657,0.06,4.97,0.06,4.97,0.06,8.283,0.06,0.172,0.006,226434.3,0.015
9,2034.0000000000002,568493100.299,0.082,546541317.845,0.072,8710926.564,0.29,8710926.573,0.29,122729329.688,0.02,114713681.821,0.02,3653531.841,0.021,1061651.915,0.022,3299199.416,0.028,31917.3,0.021,1.96,0.059,1.756,0.06,5.268,0.06,5.268,0.06,8.781,0.06,0.173,0.006,229802.601,0.015
10,2034.9999999999993,614915868.679,0.082,585996771.303,0.072,11233593.384,0.29,11233593.4,0.29,125220192.155,0.02,117009813.713,0.02,3731367.425,0.021,1085457.55,0.022,3391936.714,0.028,32582.137,0.021,2.077,0.06,1.862,0.06,5.585,0.06,5.585,0.06,9.309,0.06,0.174,0.006,233221.007,0.015
11,2035.9999999999998,665129489.443,0.082,628300559.84,0.072,14486819.442,0.29,14486819.469,0.29,127761608.112,0.02,119351905.437,0.02,3810861.234,0.021,1109796.984,0.022,3487280.768,0.028,33260.823,0.021,2.2,0.059,1.974,0.06,5.921,0.06,5.921,0.06,9.869,0.06,0.175,0.006,236690.263,0.015
12,2036.999999999999,719443521.073,0.082,673658308.077,0.072,18682173.225,0.29,18682173.27,0.29,130354603.57,0.02,121740876.936,0.02,3892048.595,0.021,1134682.186,0.022,3585304.85,0.028,33953.647,0.021,2.331,0.06,2.093,0.06,6.278,0.06,6.278,0.06,10.463,0.06,0.176,0.006,240211.126,0.015
13,2038.0000000000005,778192800.394,0.082,722290484.919,0.072,24092493.03,0.29,24092493.098,0.29,133000225.365,0.02,124177666.564,0.02,3974965.588,0.021,1160125.394,0.022,3686084.295,0.028,34660.901,0.021,2.47,0.06,2.218,0.06,6.655,0.06,6.655,0.06,11.092,0.06,0.177,0.006,243784.363,0.015
14,2038.999999999999,841739506.781,0.082,774433475.174,0.072,31069630.572,0.29,31069630.675,0.29,135699541.579,0.02,126663231.459,0.02,4059649.062,0.021,1186139.12,0.022,3789696.552,0.028,35382.888,0.021,2.618,0.06,2.352,0.06,7.056,0.06,7.056,0.06,11.76,0.06,0.179,0.011,247410.753,0.015
15,2039.9999999999998,910475394.937,0.082,830340728.548,0.072,40067333.118,0.29,40067333.27,0.29,138453641.97,0.02,129198547.915,0.02,4146136.65,0.021,1212736.156,0.022,3896221.25,0.028,36119.914,0.021,2.774,0.06,2.493,0.06,7.48,0.06,7.48,0.06,12.467,0.06,0.18,0.006,251091.087,0.015
16,2041.0000000000002,972743522.051,0.068,883080992.546,0.064,44450550.671,0.109,44485790.594,0.11,141681012.929,0.023,132193087.163,0.023,4246706.878,0.024,1242899.026,0.025,3998140.451,0.026,37065.98,0.026,2.888,0.041,2.595,0.041,7.784,0.041,7.784,0.041,12.973,0.041,0.182,0.011,253957.461,0.011
17,2041.9999999999995,1039270215.267,0.068,939171128.892,0.064,49313275.956,0.109,49391496.843,0.11,144983614.291,0.023,135257033.269,0.023,4349716.576,0.024,1273812.1,0.025,4102725.703,0.026,38036.826,0.026,3.006,0.041,2.7,0.04,8.1,0.041,8.1,0.041,13.5,0.041,0.185,0.016,256856.555,0.011
18,2043.0,1110346721.266,0.068,998823909.46,0.064,54707965.343,0.109,54838183.785,0.11,148363199.686,0.023,138391994.933,0.023,4455224.915,0.024,1305494.035,0.025,4210046.745,0.026,39033.101,0.026,3.13,0.041,2.81,0.041,8.429,0.041,8.429,0.041,14.049,0.041,0.188,0.016,259788.745,0.011
19,2044.0000000000002,1186284205.316,0.068,1062265620.629,0.064,60692813.729,0.109,60885508.499,0.11,151821563.621,0.023,141599618.139,0.023,4563292.504,0.024,1337963.956,0.025,4320175.143,0.026,40055.471,0.026,3.259,0.041,2.924,0.041,8.772,0.041,8.772,0.041,14.619,0.041,0.19,0.011,262754.408,0.011
20,2044.9999999999993,1267415113.521,0.068,1129736921.677,0.064,67332382.318,0.109,67599706.799,0.11,155360542.433,0.023,144881587.022,0.023,4673981.42,0.024,1371241.46,0.025,4433184.331,0.026,41104.618,0.026,3.393,0.041,3.043,0.041,9.128,0.041,9.128,0.041,15.213,0.041,0.193,0.016,265753.926,0.011
21,2045.9999999999993,1354094628.238,0.068,1201493757.694,0.064,74698295.07,0.109,75054318.702,0.11,158982015.264,0.023,148239624.753,0.023,4787355.247,0.024,1405346.634,0.025,4549149.666,0.026,42181.246,0.026,3.532,0.041,3.166,0.04,9.499,0.041,9.499,0.041,15.831,0.041,0.196,0.016,268787.686,0.011
22,2046.9999999999995,1446702223.023,0.068,1277808330.488,0.064,82870011.343,0.109,83330993.914,0.11,162687905.061,0.023,151675494.44,0.023,4903479.112,0.024,1440300.063,0.025,4668148.479,0.026,43286.073,0.026,3.677,0.041,3.295,0.041,9.884,0.041,9.884,0.041,16.474,0.041,0.199,0.015,271856.077,0.011
23,2048.0,1545643323.925,0.068,1358970131.146,0.064,91935683.051,0.109,92520386.126,0.11,166480179.592,0.023,155191000.059,0.023,5022419.721,0.024,1476122.846,0.025,4790260.118,0.026,44419.838,0.026,3.829,0.041,3.429,0.041,10.286,0.041,10.286,0.041,17.143,0.041,0.202,0.015,274959.497,0.011
24,2049.000000000001,1651351084.4,0.068,1445287038.191,0.064,101993105.601,0.109,102723145.937,0.11,170360852.496,0.023,158787987.394,0.023,5144245.397,0.024,1512836.603,0.025,4915566.011,0.026,45583.299,0.026,3.986,0.041,3.568,0.041,10.704,0.041,10.704,0.041,17.84,0.041,0.205,0.015,278098.344,0.011
25,2049.999999999999,1764288281.611,0.068,1537086485.486,0.064,113150772.854,0.109,114051023.271,0.11,174331984.349,0.023,162468345.015,0.023,5269026.122,0.024,1550463.496,0.025,5044149.716,0.026,46777.233,0.026,4.15,0.041,3.713,0.041,11.139,0.041,11.139,0.041,18.564,0.041,0.208,0.015,281273.023,0.011
