,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,207680702.733,,207680702.733,,0.0,,0.0,,89993047.385,,84138495.639,,2685694.27,,780784.028,,2388073.448,,23865.728,,0.957,,0.853,,2.559,,2.559,,4.264,,0.163,,182863.947,
1,2026.0,233014744.774,0.122,232771433.79,0.121,0.0,,0.0,,93421184.004,0.038,87343253.22,0.038,2787617.367,0.038,810221.207,0.038,2480090.374,0.039,24726.44,0.036,1.037,0.084,0.924,0.083,2.773,0.084,2.773,0.084,4.622,0.084,0.164,0.006,188135.671,0.029
2,2026.9999999999995,261439173.536,0.122,260893475.782,0.121,0.0,,0.0,,96979909.83,0.038,90670077.057,0.038,2893408.484,0.038,840768.229,0.038,2575652.883,0.039,25618.195,0.036,1.123,0.083,1.002,0.084,3.006,0.084,3.006,0.084,5.01,0.084,0.165,0.006,193559.372,0.029
3,2027.999999999999,293330971.504,0.122,292413053.428,0.121,0.0,,0.0,,100674199.444,0.038,94123616.542,0.038,3003214.413,0.038,872466.936,0.038,2674897.594,0.039,26542.11,0.036,1.216,0.083,1.086,0.084,3.258,0.084,3.258,0.084,5.429,0.084,0.166,0.006,199139.43,0.029
4,2029.0,329113107.571,0.122,327740636.514,0.121,0.0,,0.0,,104509216.923,0.038,97708698.155,0.038,3117187.518,0.038,905360.751,0.038,2777966.389,0.039,27499.345,0.036,1.317,0.083,1.177,0.084,3.531,0.084,3.531,0.084,5.885,0.084,0.167,0.006,204880.355,0.029
5,2030.0,369260146.721,0.122,367336285.311,0.121,0.0,,0.0,,108490323.064,0.038,101430332.215,0.038,3235485.945,0.038,939494.732,0.038,2885006.617,0.039,28491.104,0.036,1.426,0.083,1.276,0.084,3.827,0.084,3.827,0.084,6.378,0.084,0.169,0.012,210786.782,0.029
6,2031.0000000000007,414304543.999,0.122,411715641.799,0.121,0.0,,0.0,,112623082.873,0.038,105293719.879,0.038,3358273.841,0.038,974915.634,0.038,2996171.304,0.039,29518.629,0.036,1.544,0.083,1.383,0.084,4.148,0.084,4.148,0.084,6.913,0.084,0.17,0.006,216863.484,0.029
7,2032.0000000000005,464843706.267,0.122,461456644.715,0.121,1693530.776,inf,1693530.776,inf,116913273.347,0.038,109304260.411,0.038,3485721.584,0.038,1011671.977,0.038,3111619.375,0.039,30583.213,0.036,1.672,0.083,1.498,0.083,4.495,0.084,4.495,0.084,7.492,0.084,0.171,0.006,223115.369,0.029
8,2033.0000000000007,501868815.869,0.08,494145573.542,0.071,2427277.82,0.433,2427277.821,0.433,119248988.541,0.02,111461176.203,0.02,3558737.904,0.021,1033852.484,0.022,3194686.743,0.027,31225.623,0.021,1.768,0.057,1.585,0.058,4.756,0.058,4.756,0.058,7.927,0.058,0.172,0.006,226434.3,0.015
9,2034.0000000000002,541843000.016,0.08,529150139.34,0.071,3478931.533,0.433,3478931.534,0.433,121631367.09,0.02,113660654.706,0.02,3633283.716,0.021,1056519.291,0.022,3279971.667,0.027,31881.526,0.021,1.87,0.058,1.677,0.058,5.032,0.058,5.032,0.058,8.387,0.058,0.173,0.006,229802.601,0.015
10,2034.9999999999993,585001154.451,0.08,566634378.524,0.071,4986229.639,0.433,4986229.642,0.433,124061341.243,0.02,115903535.818,0.02,3709391.059,0.021,1079683.058,0.022,3367533.345,0.027,32551.207,0.021,1.977,0.057,1.775,0.058,5.324,0.058,5.324,0.058,8.873,0.058,0.174,0.006,233221.007,0.015
11,2035.9999999999998,631596884.52,0.08,606773947.608,0.071,7146586.754,0.433,7146586.761,0.433,126539861.872,0.02,118190676.006,0.02,3787092.642,0.021,1103354.681,0.022,3457432.558,0.027,33234.956,0.021,2.091,0.058,1.878,0.058,5.633,0.058,5.633,0.058,9.388,0.058,0.175,0.006,236690.263,0.015
12,2036.999999999999,681903995.402,0.08,649756946.366,0.071,10242950.272,0.433,10242950.285,0.433,129067898.849,0.02,120522948.642,0.02,3866421.861,0.021,1127545.295,0.022,3549731.708,0.027,33933.066,0.021,2.211,0.057,1.987,0.058,5.96,0.058,5.96,0.058,9.933,0.058,0.176,0.006,240211.126,0.015
13,2038.0000000000005,736218101.043,0.08,695784799.291,0.071,14680858.694,0.433,14680858.716,0.433,131646441.42,0.02,122901244.33,0.02,3947412.81,0.021,1152266.279,0.022,3644494.864,0.027,34645.84,0.021,2.338,0.057,2.102,0.058,6.305,0.058,6.305,0.058,10.509,0.058,0.177,0.006,243784.363,0.015
14,2038.999999999999,794858361.232,0.08,745073199.497,0.071,21041556.022,0.433,21041556.059,0.433,134276498.597,0.02,125326471.249,0.02,4030100.297,0.021,1177529.261,0.022,3741787.804,0.027,35373.587,0.021,2.472,0.057,2.224,0.058,6.671,0.058,6.671,0.058,11.118,0.058,0.178,0.006,247410.753,0.015
15,2039.9999999999998,858169357.05,0.08,797853119.49,0.071,30158118.749,0.433,30158118.81,0.433,136959099.546,0.02,127799555.5,0.02,4114519.86,0.021,1203346.124,0.022,3841678.063,0.027,36116.62,0.021,2.614,0.057,2.353,0.058,7.058,0.058,7.058,0.058,11.763,0.058,0.18,0.011,251091.087,0.015
16,2041.0000000000002,918244516.873,0.07,848608175.19,0.064,34163469.482,0.133,34163469.594,0.133,140065151.194,0.023,130683533.58,0.023,4210113.971,0.023,1232004.852,0.024,3939350.892,0.025,37032.135,0.025,2.728,0.044,2.454,0.043,7.361,0.043,7.361,0.043,12.268,0.043,0.182,0.011,253957.461,0.011
17,2041.9999999999995,982525169.234,0.07,902591990.188,0.064,38700777.616,0.133,38700777.791,0.133,143241643.994,0.023,133632592.713,0.023,4307929.054,0.023,1261346.112,0.024,4039507.006,0.025,37970.857,0.025,2.847,0.044,2.559,0.043,7.677,0.043,7.677,0.043,12.795,0.043,0.185,0.016,256856.555,0.011
18,2043.0,1051305714.808,0.07,960009960.509,0.064,43840693.314,0.133,43840693.568,0.133,146490175.459,0.023,136648201.544,0.023,4408016.709,0.023,1291386.16,0.024,4142209.541,0.025,38933.375,0.025,2.971,0.044,2.669,0.043,8.007,0.043,8.007,0.043,13.344,0.043,0.187,0.011,259788.745,0.011
19,2044.0000000000002,1124901163.446,0.07,1021080548.35,0.064,49663249.904,0.133,49663250.254,0.133,149812379.33,0.023,139731861.862,0.023,4510429.737,0.023,1322141.637,0.024,4247523.239,0.025,39920.291,0.025,3.1,0.043,2.783,0.043,8.35,0.043,8.35,0.043,13.917,0.043,0.19,0.016,262754.408,0.011
20,2044.9999999999993,1203648576.908,0.07,1086036113.276,0.064,56259110.078,0.133,56259110.546,0.133,153209926.402,0.023,142885109.345,0.023,4615222.163,0.023,1353629.583,0.024,4355514.487,0.025,40932.225,0.025,3.236,0.044,2.903,0.043,8.709,0.043,8.709,0.043,14.515,0.043,0.192,0.011,265753.926,0.011
21,2045.9999999999993,1287908612.569,0.07,1155123796.302,0.064,63730977.592,0.133,63730978.202,0.133,156684525.358,0.023,146109514.326,0.023,4722449.269,0.023,1385867.442,0.024,4466251.362,0.025,41969.81,0.025,3.376,0.043,3.028,0.043,9.083,0.043,9.083,0.043,15.138,0.043,0.195,0.016,268787.686,0.011
22,2046.9999999999995,1378067175.215,0.07,1228606460.202,0.064,72195196.461,0.133,72195197.243,0.133,160237923.633,0.023,149406682.575,0.023,4832167.621,0.023,1418873.073,0.024,4579803.668,0.025,43033.696,0.025,3.523,0.044,3.158,0.043,9.473,0.043,9.473,0.043,15.788,0.043,0.198,0.015,271856.077,0.011
23,2048.0,1474537184.448,0.07,1306763689.642,0.064,81783562.547,0.133,81783563.536,0.133,163871908.292,0.023,152778256.098,0.023,4944435.099,0.023,1452664.761,0.024,4696242.988,0.025,44124.551,0.025,3.677,0.044,3.293,0.043,9.88,0.043,9.88,0.043,16.466,0.043,0.2,0.01,274959.497,0.011
