,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,171793388.369,,171793388.369,,0.0,,0.0,,75704587.678,,70928436.921,,2236364.81,,648417.95,,1891367.996,,25905.149,,1.069,,0.955,,2.865,,2.865,,4.776,,0.164,,195108.949,
1,2026.0,192660191.428,0.121,192416038.151,0.12,0.0,,0.0,,78708034.944,0.04,73741520.65,0.04,2324712.054,0.04,673849.587,0.039,1967948.416,0.04,26896.688,0.038,1.154,0.08,1.032,0.081,3.097,0.081,3.097,0.081,5.162,0.081,0.166,0.012,200575.968,0.028
2,2026.9999999999995,216061570.9,0.121,215514299.41,0.12,0.0,,0.0,,81830638.734,0.04,76666173.737,0.04,2416549.442,0.04,700278.679,0.039,2047629.533,0.04,27926.178,0.038,1.247,0.081,1.116,0.081,3.348,0.081,3.348,0.081,5.58,0.081,0.167,0.006,206196.175,0.028
3,2027.999999999999,242305387.914,0.121,241385352.784,0.12,0.0,,0.0,,85077126.375,0.04,79706821.117,0.04,2512014.852,0.04,727744.349,0.039,2130536.893,0.04,28995.073,0.038,1.347,0.08,1.206,0.081,3.619,0.081,3.619,0.081,6.031,0.081,0.169,0.012,211973.861,0.028
4,2029.0,271736897.81,0.121,270362053.46,0.12,0.0,,0.0,,88452412.741,0.04,82868063.228,0.04,2611251.608,0.04,756287.25,0.039,2216801.125,0.04,30104.881,0.038,1.455,0.08,1.304,0.081,3.911,0.081,3.911,0.081,6.519,0.081,0.171,0.012,217913.441,0.028
5,2030.0,304743292.203,0.121,302817213.672,0.12,0.0,,0.0,,91961607.697,0.04,86154682.96,0.04,2714408.697,0.04,785949.635,0.039,2306558.148,0.04,31257.168,0.038,1.571,0.08,1.409,0.081,4.228,0.081,4.228,0.081,7.046,0.081,0.172,0.006,224019.449,0.028
6,2031.0000000000007,341758792.755,0.121,339168399.272,0.12,0.0,,0.0,,95610023.834,0.04,89571652.9,0.04,2821640.99,0.04,816775.41,0.039,2399949.381,0.04,32453.559,0.038,1.697,0.08,1.523,0.081,4.57,0.081,4.57,0.081,7.616,0.081,0.174,0.012,230296.55,0.028
7,2032.0000000000005,383270363.659,0.121,379883302.108,0.12,1693530.776,inf,1693530.776,inf,99403184.506,0.04,93124142.852,0.04,2933109.479,0.04,848810.204,0.039,2497121.973,0.04,33695.743,0.038,1.833,0.08,1.646,0.081,4.939,0.081,4.939,0.081,8.232,0.081,0.176,0.011,236749.537,0.028
8,2033.0000000000007,413159238.427,0.078,405363392.326,0.067,2427277.82,0.433,2427277.821,0.433,101379059.743,0.02,94948904.38,0.02,2994410.367,0.021,867657.207,0.022,2567438.531,0.028,34411.638,0.021,1.935,0.056,1.739,0.057,5.217,0.056,5.217,0.056,8.695,0.056,0.177,0.006,239990.903,0.014
9,2034.0000000000002,445378960.867,0.078,432552520.541,0.067,3478931.533,0.433,3478931.534,0.433,103394210.209,0.02,96809421.993,0.02,3056992.422,0.021,886922.689,0.022,2639735.137,0.028,35142.743,0.021,2.042,0.055,1.837,0.056,5.51,0.056,5.51,0.056,9.183,0.056,0.178,0.006,243276.647,0.014
