,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,211030043.544,,211030043.544,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,96214064.271,,89902670.872,,2870753.345,,833398.128,,2607241.925,,24785.636,,0.937,,0.799,,2.396,,2.396,,3.993,,0.169,,182863.947,
1,2026.0,234842310.754,0.113,234580333.459,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,101581011.283,0.056,94860782.023,0.055,3034059.317,0.057,881668.694,0.058,2801682.304,0.075,26301.013,0.061,0.982,0.048,0.837,0.048,2.511,0.048,2.511,0.048,4.185,0.048,0.174,0.03,188135.671,0.029
2,2026.9999999999995,261341513.246,0.113,260758761.746,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,107247333.657,0.056,100092331.837,0.055,3206655.129,0.057,932735.099,0.058,3010623.469,0.075,27909.039,0.061,1.03,0.049,0.877,0.048,2.632,0.048,2.632,0.048,4.387,0.048,0.18,0.034,193559.372,0.029
3,2027.999999999999,290830840.177,0.113,289858620.391,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,113229730.942,0.056,105612400.393,0.055,3389069.244,0.057,986759.28,0.058,3235146.848,0.075,29615.378,0.061,1.081,0.05,0.92,0.049,2.759,0.048,2.759,0.048,4.598,0.048,0.185,0.028,199139.43,0.029
4,2029.0,323647692.048,0.113,322205931.844,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,119545834.215,0.056,111436899.431,0.055,3581860.187,0.057,1043912.55,0.058,3476414.515,0.075,31426.042,0.061,1.133,0.048,0.964,0.048,2.891,0.048,2.891,0.048,4.819,0.048,0.191,0.032,204880.355,0.029
5,2030.0,360167541.049,0.113,358163101.638,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,126214258.032,0.056,117582618.221,0.055,3785618.256,0.057,1104376.148,0.058,3735675.209,0.075,33347.409,0.061,1.188,0.049,1.01,0.048,3.031,0.048,3.031,0.048,5.051,0.048,0.197,0.031,210786.782,0.029
6,2031.0000000000007,400808227.008,0.113,398132978.622,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,133254655.299,0.056,124067271.957,0.055,4000967.328,0.057,1168341.808,0.058,4014270.799,0.075,35386.247,0.061,1.246,0.049,1.059,0.049,3.176,0.048,3.176,0.048,5.294,0.048,0.204,0.036,216863.484,0.029
7,2032.0000000000005,446034738.083,0.113,442563368.313,0.112,1735684.885,inf,1735684.885,inf,0.0,,0.0,,1735684.885,inf,1735684.885,inf,0.0,,0.0,,140687775.181,0.056,130909552.821,0.055,4228566.769,0.057,1236012.37,0.058,4313643.221,0.075,37549.738,0.061,1.307,0.049,1.11,0.048,3.329,0.048,3.329,0.048,5.549,0.048,0.21,0.029,223115.369,0.029
8,2033.0000000000007,476853713.64,0.069,468605576.475,0.059,2488385.923,0.434,2488385.923,0.434,0.0,,0.0,,2488385.924,0.434,2488385.923,0.434,0.0,,0.0,,143614162.507,0.021,133608499.371,0.021,4316493.038,0.021,1263517.496,0.022,4425244.35,0.026,38453.269,0.024,1.364,0.044,1.16,0.045,3.481,0.046,3.481,0.046,5.801,0.045,0.212,0.01,226434.3,0.015
9,2034.0000000000002,509802140.5,0.069,496180212.882,0.059,3567504.999,0.434,3567504.998,0.434,0.0,,0.0,,3567505.001,0.434,3567504.998,0.434,0.0,,0.0,,146601420.387,0.021,136363089.778,0.021,4406247.593,0.021,1291634.697,0.022,4539732.786,0.026,39378.541,0.024,1.424,0.044,1.213,0.046,3.639,0.045,3.639,0.045,6.066,0.046,0.214,0.009,229802.601,0.015
