,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,207748119.477,,207748119.477,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,85636662.959,,80558912.405,,2582183.646,,752267.62,,1743299.287,,22491.451,,1.016,,0.876,,2.627,,2.627,,4.378,,0.153,,182863.947,
1,2026.0,234155960.8,0.127,233913331.114,0.126,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,89362898.515,0.044,84061087.313,0.043,2691946.813,0.043,784476.927,0.043,1825315.629,0.047,23416.964,0.041,1.1,0.083,0.948,0.082,2.845,0.083,2.845,0.083,4.741,0.083,0.155,0.013,188135.671,0.029
2,2026.9999999999995,263920627.133,0.127,263373967.526,0.126,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,93251270.601,0.044,87715513.892,0.043,2806375.779,0.043,818065.318,0.043,1911190.564,0.047,24380.561,0.041,1.191,0.083,1.027,0.083,3.081,0.083,3.081,0.083,5.134,0.083,0.157,0.013,193559.372,0.029
3,2027.999999999999,297468820.304,0.127,296545076.931,0.126,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,97308834.128,0.044,91528811.051,0.043,2925668.879,0.043,853091.838,0.043,2001105.623,0.047,25383.81,0.041,1.289,0.082,1.112,0.083,3.336,0.083,3.336,0.083,5.56,0.083,0.159,0.013,199139.43,0.029
4,2029.0,335281482.218,0.127,333893981.543,0.126,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,101542950.978,0.044,95507885.442,0.043,3050032.876,0.043,889618.064,0.043,2095250.883,0.047,26428.341,0.041,1.396,0.083,1.204,0.083,3.613,0.083,3.613,0.083,6.021,0.083,0.161,0.013,204880.355,0.029
5,2030.0,377900689.57,0.127,375946861.316,0.126,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,105961303.367,0.044,99659943.978,0.043,3179683.323,0.043,927708.208,0.043,2193825.359,0.047,27515.855,0.041,1.511,0.082,1.304,0.083,3.912,0.083,3.912,0.083,6.52,0.083,0.163,0.012,210786.782,0.029
6,2031.0000000000007,425937424.973,0.127,423296166.884,0.126,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,110571907.78,0.044,103992506.877,0.043,3314844.937,0.043,967429.23,0.043,2297037.431,0.047,28648.12,0.041,1.636,0.083,1.412,0.083,4.236,0.083,4.236,0.083,7.061,0.083,0.165,0.012,216863.484,0.029
7,2032.0000000000005,480080335.92,0.127,476608966.15,0.126,1735684.885,inf,1735684.885,inf,0.0,,0.0,,1735684.885,inf,1735684.885,inf,0.0,,0.0,,115383129.516,0.044,108513421.29,0.043,3455751.986,0.043,1008850.959,0.043,2405105.282,0.047,29826.976,0.041,1.771,0.083,1.529,0.083,4.588,0.083,4.588,0.083,7.646,0.083,0.167,0.012,223115.369,0.029
8,2033.0000000000007,518988999.63,0.081,511102952.214,0.072,2488384.117,0.434,2488384.117,0.434,0.0,,0.0,,2488384.118,0.434,2488384.117,0.434,0.0,,0.0,,117913352.716,0.022,110873470.652,0.022,3534973.614,0.023,1032761.266,0.024,2471830.841,0.028,30542.334,0.024,1.87,0.056,1.615,0.056,4.845,0.056,4.845,0.056,8.075,0.056,0.168,0.006,226487.141,0.015
9,2034.0000000000002,561051060.799,0.081,548093397.973,0.072,3567499.82,0.434,3567499.819,0.434,0.0,,0.0,,3567499.822,0.434,3567499.819,0.434,0.0,,0.0,,120499060.886,0.022,113284848.532,0.022,3616011.364,0.023,1057238.26,0.024,2540407.587,0.028,31274.848,0.024,1.974,0.056,1.705,0.056,5.116,0.056,5.116,0.056,8.527,0.056,0.17,0.012,229909.868,0.015
10,2034.9999999999993,606522090.157,0.081,587760981.619,0.072,5114586.16,0.434,5114586.158,0.434,0.0,,0.0,,5114586.165,0.434,5114586.158,0.434,0.0,,0.0,,123141470.749,0.022,115748671.268,0.022,3698906.87,0.023,1082295.372,0.024,2610886.878,0.028,32024.931,0.024,2.084,0.056,1.801,0.056,5.403,0.056,5.403,0.056,9.006,0.056,0.171,0.006,233384.319,0.015
