,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,215077677.583,,215077677.583,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,87829556.179,,82357119.627,,2633188.31,,766995.788,,2072252.454,,23111.061,,1.024,,0.874,,2.621,,2.621,,4.368,,0.158,,182863.947,
1,2026.0,241691244.037,0.124,241444219.114,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,91380776.063,0.04,85689335.198,0.04,2738748.518,0.04,797841.246,0.04,2154847.941,0.04,23987.601,0.038,1.109,0.083,0.946,0.082,2.839,0.083,2.839,0.083,4.732,0.083,0.159,0.006,188135.671,0.029
2,2026.9999999999995,271597955.216,0.124,271043055.693,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,95075582.722,0.04,89156374.092,0.04,2848540.462,0.04,829927.182,0.04,2240735.505,0.04,24897.385,0.038,1.2,0.082,1.026,0.085,3.077,0.084,3.077,0.084,5.128,0.084,0.16,0.006,193559.372,0.029
3,2027.999999999999,305205302.622,0.124,304270436.912,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,98919781.811,0.04,92763691.339,0.04,2962733.785,0.04,863303.485,0.04,2330046.361,0.04,25841.675,0.038,1.3,0.083,1.111,0.083,3.334,0.084,3.334,0.084,5.556,0.083,0.162,0.012,199139.43,0.029
4,2029.0,342971200.482,0.124,341571188.908,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,102919413.727,0.04,96516962.678,0.04,3081504.931,0.04,898022.047,0.04,2422916.954,0.04,26821.78,0.038,1.407,0.082,1.204,0.084,3.612,0.083,3.612,0.083,6.02,0.084,0.163,0.006,204880.355,0.029
5,2030.0,385410225.016,0.124,383444669.408,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,107080763.099,0.04,100422093.495,0.04,3205037.418,0.04,934136.849,0.04,2519489.167,0.04,27839.057,0.038,1.523,0.082,1.304,0.083,3.913,0.083,3.913,0.083,6.522,0.083,0.165,0.012,210786.782,0.029
6,2031.0000000000007,433100625.763,0.124,430451452.791,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,111410368.663,0.04,104485228.11,0.04,3333522.121,0.04,971704.042,0.04,2619910.54,0.04,28894.917,0.038,1.649,0.083,1.413,0.084,4.24,0.084,4.24,0.084,7.067,0.084,0.166,0.006,216863.484,0.029
7,2032.0000000000005,486692204.464,0.124,483220834.694,0.123,1735684.885,inf,1735684.885,inf,0.0,,0.0,,1735684.885,inf,1735684.885,inf,0.0,,0.0,,115915033.535,0.04,108712759.447,0.04,3467157.565,0.04,1010782.034,0.04,2724334.49,0.04,29990.823,0.038,1.786,0.083,1.531,0.084,4.594,0.083,4.594,0.083,7.657,0.083,0.168,0.012,223115.369,0.029
8,2033.0000000000007,525569285.312,0.08,517652262.441,0.071,2488384.117,0.434,2488384.117,0.434,0.0,,0.0,,2488384.118,0.434,2488384.117,0.434,0.0,,0.0,,118442705.79,0.022,111080900.827,0.022,3546352.781,0.023,1034907.476,0.024,2780503.826,0.021,30690.605,0.023,1.884,0.055,1.617,0.056,4.852,0.056,4.852,0.056,8.087,0.056,0.169,0.006,226487.141,0.015
9,2034.0000000000002,567551875.97,0.08,554537067.881,0.071,3567499.82,0.434,3567499.819,0.434,0.0,,0.0,,3567499.822,0.434,3567499.819,0.434,0.0,,0.0,,121025497.098,0.022,113500628.549,0.022,3627356.939,0.023,1059608.746,0.024,2837831.24,0.021,31406.716,0.023,1.988,0.055,1.708,0.056,5.124,0.056,5.124,0.056,8.541,0.056,0.17,0.006,229909.868,0.015
10,2034.9999999999993,612888045.248,0.08,594050064.042,0.071,5114586.16,0.434,5114586.158,0.434,0.0,,0.0,,5114586.165,0.434,5114586.158,0.434,0.0,,0.0,,123664609.401,0.022,115973066.343,0.022,3710211.356,0.023,1084899.589,0.024,2896340.611,0.021,32139.536,0.023,2.098,0.055,1.804,0.056,5.412,0.056,5.412,0.056,9.02,0.056,0.172,0.012,233384.319,0.015
11,2035.9999999999998,661845677.747,0.08,636378520.08,0.071,7332583.857,0.434,7332583.853,0.434,0.0,,0.0,,7332583.866,0.434,7332583.853,0.434,0.0,,0.0,,126361270.847,0.022,118499362.417,0.022,3794958.295,0.023,1110794.076,0.024,2956056.306,0.021,32889.454,0.023,2.214,0.055,1.905,0.056,5.715,0.056,5.715,0.056,9.526,0.056,0.173,0.006,236911.278,0.015
12,2036.999999999999,714714056.749,0.08,681723048.836,0.071,10512441.151,0.434,10512441.143,0.434,0.0,,0.0,,10512441.166,0.434,10512441.143,0.434,0.0,,0.0,,129116736.369,0.022,121080689.992,0.022,3881640.985,0.023,1137306.614,0.024,3017003.198,0.021,33656.871,0.023,2.337,0.056,2.012,0.056,6.036,0.056,6.036,0.056,10.06,0.056,0.175,0.012,240491.537,0.015
13,2038.0000000000005,771805573.549,0.08,730298557.618,0.071,15071279.252,0.434,15071279.238,0.434,0.0,,0.0,,15071279.279,0.434,15071279.238,0.434,0.0,,0.0,,131932288.261,0.022,123718247.844,0.022,3970303.642,0.023,1164451.957,0.024,3079206.671,0.021,34442.195,0.023,2.466,0.055,2.125,0.056,6.375,0.056,6.375,0.056,10.624,0.056,0.176,0.006,244125.901,0.015
14,2038.999999999999,833457573.328,0.08,782335266.748,0.071,21607108.665,0.434,21607108.643,0.434,0.0,,0.0,,21607108.711,0.434,21607108.643,0.434,0.0,,0.0,,134809236.784,0.022,126413260.865,0.022,4060991.489,0.023,1192245.207,0.024,3142692.632,0.021,35245.842,0.023,2.602,0.055,2.244,0.056,6.732,0.056,6.732,0.056,11.22,0.056,0.178,0.011,247815.189,0.015
15,2039.9999999999998,900034348.474,0.08,838079800.669,0.071,30977273.865,0.434,30977273.828,0.434,0.037,inf,0.0,,30977273.94,0.434,30977273.828,0.434,0.112,inf,0.0,,137748920.767,0.022,129166980.627,0.022,4153750.787,0.023,1220701.829,0.024,3207487.523,0.021,36068.241,0.023,2.746,0.055,2.37,0.056,7.11,0.056,7.11,0.056,11.85,0.056,0.179,0.006,251560.23,0.015
16,2041.0000000000002,964090054.06,0.071,892550374.966,0.065,35111764.863,0.133,35111764.819,0.133,0.044,0.189,0.0,,35111764.952,0.133,35111764.819,0.133,0.132,0.179,0.0,,141227200.206,0.025,132416487.495,0.025,4258994.414,0.025,1251951.501,0.026,3299590.583,0.029,37088.518,0.028,2.86,0.042,2.467,0.041,7.401,0.041,7.401,0.041,12.335,0.041,0.182,0.017,254658.192,0.012
17,2041.9999999999995,1032704622.788,0.071,950561236.789,0.065,39798080.269,0.133,39798080.216,0.133,0.052,0.182,0.0,,39798080.375,0.133,39798080.216,0.133,0.157,0.189,0.0,,144793309.211,0.025,135747743.545,0.025,4366904.6,0.025,1284001.156,0.026,3394338.383,0.029,38137.657,0.028,2.979,0.042,2.568,0.041,7.704,0.041,7.704,0.041,12.84,0.041,0.185,0.016,257794.306,0.012
18,2043.0,1106202510.27,0.071,1012342485.341,0.065,45109871.271,0.133,45109871.208,0.133,0.062,0.192,0.0,,45109871.397,0.133,45109871.208,0.133,0.185,0.178,0.0,,148449465.554,0.025,139162805.373,0.025,4477548.908,0.025,1316871.275,0.026,3491806.868,0.029,39216.472,0.028,3.104,0.042,2.673,0.041,8.02,0.041,8.02,0.041,13.366,0.041,0.188,0.016,260969.04,0.012
19,2044.0000000000002,1184931263.718,0.071,1078139175.009,0.065,51130619.175,0.133,51130619.1,0.133,0.073,0.177,0.0,,51130619.324,0.133,51130619.1,0.133,0.219,0.184,0.0,,152197943.009,0.025,142663781.317,0.025,4590996.612,0.025,1350582.861,0.026,3592074.163,0.029,40325.805,0.028,3.233,0.042,2.783,0.041,8.348,0.041,8.348,0.041,13.913,0.041,0.191,0.016,264182.872,0.012
20,2044.9999999999993,1269263165.38,0.071,1148212287.364,0.065,57954947.41,0.133,57954947.322,0.133,0.086,0.178,0.0,,57954947.587,0.133,57954947.322,0.133,0.259,0.183,0.0,,156041072.762,0.025,146252832.753,0.025,4707318.741,0.025,1385157.456,0.026,3695220.634,0.029,41466.518,0.028,3.368,0.042,2.897,0.041,8.69,0.041,8.69,0.041,14.483,0.041,0.194,0.016,267436.282,0.012
