,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,177514942.261,,177514942.261,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,74091067.412,,69585013.531,,2199154.987,,636699.864,,1670199.031,,25149.438,,1.138,,0.977,,2.931,,2.931,,4.884,,0.159,,195108.949,
1,2026.0,199363120.082,0.123,199115055.81,0.122,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,77232604.894,0.042,72537182.692,0.042,2291559.326,0.042,663583.603,0.042,1740277.225,0.042,26174.123,0.041,1.228,0.079,1.055,0.08,3.165,0.08,3.165,0.08,5.274,0.08,0.161,0.013,200575.968,0.028
2,2026.9999999999995,223900327.164,0.123,223343482.781,0.122,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,80507346.797,0.042,75614598.69,0.042,2387846.322,0.042,691602.47,0.042,1813295.76,0.042,27240.558,0.041,1.325,0.079,1.139,0.08,3.417,0.08,3.417,0.08,5.696,0.08,0.163,0.012,206196.175,0.028
3,2027.999999999999,251457523.757,0.123,250520037.763,0.122,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,83920941.126,0.042,78822575.165,0.042,2488179.115,0.042,720804.393,0.042,1889378.007,0.042,28350.444,0.041,1.429,0.078,1.23,0.08,3.69,0.08,3.69,0.08,6.151,0.08,0.165,0.012,211973.861,0.028
4,2029.0,282406404.023,0.123,281003450.556,0.122,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,87479275.366,0.042,82166651.193,0.042,2592727.702,0.042,751239.325,0.042,1968652.511,0.042,29505.551,0.041,1.543,0.08,1.328,0.08,3.985,0.08,3.985,0.08,6.642,0.08,0.167,0.012,217913.441,0.028
5,2030.0,317164409.486,0.123,315196101.396,0.122,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,91188486.639,0.042,85652600.847,0.042,2701669.224,0.042,782959.329,0.042,2051253.214,0.042,30707.721,0.041,1.665,0.079,1.435,0.081,4.304,0.08,4.304,0.08,7.173,0.08,0.169,0.012,224019.449,0.028
6,2031.0000000000007,356200359.523,0.123,353549332.361,0.122,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,95054972.285,0.042,89286443.164,0.042,2815188.263,0.042,816018.664,0.042,2137319.677,0.042,31958.872,0.041,1.796,0.079,1.549,0.079,4.647,0.08,4.647,0.08,7.746,0.08,0.171,0.012,230296.55,0.028
7,2032.0000000000005,400040774.846,0.123,396569405.077,0.122,1735684.885,inf,1735684.885,inf,0.0,,0.0,,1735684.885,inf,1735684.885,inf,0.0,,0.0,,99085400.901,0.042,93074452.546,0.042,2933477.157,0.042,850473.883,0.042,2226997.315,0.042,33261.0,0.041,1.938,0.079,1.673,0.08,5.019,0.08,5.019,0.08,8.365,0.08,0.174,0.018,236749.537,0.028
8,2033.0000000000007,431386975.038,0.078,423399880.457,0.068,2488384.117,0.434,2488384.117,0.434,0.0,,0.0,,2488384.118,0.434,2488384.117,0.434,0.0,,0.0,,101255478.734,0.022,95110603.877,0.022,3000941.097,0.023,871272.873,0.024,2272614.193,0.02,34061.955,0.024,2.041,0.053,1.763,0.054,5.289,0.054,5.289,0.054,8.815,0.054,0.175,0.006,240068.91,0.014
9,2034.0000000000002,465189385.518,0.078,452045610.367,0.068,3567499.82,0.434,3567499.819,0.434,0.0,,0.0,,3567499.822,0.434,3567499.819,0.434,0.0,,0.0,,103473083.628,0.022,97191299.25,0.022,3069956.569,0.023,892580.518,0.024,2319165.467,0.02,34882.198,0.024,2.149,0.053,1.858,0.054,5.574,0.054,5.574,0.054,9.289,0.054,0.177,0.011,243434.823,0.014
10,2034.9999999999993,501640468.814,0.078,482629408.472,0.068,5114586.16,0.434,5114586.158,0.434,0.0,,0.0,,5114586.165,0.434,5114586.158,0.434,0.0,,0.0,,105739256.476,0.022,99317513.135,0.022,3140559.255,0.023,914409.259,0.024,2366670.278,0.02,35722.192,0.024,2.263,0.053,1.958,0.054,5.874,0.054,5.874,0.054,9.789,0.054,0.179,0.011,246847.927,0.014
11,2035.9999999999998,540947768.341,0.078,515282397.573,0.068,7332583.857,0.434,7332583.853,0.434,0.0,,0.0,,7332583.866,0.434,7332583.853,0.434,0.0,,0.0,,108055060.969,0.022,101490241.322,0.022,3212785.657,0.023,936771.837,0.024,2415148.158,0.02,36582.415,0.024,2.383,0.053,2.063,0.054,6.19,0.054,6.19,0.054,10.316,0.054,0.181,0.011,250308.886,0.014
12,2036.999999999999,583335090.099,0.078,550144571.772,0.068,10512441.151,0.434,10512441.143,0.434,0.0,,0.0,,10512441.166,0.434,10512441.143,0.434,0.0,,0.0,,110421584.094,0.022,103710501.386,0.022,3286673.118,0.023,959681.31,0.024,2464619.038,0.02,37463.352,0.024,2.509,0.053,2.174,0.054,6.523,0.054,6.523,0.054,10.871,0.054,0.182,0.006,253818.369,0.014
13,2038.0000000000005,629043776.971,0.078,587365396.676,0.068,15071279.252,0.434,15071279.238,0.434,0.0,,0.0,,15071279.279,0.434,15071279.238,0.434,0.0,,0.0,,112839936.644,0.022,105979333.162,0.022,3362259.839,0.023,983151.051,0.024,2515103.26,0.02,38365.504,0.024,2.642,0.053,2.291,0.054,6.874,0.054,6.874,0.054,11.456,0.054,0.184,0.011,257377.058,0.014
14,2038.999999999999,678334082.866,0.078,627104450.2,0.068,21607108.665,0.434,21607108.643,0.434,0.0,,0.0,,21607108.711,0.434,21607108.643,0.434,0.0,,0.0,,115311253.74,0.022,108297799.233,0.022,3439584.899,0.023,1007194.763,0.024,2566621.578,0.02,39289.38,0.024,2.782,0.053,2.415,0.054,7.244,0.054,7.244,0.054,12.073,0.054,0.186,0.011,260985.641,0.014
15,2039.9999999999998,731486654.543,0.078,669532106.738,0.068,30977273.865,0.434,30977273.828,0.434,0.037,inf,0.0,,30977273.94,0.434,30977273.828,0.434,0.112,inf,0.0,,117836695.363,0.022,110666985.428,0.022,3518688.276,0.023,1031826.483,0.024,2619195.176,0.02,40235.503,0.024,2.93,0.053,2.545,0.054,7.634,0.054,7.634,0.054,12.723,0.054,0.188,0.011,264644.819,0.014
16,2041.0000000000002,781434794.352,0.068,709755151.682,0.06,35099978.297,0.133,35099978.253,0.133,0.044,0.189,0.0,,35099978.387,0.133,35099978.253,0.133,0.132,0.179,0.0,,120566199.967,0.023,113221225.407,0.023,3599960.225,0.023,1056550.87,0.024,2688335.632,0.026,41256.982,0.025,3.052,0.042,2.649,0.041,7.947,0.041,7.947,0.041,13.245,0.041,0.191,0.016,267458.693,0.011
17,2041.9999999999995,834793545.489,0.068,752394650.338,0.06,39771365.351,0.133,39771365.298,0.133,0.052,0.182,0.0,,39771365.457,0.133,39771365.298,0.133,0.157,0.189,0.0,,123358929.32,0.023,115834418.305,0.023,3683109.332,0.023,1081867.697,0.024,2759301.229,0.026,42304.394,0.025,3.18,0.042,2.758,0.041,8.273,0.041,8.273,0.041,13.788,0.041,0.193,0.01,270302.486,0.011
18,2043.0,891795794.898,0.068,797595774.424,0.06,45064458.117,0.133,45064458.054,0.133,0.062,0.192,0.0,,45064458.243,0.133,45064458.054,0.133,0.185,0.178,0.0,,126216347.924,0.023,118507924.78,0.023,3768178.952,0.023,1107791.159,0.024,2832140.148,0.026,43378.397,0.025,3.313,0.042,2.871,0.041,8.612,0.041,8.612,0.041,14.353,0.041,0.196,0.016,273176.516,0.011
19,2044.0000000000002,952690331.754,0.068,845512417.045,0.06,51061998.185,0.133,51061998.111,0.133,0.073,0.177,0.0,,51061998.335,0.133,51061998.111,0.133,0.219,0.184,0.0,,129139954.205,0.023,121243136.895,0.023,3855213.445,0.023,1134335.794,0.024,2906901.839,0.026,44479.667,0.025,3.452,0.042,2.988,0.041,8.965,0.041,8.965,0.041,14.942,0.041,0.199,0.015,276081.104,0.011
20,2044.9999999999993,1017742933.315,0.068,896307716.643,0.06,57857739.061,0.133,57857738.973,0.133,0.086,0.178,0.0,,57857739.238,0.133,57857738.973,0.133,0.259,0.183,0.0,,132131281.3,0.023,124041478.842,0.023,3944258.193,0.023,1161516.486,0.024,2983637.059,0.026,45608.895,0.025,3.596,0.042,3.111,0.041,9.333,0.041,9.333,0.041,15.554,0.041,0.202,0.015,279016.576,0.011
21,2045.9999999999993,1087237524.921,0.068,950154612.419,0.06,65557911.72,0.133,65557911.616,0.133,0.102,0.186,0.0,,65557911.929,0.133,65557911.616,0.133,0.306,0.181,0.0,,135191897.856,0.023,126904407.682,0.023,4035359.628,0.023,1189348.475,0.024,3062397.904,0.026,46766.791,0.025,3.747,0.042,3.238,0.041,9.715,0.041,9.715,0.041,16.192,0.041,0.205,0.015,281983.26,0.011
22,2046.9999999999995,1161477419.201,0.068,1007236433.133,0.06,74282885.208,0.133,74282885.085,0.133,0.121,0.186,0.0,,74282885.454,0.133,74282885.085,0.133,0.362,0.183,0.0,,138323408.855,0.023,129833414.109,0.023,4128565.255,0.023,1217847.367,0.024,3143237.846,0.026,47954.083,0.025,3.903,0.042,3.371,0.041,10.114,0.041,10.114,0.041,16.856,0.041,0.208,0.015,284981.487,0.011
23,2048.0,1240786639.895,0.068,1067747521.267,0.06,84169048.252,0.133,84169048.107,0.133,0.143,0.182,0.0,,84169048.541,0.133,84169048.107,0.133,0.428,0.182,0.0,,141527456.458,0.023,132830023.221,0.023,4223923.672,0.023,1247029.143,0.024,3226211.768,0.026,49171.518,0.025,4.067,0.042,3.51,0.041,10.529,0.041,10.529,0.041,17.548,0.041,0.211,0.014,288011.593,0.011
24,2049.000000000001,1325511336.07,0.068,1131893894.689,0.06,95370941.284,0.133,95370941.114,0.133,0.169,0.182,0.0,,95370941.624,0.133,95370941.114,0.133,0.506,0.182,0.0,,144805720.863,0.023,135895795.315,0.023,4321484.605,0.023,1276910.166,0.024,3311376.002,0.026,50419.86,0.025,4.237,0.042,3.653,0.041,10.96,0.041,10.96,0.041,18.267,0.041,0.214,0.014,291073.918,0.011
25,2049.999999999999,1416021292.911,0.068,1199893948.07,0.06,108063672.221,0.133,108063672.021,0.133,0.2,0.183,0.0,,108063672.62,0.133,108063672.021,0.133,0.599,0.184,0.0,,148159921.188,0.023,139032326.703,0.023,4421298.926,0.023,1307507.192,0.024,3398788.367,0.026,51699.894,0.025,4.414,0.042,3.803,0.041,11.41,0.041,11.41,0.041,19.016,0.041,0.218,0.019,294168.803,0.011
