,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%),,2x Rev,3x Rev,4x Rev
0,2025,206425783,,206425783,,0,,0,,0,,0,,0,,0,,0,,0,,85679153.8,,80594201.55,,2583223.273,,752613.484,,1749115.493,,22504.857,,1.009,,0.872,,2.615,,2.615,,4.359,,0.153,,182863.947,,,0,0,0
1,2026,232438072.5,0.126,232194004.6,0.125,0,,0,,0,,0,,0,,0,,0,,0,,89644272.18,0.046,84289014.44,0.046,2690853.891,0.042,783835.938,0.041,1876612.083,0.073,23509.022,0.045,1.088,0.078,0.94,0.078,2.82,0.078,2.82,0.078,4.7,0.078,0.156,0.02,188135.671,0.029,,0,0,0
2,2027,261728243.3,0.126,261178884.7,0.125,0,,0,,0,,0,,0,,0,,0,,0,,93792891.02,0.046,88153214.73,0.046,2802968.966,0.042,816353.668,0.041,2013402.159,0.073,24557.993,0.045,1.173,0.078,1.014,0.079,3.041,0.078,3.041,0.078,5.068,0.078,0.158,0.013,193559.372,0.029,,0,0,0
3,2028,294709350.4,0.126,293781960.2,0.125,0,,0,,0,,0,,0,,0,,0,,0,,98133502.48,0.046,92194567.93,0.046,2919755.342,0.042,850220.407,0.041,2160163.142,0.073,25653.768,0.045,1.264,0.078,1.093,0.078,3.278,0.078,3.278,0.078,5.464,0.078,0.161,0.019,199139.43,0.029,,0,0,0
4,2029,331846498.9,0.126,330454891.9,0.125,0,,0,,0,,0,,0,,0,,0,,0,,102674991.7,0.046,96421195.54,0.046,3041407.65,0.042,885492.121,0.041,2317621.832,0.073,26798.438,0.045,1.362,0.078,1.178,0.078,3.535,0.078,3.535,0.078,5.892,0.078,0.163,0.012,204880.355,0.029,,0,0,0
5,2030,373663403.2,0.126,371705722,0.125,0,,0,,0,,0,,0,,0,,0,,0,,107426655.1,0.046,100841591.4,0.046,3168128.631,0.042,922227.095,0.041,2486558.006,0.073,27994.182,0.045,1.469,0.079,1.27,0.078,3.811,0.078,3.811,0.078,6.352,0.078,0.166,0.018,210786.782,0.029,,0,0,0
6,2031,420749772.4,0.126,418105911.3,0.125,0,,0,,0,,0,,0,,0,,0,,0,,112398219.2,0.046,105464638.8,0.046,3300129.473,0.042,960486.034,0.041,2667808.283,0.073,29243.28,0.045,1.583,0.078,1.37,0.079,4.11,0.078,4.11,0.078,6.849,0.078,0.168,0.012,216863.484,0.029,,0,0,0
7,2032,473769626.6,0.126,470298256.8,0.125,1735684.885,inf,1735684.885,inf,0,,0,,1735684.885,inf,1735684.885,inf,0,,0,,117599860.7,0.046,110299628.1,0.046,3437630.161,0.042,1000332.159,0.041,2862270.26,0.073,30548.114,0.045,1.706,0.078,1.477,0.078,4.431,0.078,4.431,0.078,7.385,0.078,0.171,0.018,223115.369,0.029,,3471369.77,0,0
8,2033,512038017.5,0.081,504142786.6,0.072,2488384.117,0.434,2488384.117,0.434,0,,0,,2488384.118,0.434,2488384.117,0.434,0,,0,,120851027.3,0.028,113312703.3,0.027,3527026.489,0.026,1026802.955,0.026,2982364.55,0.042,31446.404,0.029,1.792,0.05,1.552,0.051,4.655,0.051,4.655,0.051,7.758,0.051,0.173,0.012,226487.141,0.015,,4976768.234,0,0
9,2034,553397509.4,0.081,540422903.1,0.072,3567499.82,0.434,3567499.819,0.434,0,,0,,3567499.822,0.434,3567499.819,0.434,0,,0,,124192075.7,0.028,116408087.1,0.027,3618747.589,0.026,1053974.222,0.026,3107497.72,0.042,32371.109,0.029,1.881,0.05,1.63,0.05,4.89,0.05,4.89,0.05,8.149,0.05,0.176,0.017,229909.868,0.015,,7134999.638,0,0
