,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2025,201869721.1,,201869721.1,,0,,0,,0,,0,,0,,0,,0,,0,,83878832.41,,78885012.35,,2537072.982,,742437.848,,1714309.23,,22210.235,,1,,0.864,,2.591,,2.591,,4.318,,0.154,,180382.274,
1,2026,227007166.9,0.125,226965184.2,0.124,0,,0,,0,,0,,0,,0,,0,,0,,87911896.28,0.048,82645213.78,0.048,2645683.2,0.043,773792.534,0.042,1843141.287,0.075,23222.487,0.046,1.076,0.076,0.929,0.075,2.787,0.076,2.787,0.076,4.645,0.076,0.156,0.013,185610.689,0.029
2,2027,255274805.6,0.125,255180393.3,0.124,0,,0,,0,,0,,0,,0,,0,,0,,92138878.03,0.048,86584652.23,0.048,2758942.94,0.043,806471.393,0.042,1981655.203,0.075,24280.873,0.046,1.157,0.075,0.999,0.075,2.998,0.076,2.998,0.076,4.996,0.076,0.159,0.019,190990.65,0.029
3,2028,287062418.7,0.125,286903180.1,0.124,0,,0,,0,,0,,0,,0,,0,,0,,96569101.6,0.048,90711871.37,0.048,2877051.245,0.043,840530.348,0.042,2130578.578,0.075,25387.496,0.046,1.244,0.075,1.075,0.076,3.224,0.075,3.224,0.075,5.374,0.076,0.161,0.013,196526.551,0.029
4,2029,322808324.2,0.125,322569589.7,0.124,0,,0,,0,,0,,0,,0,,0,,0,,101212339.3,0.048,95035822.13,0.048,3000215.68,0.043,876027.683,0.042,2290693.694,0.075,26544.554,0.046,1.338,0.076,1.156,0.075,3.468,0.076,3.468,0.076,5.78,0.076,0.164,0.019,202222.911,0.029
5,2030,363005421.2,0.125,362669874.1,0.124,0,,0,,0,,0,,0,,0,,0,,0,,106078833.2,0.048,99565882.07,0.048,3128652.694,0.043,913024.144,0.042,2462841.621,0.075,27754.346,0.046,1.439,0.075,1.243,0.075,3.73,0.076,3.73,0.076,6.217,0.076,0.166,0.012,208084.38,0.029
6,2031,408207985.7,0.125,407755231.1,0.124,0,,0,,0,,0,,0,,0,,0,,0,,111179318,0.048,104311875.8,0.048,3262588,0.043,951583.042,0.042,2647926.638,0.075,29019.276,0.046,1.548,0.076,1.338,0.076,4.013,0.076,4.013,0.076,6.688,0.076,0.169,0.018,214115.746,0.029
7,2032,459039314.2,0.125,458445380.5,0.124,296966.835,inf,296966.835,inf,0,,0,,296966.835,inf,296966.835,inf,0,,0,,116525044.5,0.048,109284096.1,0.048,3402256.979,0.043,991770.362,0.042,2846920.98,0.075,30341.856,0.046,1.665,0.076,1.439,0.075,4.316,0.076,4.316,0.076,7.193,0.076,0.172,0.018,220321.932,0.029
8,2033,496368807.4,0.081,491963070.7,0.073,519126.062,0.748,519126.062,0.748,0,,0,,519126.062,0.748,519126.062,0.748,0,,0,,119760923.5,0.028,112281628,0.027,3490589.483,0.026,1017541.281,0.026,2968813.016,0.043,31223.431,0.029,1.749,0.05,1.512,0.051,4.537,0.051,4.537,0.051,7.562,0.051,0.174,0.012,223672.87,0.015
9,2034,536733968.7,0.081,527931294,0.073,907481.362,0.748,907481.362,0.748,0,,0,,907481.362,0.748,907481.362,0.748,0,,0,,123086662.4,0.028,115361378.6,0.027,3581215.356,0.026,1043981.852,0.026,3095923.907,0.043,32130.621,0.029,1.838,0.051,1.59,0.052,4.77,0.051,4.77,0.051,7.95,0.051,0.177,0.017,227074.772,0.015
