,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,15171833.088,,15171833.088,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7567827.412,,7106760.691,,232999.551,,76621.346,,151445.824,,20733.774,,1.253,,1.089,,3.267,,3.267,,5.445,,0.134,,191597.168,
1,2026.0,16983127.178,0.119,16983127.178,0.119,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8070520.766,0.066,7571926.396,0.065,247726.479,0.063,81664.068,0.066,168267.137,0.111,22111.016,0.066,1.315,0.049,1.141,0.048,3.424,0.048,3.424,0.048,5.706,0.048,0.139,0.037,197256.194,0.03
2,2026.9999999999995,19010663.185,0.119,19010663.185,0.119,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8606605.553,0.066,8067539.044,0.065,263384.235,0.063,87038.669,0.066,186956.818,0.111,23579.741,0.066,1.381,0.05,1.196,0.048,3.588,0.048,3.588,0.048,5.98,0.048,0.144,0.036,203082.366,0.03
3,2027.999999999999,21280257.219,0.119,21280257.219,0.119,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9178299.803,0.066,8595591.507,0.065,280031.652,0.063,92766.992,0.066,207722.39,0.111,25146.027,0.066,1.449,0.049,1.254,0.048,3.761,0.048,3.761,0.048,6.268,0.048,0.149,0.035,209080.619,0.03
4,2029.0,23820807.455,0.119,23820807.455,0.119,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9787968.874,0.066,9158207.1,0.065,297731.282,0.063,98872.317,0.066,230794.425,0.111,26816.353,0.066,1.521,0.05,1.314,0.048,3.941,0.048,3.941,0.048,6.569,0.048,0.154,0.034,215256.038,0.03
5,2030.0,26664662.083,0.119,26664662.083,0.119,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10438135.247,0.066,9757648.118,0.065,316549.633,0.063,105379.454,0.066,256429.104,0.111,28597.631,0.066,1.597,0.05,1.377,0.048,4.13,0.048,4.13,0.048,6.884,0.048,0.16,0.039,221613.854,0.03
6,2031.0000000000007,29848031.196,0.119,29848031.196,0.119,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,11131488.957,0.066,10396324.931,0.065,336557.412,0.063,112314.849,0.066,284911.066,0.111,30497.23,0.066,1.676,0.049,1.443,0.048,4.329,0.048,4.329,0.048,7.215,0.048,0.166,0.038,228159.455,0.03
7,2032.0000000000005,33411447.836,0.119,33411447.836,0.119,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,11870898.726,0.066,11076805.677,0.065,357829.8,0.063,119706.687,0.066,316556.562,0.111,32523.01,0.066,1.759,0.05,1.512,0.048,4.537,0.048,4.537,0.048,7.561,0.048,0.172,0.036,234898.387,0.03
8,2033.0000000000007,36235939.357,0.085,35789859.153,0.071,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,12314893.207,0.037,11479305.269,0.036,369398.367,0.032,123736.737,0.034,340649.031,0.076,33739.433,0.037,1.839,0.045,1.581,0.046,4.742,0.045,4.742,0.045,7.903,0.045,0.175,0.017,238418.436,0.015
9,2034.0000000000002,39299203.898,0.085,38337578.919,0.071,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,12775493.937,0.037,11896430.551,0.036,381340.944,0.032,127902.462,0.034,366575.128,0.076,35001.353,0.037,1.923,0.046,1.652,0.045,4.956,0.045,4.956,0.045,8.261,0.045,0.179,0.023,241991.234,0.015
10,2034.9999999999993,42621426.53,0.085,41066659.443,0.071,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13253322.022,0.037,12328712.978,0.036,393669.622,0.032,132208.432,0.034,394474.407,0.076,36310.471,0.037,2.01,0.045,1.727,0.045,5.181,0.045,5.181,0.045,8.634,0.045,0.183,0.022,245617.571,0.015
11,2035.9999999999998,46224498.699,0.085,43990010.985,0.071,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13749021.797,0.037,12776703.318,0.036,406396.883,0.032,136659.366,0.034,424497.043,0.076,37668.553,0.037,2.101,0.045,1.805,0.045,5.415,0.045,5.415,0.045,9.025,0.045,0.187,0.022,249298.251,0.015
12,2036.999999999999,50132162.481,0.085,47121462.83,0.071,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14263261.699,0.037,13240972.352,0.036,419535.615,0.032,141260.145,0.034,456804.64,0.076,39077.429,0.037,2.197,0.046,1.887,0.045,5.66,0.045,5.66,0.045,9.433,0.045,0.192,0.027,253034.088,0.015
13,2038.0000000000005,54370167.028,0.085,50475828.705,0.071,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14796735.164,0.037,13722111.601,0.036,433099.119,0.032,146015.815,0.034,491571.102,0.076,40539.0,0.037,2.297,0.046,1.972,0.045,5.916,0.045,5.916,0.045,9.859,0.045,0.196,0.021,256825.907,0.015
14,2038.999999999999,58966438.237,0.085,54068976.862,0.071,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15350161.565,0.037,14220734.081,0.036,447101.128,0.032,150931.589,0.034,528983.567,0.076,42055.237,0.037,2.401,0.045,2.061,0.045,6.183,0.045,6.183,0.045,10.305,0.045,0.2,0.02,260674.548,0.015
15,2039.9999999999998,63951262.767,0.085,57917905.143,0.071,3016678.812,inf,3016678.812,inf,0.0,,0.0,,3016678.812,inf,3016678.812,inf,0.0,,0.0,,15924287.179,0.037,14737475.083,0.036,461555.82,0.032,156012.858,0.034,569243.418,0.076,43628.184,0.037,2.51,0.045,2.154,0.045,6.463,0.045,6.463,0.045,10.771,0.045,0.205,0.025,264580.863,0.015
16,2041.0000000000002,67171862.88,0.05,60882581.936,0.051,3143692.57,0.042,3143692.57,0.042,0.0,,0.0,,3143692.57,0.042,3143692.57,0.042,0.0,,0.0,,16395793.847,0.03,15169446.673,0.029,478530.778,0.037,161990.724,0.038,585659.99,0.029,44919.983,0.03,2.561,0.02,2.195,0.019,6.586,0.019,6.586,0.019,10.977,0.019,0.208,0.015,267462.479,0.011
17,2041.9999999999995,70554653.145,0.05,63999013.33,0.051,3276054.094,0.042,3276054.094,0.042,0.0,,0.0,,3276054.094,0.042,3276054.094,0.042,0.0,,0.0,,16881261.488,0.03,15614079.826,0.029,496130.036,0.037,168197.641,0.038,602550.003,0.029,46250.031,0.03,2.612,0.02,2.237,0.019,6.711,0.019,6.711,0.019,11.186,0.019,0.212,0.019,270375.48,0.011
18,2043.0,74107801.496,0.05,67274967.271,0.051,3413988.546,0.042,3413988.546,0.042,0.0,,0.0,,3413988.546,0.042,3413988.546,0.042,0.0,,0.0,,17381103.476,0.03,16071745.665,0.029,514376.555,0.037,174642.385,0.038,619927.112,0.029,47619.462,0.03,2.665,0.02,2.28,0.019,6.839,0.019,6.839,0.019,11.399,0.019,0.216,0.019,273320.206,0.011
19,2044.0000000000002,77839887.205,0.05,70718609.333,0.051,3557730.568,0.042,3557730.568,0.042,0.0,,0.0,,3557730.568,0.042,3557730.568,0.042,0.0,,0.0,,17895745.426,0.03,16542826.192,0.029,533294.138,0.037,181334.069,0.038,637805.365,0.029,49029.44,0.03,2.719,0.02,2.323,0.019,6.969,0.019,6.969,0.019,11.616,0.019,0.22,0.019,276297.005,0.011
20,2044.9999999999993,81759921.597,0.05,74338523.062,0.051,3707524.681,0.042,3707524.681,0.042,0.0,,0.0,,3707524.681,0.042,3707524.681,0.042,0.0,,0.0,,18425625.552,0.03,17027714.608,0.029,552907.467,0.037,188282.155,0.038,656199.213,0.029,50481.166,0.03,2.773,0.02,2.367,0.019,7.102,0.019,7.102,0.019,11.837,0.019,0.224,0.018,279306.225,0.011
