,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,46341487.438,,46341487.438,,0.0,,0.0,,20237635.665,,27633.424,,0.741,,0.16,,205209.073,
1,2026.0,53208241.138,0.148,53164771.566,0.147,0.0,,0.0,,20705778.24,0.023,28272.725,0.023,0.832,0.123,0.16,0.0,210769.667,0.027
2,2026.9999999999995,61092491.448,0.148,60992710.679,0.147,0.0,,0.0,,21184750.019,0.023,28926.816,0.023,0.933,0.121,0.159,-0.006,216480.938,0.027
3,2027.999999999999,70145008.209,0.148,69973229.383,0.147,0.0,,0.0,,21674801.505,0.023,29596.04,0.023,1.047,0.122,0.158,-0.006,222346.968,0.027
4,2029.0,80538901.916,0.148,80276032.593,0.147,0.0,,0.0,,22176188.997,0.023,30280.747,0.023,1.175,0.122,0.158,0.0,228371.951,0.027
5,2030.0,92472934.105,0.148,92095812.436,0.147,0.0,,0.0,,22689174.723,0.023,30981.294,0.023,1.319,0.123,0.157,-0.006,234560.195,0.027
6,2031.0000000000007,106175318.244,0.148,105655927.358,0.147,0.0,,0.0,,23214026.976,0.023,31698.048,0.023,1.48,0.122,0.157,0.0,240916.123,0.027
7,2032.0000000000005,121908083.844,0.148,121212622.926,0.147,347730.459,inf,347730.459,inf,23751020.257,0.023,32431.385,0.023,1.661,0.122,0.156,-0.006,247444.278,0.027
8,2033.0000000000007,133662566.416,0.096,131153202.479,0.082,549077.377,0.579,549077.377,0.579,24279046.639,0.022,33142.922,0.022,1.782,0.073,0.157,0.006,250725.763,0.013
9,2034.0000000000002,146550426.334,0.096,141909003.414,0.082,867010.519,0.579,867010.52,0.579,24818811.963,0.022,33870.07,0.022,1.912,0.073,0.159,0.013,254050.765,0.013
10,2034.9999999999993,160680944.82,0.096,153546881.58,0.082,1369036.991,0.579,1369036.993,0.579,25370577.207,0.022,34613.172,0.022,2.051,0.073,0.16,0.006,257419.862,0.013
11,2035.9999999999998,176173940.083,0.096,166139175.638,0.082,2161752.646,0.579,2161752.65,0.579,25934609.15,0.022,35372.577,0.022,2.201,0.073,0.161,0.006,260833.638,0.013
12,2036.999999999999,193160783.309,0.096,179764156.704,0.082,3413475.7,0.579,3413475.709,0.579,26511180.501,0.022,36148.644,0.022,2.361,0.073,0.163,0.012,264292.686,0.013
13,2038.0000000000005,211785512.609,0.096,194506514.863,0.082,5389985.934,0.579,5389985.951,0.579,27100570.034,0.022,36941.737,0.022,2.533,0.073,0.164,0.006,267797.606,0.013
14,2038.999999999999,232206054.368,0.096,210457885.587,0.082,8510958.016,0.579,8510958.047,0.579,27703062.718,0.022,37752.231,0.022,2.718,0.073,0.166,0.012,271349.006,0.013
15,2039.9999999999998,254595562.374,0.096,227717419.32,0.082,13439071.499,0.579,13439071.554,0.579,28318949.86,0.022,38580.506,0.022,2.916,0.073,0.167,0.006,274947.504,0.013
16,2041.0000000000002,275580696.95,0.082,242714180.069,0.066,15468594.964,0.151,15988956.907,0.19,28877773.537,0.02,39341.168,0.02,3.095,0.061,0.168,0.006,278214.805,0.012
17,2041.9999999999995,298295539.102,0.082,258698580.822,0.066,17804610.249,0.151,19022649.142,0.19,29447624.597,0.02,40116.827,0.02,3.286,0.062,0.17,0.012,281520.932,0.012
18,2043.0,322882660.626,0.082,275735664.477,0.066,20493402.722,0.151,22631944.19,0.19,30028720.645,0.02,40907.779,0.02,3.488,0.061,0.171,0.006,284866.348,0.012
19,2044.0000000000002,349496384.849,0.082,293894757.455,0.066,23588247.607,0.151,26926055.04,0.19,30621283.582,0.02,41714.326,0.02,3.702,0.061,0.172,0.006,288251.518,0.012
20,2044.9999999999993,378303755.258,0.082,313249751.799,0.066,27150465.578,0.151,32034916.398,0.19,31225539.685,0.02,42536.775,0.02,3.93,0.062,0.174,0.012,291676.915,0.012
21,2045.9999999999993,409485583.962,0.082,333879405.852,0.066,31250637.75,0.151,38113116.351,0.19,31841719.698,0.02,43375.44,0.02,4.172,0.062,0.175,0.006,295143.018,0.012
22,2046.9999999999995,443237586.574,0.082,355867664.737,0.066,35970004.158,0.151,45344574.024,0.19,32470058.919,0.02,44230.64,0.02,4.428,0.061,0.176,0.006,298650.31,0.012
23,2048.0,479771610.642,0.082,379304001.941,0.066,41402073.44,0.151,53948104.755,0.19,33110797.287,0.02,45102.701,0.02,4.701,0.062,0.178,0.011,302199.28,0.012
24,2049.000000000001,519316965.326,0.082,404283783.396,0.066,47654475.59,0.151,64184041.185,0.19,33764179.477,0.02,45991.956,0.02,4.99,0.061,0.179,0.006,305790.423,0.012
25,2049.999999999999,562121860.68,0.082,430908655.54,0.066,54851094.524,0.151,76362110.616,0.19,34430454.993,0.02,46898.743,0.02,5.296,0.061,0.18,0.006,309424.242,0.012
