,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,69252046.81,,69252046.81,,0.0,,0.0,,28920647.43,,26565.132,,1.231,,0.16,,219438.612,
1,2026.0,76137137.467,0.099,76055769.496,0.098,0.0,,0.0,,29842196.671,0.032,27436.0,0.033,1.311,0.065,0.162,0.012,223301.458,0.018
2,2026.9999999999995,83706749.022,0.099,83527929.356,0.098,0.0,,0.0,,30793110.851,0.032,28335.418,0.033,1.395,0.064,0.164,0.012,227232.302,0.018
3,2027.999999999999,92028937.061,0.099,91734197.533,0.098,0.0,,0.0,,31774325.674,0.032,29264.32,0.033,1.485,0.065,0.167,0.018,231232.342,0.018
4,2029.0,101178523.302,0.099,100746697.085,0.098,0.0,,0.0,,32786806.664,0.032,30223.674,0.033,1.581,0.065,0.169,0.012,235302.796,0.018
5,2030.0,111237768.3,0.099,110644636.86,0.098,0.0,,0.0,,33831550.109,0.032,31214.478,0.033,1.683,0.065,0.172,0.018,239444.904,0.018
6,2031.0000000000007,122297111.012,0.099,121515007.637,0.098,0.0,,0.0,,34909584.043,0.032,32237.763,0.033,1.792,0.065,0.174,0.012,243659.926,0.018
7,2032.0000000000005,134455981.906,0.099,133453346.68,0.098,501317.613,inf,501317.613,inf,36021969.262,0.032,33294.594,0.033,1.908,0.065,0.177,0.017,247949.147,0.018
8,2033.0000000000007,145519779.054,0.082,142289139.256,0.066,767422.013,0.531,767422.013,0.531,36598154.418,0.016,33858.385,0.017,2.03,0.064,0.179,0.011,249867.696,0.008
9,2034.0000000000002,157493967.883,0.082,151709939.495,0.066,1174777.288,0.531,1174777.289,0.531,37183555.876,0.016,34431.723,0.017,2.161,0.065,0.18,0.006,251801.091,0.008
10,2034.9999999999993,170453460.558,0.082,161754480.081,0.066,1798360.815,0.531,1798360.816,0.531,37778321.053,0.016,35014.769,0.017,2.3,0.064,0.182,0.011,253749.445,0.008
11,2035.9999999999998,184479333.443,0.082,172464058.145,0.066,2752948.712,0.531,2752948.713,0.531,38382599.727,0.016,35607.689,0.017,2.447,0.064,0.183,0.005,255712.875,0.008
12,2036.999999999999,199659334.319,0.082,183882705.054,0.066,4214241.405,0.531,4214241.408,0.531,38996544.069,0.016,36210.649,0.017,2.605,0.065,0.185,0.011,257691.497,0.008
13,2038.0000000000005,216088431.354,0.082,196057367.44,0.066,6451202.866,0.531,6451202.871,0.531,39620308.686,0.016,36823.819,0.017,2.772,0.064,0.187,0.011,259685.43,0.008
14,2038.999999999999,233869407.229,0.082,209038100.218,0.066,9875565.83,0.531,9875565.839,0.531,40254050.655,0.016,37447.371,0.017,2.95,0.064,0.188,0.005,261694.791,0.008
15,2039.9999999999998,253113502.166,0.082,222878272.383,0.066,15117614.884,0.531,15117614.9,0.531,40897929.57,0.016,38081.483,0.017,3.14,0.064,0.19,0.011,263719.699,0.008
16,2041.0000000000002,270350798.004,0.068,235016098.792,0.054,16981772.697,0.123,17409707.132,0.152,41546169.996,0.016,38681.889,0.016,3.301,0.051,0.192,0.011,265719.978,0.008
17,2041.9999999999995,288761971.827,0.068,247814944.459,0.054,19075800.391,0.123,20049320.242,0.152,42204685.164,0.016,39291.761,0.016,3.472,0.052,0.193,0.005,267735.429,0.008
18,2043.0,308426965.96,0.068,261310808.122,0.054,21428043.295,0.123,23089144.414,0.152,42873637.931,0.016,39911.248,0.016,3.65,0.051,0.195,0.01,269766.167,0.008
19,2044.0000000000002,329431166.886,0.068,275541648.993,0.054,24070342.006,0.123,26589858.576,0.152,43553193.733,0.016,40540.502,0.016,3.838,0.052,0.196,0.005,271812.308,0.008
20,2044.9999999999993,351865775.997,0.068,290547493.521,0.054,27038463.396,0.123,30621341.631,0.152,44243520.632,0.016,41179.678,0.016,4.036,0.052,0.198,0.01,273873.968,0.008
21,2045.9999999999993,375828205.596,0.068,306370547.973,0.054,30372584.762,0.123,35264067.336,0.152,44944789.351,0.016,41828.931,0.016,4.244,0.052,0.2,0.01,275951.266,0.008
22,2046.9999999999995,401422501.865,0.068,323055317.146,0.054,34117837.674,0.123,40610710.664,0.152,45657173.321,0.016,42488.42,0.016,4.463,0.052,0.201,0.005,278044.32,0.008
23,2048.0,428759796.642,0.068,340648729.542,0.054,38324918.893,0.123,46767997.715,0.152,46380848.721,0.016,43158.307,0.016,4.693,0.052,0.203,0.01,280153.25,0.008
24,2049.000000000001,457958789.958,0.068,359200269.365,0.054,43050776.611,0.123,53858836.117,0.152,47115994.521,0.016,43838.755,0.016,4.935,0.052,0.204,0.005,282278.175,0.008
25,2049.999999999999,489146265.445,0.068,378762115.7,0.054,48359381.32,0.123,62024768.424,0.152,47862792.53,0.016,44529.932,0.016,5.189,0.051,0.206,0.01,284419.218,0.008
