,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,44095510.692,,44095510.692,,0.0,,0.0,,20253585.824,,27420.69,,0.722,,0.16,,204006.406,
1,2026.0,50620855.611,0.148,50583719.197,0.147,0.0,,0.0,,20724238.489,0.023,28056.949,0.023,0.81,0.122,0.159,-0.006,209545.319,0.027
2,2026.9999999999995,58111834.573,0.148,58026601.975,0.147,0.0,,0.0,,21205828.177,0.023,28707.971,0.023,0.909,0.122,0.159,0.0,215234.617,0.027
3,2027.999999999999,66711344.104,0.148,66564629.692,0.147,0.0,,0.0,,21698609.042,0.023,29374.1,0.023,1.02,0.122,0.158,-0.006,221078.384,0.027
4,2029.0,76583426.85,0.148,76358941.851,0.147,0.0,,0.0,,22202841.145,0.023,30055.685,0.023,1.144,0.122,0.158,0.0,227080.813,0.027
5,2030.0,87916400.828,0.148,87594388.004,0.147,0.0,,0.0,,22718790.59,0.023,30753.085,0.023,1.284,0.122,0.157,-0.006,233246.211,0.027
6,2031.0000000000007,100926451.748,0.148,100483016.446,0.147,0.0,,0.0,,23246729.663,0.023,31466.667,0.023,1.441,0.122,0.156,-0.006,239579.005,0.027
7,2032.0000000000005,115861756.924,0.148,115268076.234,0.147,296840.345,inf,296840.345,inf,23786936.981,0.023,32196.807,0.023,1.616,0.121,0.156,0.0,246083.738,0.027
8,2033.0000000000007,127115138.915,0.097,124765082.449,0.082,476235.861,0.604,476235.861,0.604,24307896.34,0.022,32868.984,0.021,1.737,0.075,0.157,0.006,249357.169,0.013
9,2034.0000000000002,139461535.631,0.097,135044552.726,0.082,764049.09,0.604,764049.09,0.604,24840265.267,0.022,33555.193,0.021,1.867,0.075,0.158,0.006,252674.143,0.013
10,2034.9999999999993,153007109.038,0.097,146170954.749,0.082,1225802.295,0.604,1225802.295,0.604,25384293.642,0.022,34255.729,0.021,2.006,0.074,0.159,0.006,256035.239,0.013
11,2035.9999999999998,167868332.371,0.097,158214067.735,0.082,1966616.133,0.604,1966616.133,0.604,25940236.821,0.022,34970.89,0.021,2.156,0.075,0.16,0.006,259441.045,0.013
12,2036.999999999999,184172991.636,0.097,171249420.053,0.082,3155140.948,0.604,3155140.948,0.604,26508355.75,0.022,35700.981,0.021,2.317,0.075,0.162,0.012,262892.156,0.013
13,2038.0000000000005,202061284.394,0.097,185358762.898,0.082,5061950.949,0.604,5061950.949,0.604,27088917.091,0.022,36446.315,0.021,2.49,0.075,0.163,0.006,266389.174,0.013
14,2038.999999999999,221687025.271,0.097,200630582.996,0.082,8121141.917,0.604,8121141.917,0.604,27682193.346,0.022,37207.209,0.021,2.676,0.075,0.164,0.006,269932.709,0.013
15,2039.9999999999998,243218968.547,0.097,217160657.549,0.082,13029155.499,0.604,13029155.499,0.604,28288462.986,0.022,37983.988,0.021,2.876,0.075,0.165,0.006,273523.381,0.013
16,2041.0000000000002,263277988.766,0.082,231561450.624,0.066,14958215.862,0.148,15473464.136,0.188,28847391.389,0.02,38732.507,0.02,3.053,0.062,0.167,0.012,276795.859,0.012
17,2041.9999999999995,284991338.392,0.082,246917217.972,0.066,17172887.514,0.148,18376332.403,0.188,29417363.197,0.02,39495.777,0.02,3.241,0.062,0.168,0.006,280107.489,0.012
18,2043.0,308495455.087,0.082,263291287.763,0.066,19715457.264,0.148,21823787.46,0.188,29998596.608,0.02,40274.088,0.02,3.44,0.061,0.169,0.006,283458.74,0.012
19,2044.0000000000002,333938028.946,0.082,280751187.711,0.066,22634472.787,0.148,25917995.423,0.188,30591314.131,0.02,41067.737,0.02,3.652,0.062,0.17,0.006,286850.086,0.012
20,2044.9999999999993,361478930.523,0.082,299368923.564,0.066,25985669.594,0.148,30780289.075,0.188,31195742.67,0.02,41877.025,0.02,3.877,0.062,0.172,0.012,290282.007,0.012
21,2045.9999999999993,391291215.393,0.082,319221276.056,0.066,29833035.238,0.148,36554763.596,0.188,31812113.614,0.02,42702.262,0.02,4.116,0.062,0.173,0.006,293754.988,0.012
22,2046.9999999999995,423562211.558,0.082,340390117.565,0.066,34250031.091,0.148,43412546.85,0.188,32440662.923,0.02,43543.76,0.02,4.369,0.061,0.174,0.006,297269.52,0.012
23,2048.0,458494696.538,0.082,362962749.749,0.066,39320995.01,0.148,51556870.805,0.188,33081631.219,0.02,44401.841,0.02,4.638,0.062,0.176,0.011,300826.1,0.012
24,2049.000000000001,496308171.544,0.082,387032263.591,0.066,45142751.681,0.148,61229094.353,0.188,33735263.879,0.02,45276.832,0.02,4.923,0.061,0.177,0.006,304425.232,0.012
25,2049.999999999999,537240240.73,0.082,412697923.311,0.066,51826461.38,0.148,72715856.039,0.188,34401811.127,0.02,46169.066,0.02,5.226,0.062,0.179,0.011,308067.424,0.012
