,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,172766164.463,,172766164.463,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,73622468.664,,69358721.97,,2199103.259,,636442.098,,1428201.337,,24856.704,,1.12,,0.97,,2.911,,2.911,,4.852,,0.156,,197346.148,
1,2026.0,194417792.989,0.125,194172671.571,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,77250797.717,0.049,72735792.457,0.049,2295231.887,0.044,664328.358,0.044,1549610.413,0.085,26080.162,0.049,1.201,0.072,1.041,0.073,3.124,0.073,3.124,0.073,5.206,0.073,0.159,0.019,202884.56,0.028
2,2026.9999999999995,218782875.387,0.125,218231541.473,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,81057941.362,0.049,76277292.229,0.049,2395562.553,0.044,693436.479,0.044,1681340.278,0.085,27363.839,0.049,1.289,0.073,1.117,0.073,3.351,0.073,3.351,0.073,5.586,0.073,0.162,0.019,208578.405,0.028
3,2027.999999999999,246201470.692,0.125,245271413.882,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,85052712.101,0.049,79991227.335,0.049,2500278.937,0.044,723819.997,0.044,1824268.285,0.085,28710.699,0.049,1.382,0.072,1.199,0.073,3.596,0.073,3.596,0.073,5.993,0.073,0.165,0.019,214432.044,0.028
4,2029.0,277056255.265,0.125,275661648.457,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,89244356.744,0.049,83885993.636,0.049,2609572.752,0.044,755534.795,0.044,1979346.37,0.085,30123.852,0.049,1.482,0.072,1.286,0.073,3.858,0.073,3.858,0.073,6.431,0.073,0.169,0.024,220449.963,0.028
5,2030.0,311777863.738,0.125,309817370.184,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,93642577.806,0.049,87970395.79,0.049,2723644.089,0.044,788639.205,0.044,2147607.39,0.085,31606.562,0.049,1.59,0.073,1.38,0.073,4.14,0.073,4.14,0.073,6.9,0.073,0.172,0.018,226636.771,0.028
6,2031.0000000000007,350850899.303,0.125,348205139.906,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,98257555.975,0.049,92253667.149,0.049,2842701.787,0.044,823194.112,0.044,2330172.007,0.085,33162.25,0.049,1.705,0.072,1.481,0.073,4.442,0.073,4.442,0.073,7.403,0.073,0.176,0.023,232997.209,0.028
7,2032.0000000000005,394820697.229,0.125,391349327.459,0.124,1735684.885,inf,1735684.885,inf,0.0,,0.0,,1735684.885,inf,1735684.885,inf,0.0,,0.0,,103099973.67,0.049,96745490.64,0.049,2966963.811,0.044,859263.073,0.044,2528256.146,0.085,34794.511,0.049,1.829,0.073,1.589,0.073,4.766,0.073,4.766,0.073,7.943,0.073,0.179,0.017,239536.149,0.028
8,2033.0000000000007,431277065.914,0.092,420179321.477,0.074,2671143.951,0.539,2671143.951,0.539,0.0,,0.0,,2671143.952,0.539,2671143.951,0.539,0.0,,0.0,,105693335.925,0.025,99143754.797,0.025,3035925.892,0.023,880832.011,0.025,2630647.986,0.04,35708.75,0.026,1.946,0.064,1.691,0.064,5.073,0.064,5.073,0.064,8.455,0.064,0.182,0.017,242971.191,0.014
9,2034.0000000000002,471099688.767,0.092,451133168.781,0.074,4110774.986,0.539,4110774.984,0.539,0.0,,0.0,,4110774.99,0.539,4110774.984,0.539,0.0,,0.0,,108351931.249,0.025,101601470.521,0.025,3106490.881,0.023,902942.365,0.025,2737186.593,0.04,36647.012,0.026,2.072,0.065,1.8,0.064,5.4,0.064,5.4,0.064,8.999,0.064,0.184,0.011,246455.493,0.014
10,2034.9999999999993,514599393.979,0.092,484367329.783,0.074,6326304.869,0.539,6326304.865,0.539,0.0,,0.0,,6326304.878,0.539,6326304.865,0.539,0.0,,0.0,,111077400.507,0.025,104120111.581,0.025,3178696.034,0.023,925607.726,0.025,2848039.907,0.04,37609.927,0.026,2.205,0.064,1.916,0.064,5.747,0.064,5.747,0.064,9.579,0.064,0.186,0.011,249989.762,0.014
11,2035.9999999999998,562115710.534,0.092,520049791.053,0.074,9735909.515,0.539,9735909.507,0.539,0.0,,0.0,,9735909.532,0.539,9735909.507,0.539,0.0,,0.0,,113871425.836,0.025,106701188.281,0.025,3252579.474,0.023,948842.026,0.025,2963382.67,0.04,38598.142,0.026,2.347,0.064,2.039,0.064,6.118,0.065,6.118,0.065,10.196,0.064,0.188,0.011,253574.713,0.014
12,2036.999999999999,614019518.34,0.092,558360914.423,0.074,14983143.564,0.539,14983143.548,0.539,0.0,,0.0,,14983143.597,0.539,14983143.548,0.539,0.0,,0.0,,116735731.685,0.025,109346248.363,0.025,3328180.211,0.023,972659.545,0.025,3083396.698,0.04,39612.324,0.026,2.498,0.064,2.171,0.065,6.512,0.064,6.512,0.064,10.853,0.064,0.19,0.011,257211.074,0.014
13,2038.0000000000005,670715943.065,0.092,599494348.655,0.074,23058409.768,0.539,23058409.738,0.539,0.0,,0.0,,23058409.828,0.539,23058409.738,0.539,0.0,,0.0,,119672085.881,0.025,112056877.938,0.025,3405538.16,0.023,997074.924,0.025,3208271.175,0.04,40653.153,0.026,2.659,0.064,2.31,0.064,6.931,0.064,6.931,0.064,11.552,0.064,0.193,0.016,260899.581,0.014
14,2038.999999999999,732647518.271,0.092,643658008.262,0.074,35485895.116,0.539,35485895.062,0.539,0.0,,0.0,,35485895.223,0.539,35485895.062,0.539,0.0,,0.0,,122682300.718,0.025,114834702.436,0.025,3484694.163,0.023,1022103.169,0.025,3338202.943,0.04,41721.331,0.026,2.83,0.064,2.459,0.065,7.377,0.064,7.377,0.064,12.296,0.064,0.195,0.01,264640.984,0.014
15,2039.9999999999998,800297639.527,0.092,691075124.443,0.074,54611257.448,0.539,54611257.353,0.539,0.094,inf,0.0,,54611257.636,0.539,54611257.353,0.539,0.283,inf,0.0,,125768234.077,0.025,117681387.579,0.025,3565690.015,0.023,1047759.665,0.025,3473396.817,0.04,42817.575,0.026,3.012,0.064,2.617,0.064,7.852,0.064,7.852,0.064,13.087,0.064,0.197,0.01,268436.039,0.014
16,2041.0000000000002,845834619.344,0.057,728786127.726,0.055,58470639.31,0.071,58470639.212,0.071,0.098,0.043,0.0,,58470639.508,0.071,58470639.212,0.071,0.295,0.042,0.0,,129215788.089,0.027,120864777.025,0.027,3675659.078,0.031,1081913.307,0.033,3592338.478,0.034,44095.091,0.03,3.091,0.026,2.686,0.026,8.057,0.026,8.057,0.026,13.428,0.026,0.201,0.02,271231.349,0.01
17,2041.9999999999995,893962655.823,0.057,768554967.73,0.055,62602763.993,0.071,62602763.89,0.071,0.103,0.051,0.0,,62602764.2,0.071,62602763.89,0.071,0.309,0.047,0.0,,132757846.319,0.027,124134280.074,0.027,3789019.685,0.031,1117180.249,0.033,3715353.132,0.034,45410.724,0.03,3.173,0.027,2.755,0.026,8.266,0.026,8.266,0.026,13.777,0.026,0.205,0.02,274055.768,0.01
