,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,206578741.793,,206578741.793,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,87099754.104,,81944056.961,,2620959.461,,764256.787,,1770480.896,,22747.555,,0.999,,0.862,,2.585,,2.585,,4.308,,0.154,,184338.876,
1,2026.0,232412420.953,0.125,232241848.527,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,91056045.673,0.045,85622148.471,0.045,2727463.067,0.041,795664.055,0.041,1905427.682,0.076,23756.947,0.044,1.076,0.077,0.929,0.078,2.786,0.078,2.786,0.078,4.643,0.078,0.156,0.013,189637.116,0.029
2,2026.9999999999995,261476727.685,0.125,261093061.848,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,95192042.031,0.045,89465332.578,0.045,2838294.485,0.041,828362.011,0.041,2050660.167,0.076,24811.128,0.044,1.16,0.078,1.001,0.078,3.002,0.078,3.002,0.078,5.003,0.078,0.159,0.019,195087.636,0.029
3,2027.999999999999,294175667.722,0.125,293528437.606,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,99515905.825,0.045,93481019.528,0.045,2953629.577,0.041,862403.694,0.041,2206962.333,0.076,25912.088,0.044,1.249,0.077,1.078,0.077,3.235,0.078,3.235,0.078,5.391,0.078,0.161,0.013,200694.815,0.029
4,2029.0,330963769.686,0.125,329993233.346,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,104036170.471,0.045,97676952.181,0.045,3073651.351,0.041,897844.327,0.041,2375177.915,0.076,27061.901,0.044,1.346,0.078,1.162,0.078,3.486,0.078,3.486,0.078,5.809,0.078,0.164,0.019,206463.154,0.029
5,2030.0,372352403.218,0.125,370988020.59,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,108761756.993,0.045,102061220.936,0.045,3198550.251,0.041,934741.398,0.041,2556214.958,0.076,28262.736,0.044,1.45,0.077,1.252,0.077,3.756,0.077,3.756,0.077,6.26,0.078,0.166,0.012,212397.286,0.029
6,2031.0000000000007,418916887.229,0.125,417075556.447,0.124,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,113701991.631,0.045,106642279.333,0.045,3328524.462,0.041,973154.762,0.041,2751050.719,0.076,29516.855,0.044,1.562,0.077,1.349,0.077,4.047,0.077,4.047,0.077,6.746,0.078,0.169,0.018,218501.975,0.029
7,2032.0000000000005,471304487.064,0.125,468888508.875,0.124,1207989.094,inf,1207989.094,inf,0.0,,0.0,,1207989.094,inf,1207989.094,inf,0.0,,0.0,,118866624.246,0.045,111428960.354,0.045,3463780.221,0.041,1013146.729,0.041,2960736.942,0.076,30826.625,0.044,1.682,0.077,1.454,0.078,4.361,0.078,4.361,0.078,7.269,0.078,0.171,0.012,224782.125,0.029
8,2033.0000000000007,512262566.417,0.087,503788002.192,0.074,1885903.614,0.561,1885903.613,0.561,0.0,,0.0,,1885903.615,0.561,1885903.613,0.561,0.0,,0.0,,122078626.263,0.027,114394172.597,0.027,3552024.815,0.025,1039632.783,0.026,3089835.516,0.044,31702.417,0.028,1.778,0.057,1.537,0.057,4.61,0.057,4.61,0.057,7.684,0.057,0.173,0.012,228241.414,0.015
9,2034.0000000000002,556780052.29,0.087,541285073.847,0.074,2944258.733,0.561,2944258.731,0.561,0.0,,0.0,,2944258.736,0.561,2944258.731,0.561,0.0,,0.0,,125377422.678,0.027,117438291.47,0.027,3642517.563,0.025,1066811.246,0.026,3224563.244,0.044,32603.091,0.028,1.879,0.057,1.625,0.057,4.874,0.057,4.874,0.057,8.123,0.057,0.176,0.017,231753.939,0.015
