,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollShare2x,devTollShare3x,devTollShare4x,tdotTollShare2x,tdotTollShare3x,tdotTollShare4x,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,devTollMediumA2x,devTollMediumB2x,devTollHeavyA2x,tdotTollMediumA2x,tdotTollMediumB2x,tdotTollHeavyA2x,devTollMediumA3x,devTollMediumB3x,devTollHeavyA3x,tdotTollMediumA3x,tdotTollMediumB3x,tdotTollHeavyA3x,devTollMediumA4x,devTollMediumB4x,devTollHeavyA4x,tdotTollMediumA4x,tdotTollMediumB4x,tdotTollHeavyA4x,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,DevRevenuePerDay2x,TDOTRevenuePerDay2x,DevRevenuePerDay3x,TDOTRevenuePerDay3x,DevRevenuePerDay4x,TDOTRevenuePerDay4x,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,240,2032,1NB,1,NB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1725.1,45.7,12.3,306.2,37.0,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.621873218950784,0.708,1725.1,45.7,12.3,306.2,37.0,2126.2999999999997,2928.7,0.93,0.36608749999999995,2928.7,1.2,0.0,1.0,2.5,1.6,0.0,1621.5939999999998,42.958,11.562,287.828,34.78,1998.7219999999995,0.2,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,0.23853071877562412,0.1360781665345383,0.1299959612922538,0.1388028529589973,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,1.0,110.56667780612601,331.70003341837804,331.70003341837804,552.83338903063,54.959934208224034,59.99945827331871,0.0,1.3000117375174034,1.4192156727205165,-0.11920393520311312,0.0007236981770889037,0.006034457253021835,0.0,0.9939655427469781,386.79998238223936,1338.3000176177607,5.845645877990696,39.854354122009305,1.5030133044610383,10.796986695538962,39.95134756148227,266.2486524385177,434.0999891261734,1692.2000108738264,11845.400076116784,528.7000026140414,0.14686111183723372,3700.90001829829,4811.170023787777,2399.9999973859585,16799.99998170171,21839.99997621222,2928.7,20500.899999999998,26651.17,0.36608749999999995,0.26,0.7800000000000001,0.7800000000000001,1.3,0.28039747200275206,158.23670141162154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.6569098813507,100.56799541938224,4.559603784832744,1.17235037747961,51.936751829926955,1107.6569098813507,703.9759679356757,31.917226493829205,8.20645264235727,363.5572628094887,2707.5998766756757,40.91952114593487,10.521093131227268,279.6594329303759,3038.6999238832136,9368.100123324324,278.98047885406515,75.57890686877273,1863.740567069624,259.0,3519.8798396783786,53.195377489715334,13.677421070595448,363.5572628094887,14884.099999999999,12178.530160321621,362.67462251028473,98.25257892940456,2422.8627371905113,336.7,-0.08399282610416023,130.86816281206623
1,241,2032,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,6517.5,186.5,97.6,317.4,14.8,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,6517.5,186.5,97.6,317.4,14.8,7133.8,8366.4,1.03,0.8044615384615385,8366.4,1.2,0.0,1.0,2.5,1.6,0.0,6126.45,175.31,91.74399999999999,298.35599999999994,13.911999999999999,6705.772,0.9887453615897952,2.9662360847693856,2.9662360847693856,4.943726807948976,2.9662360847693856,0.1738242070810055,0.17425724276807888,0.174276627608187,0.05000129043175706,0.9887453615897952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9662360847693856,2.9662360847693856,4.943726807948976,61.565964801796916,184.69789440539074,184.69789440539074,307.8298240089846,49.87703503049417,59.87819387890271,0.7016072894798567,1.3026445012310612,1.5638459654290158,-0.26120146419795454,0.10196490307303853,0.09576204522582178,0.6589262281533212,0.24531172662085682,1064.925313471426,5452.574686528574,30.54903722967191,155.9509627703281,15.988834923285506,81.61116507671449,14.918185008057305,302.48181499194266,1126.3813706324408,6007.418629367559,6007.418629367559,1249.2934849544702,0.34702596804290836,1249.2934849544702,1624.0815304408113,7117.106515045529,7117.106515045529,9252.238469559188,8366.4,8366.4,10876.32,0.8044615384615385,1.285368970066734,3.8561069102002015,3.8561069102002015,6.426844850333669,1.1228290381463522,1644.1538242651511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.1538242651516,1368.8219533747606,117.80035356130107,61.65465683373154,95.87686049535805,1644.1538242651511,1368.8219533747606,117.80035356130107,61.65465683373154,95.87686049535805,1064.925313471426,30.54903722967191,15.988834923285506,14.918185008057305,1126.3813706324408,5452.574686528574,155.9509627703281,81.61116507671449,302.48181499194266,14.8,1384.402907512854,39.713748398573486,20.785485400271156,19.393640510474498,7133.8,7088.347092487146,202.73625160142652,106.09451459972884,393.22635948952546,19.240000000000002,-0.16702505871561216,295.2592108961385
2,242,2032,1NB,1,NB,AM-Peak-1,1,Peak,AM,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05,7523.9,192.6,66.7,328.5,6.2,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,7523.945901175274,192.60117499785454,66.7004069177409,328.50200408512575,6.200037824437685,8117.949525000433,9305.95677265075,1.27,1.1632445965813438,9305.95677265075,1.2,0.0,1.0,2.5,1.6,0.0,7072.509147104757,181.04510449798326,62.698382502676445,308.79188384001816,5.828035554971424,7630.872553500407,1.7999890177656415,5.399967053296924,5.399967053296924,8.999945088828207,5.399967053296924,0.257937476822908,0.2585728144084576,0.25860732794830826,0.08650411888871565,1.7999890177656415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.399967053296924,5.399967053296924,8.999945088828207,50.04654599482079,150.13963798446238,150.13963798446238,250.232729974104,35.78424895302934,57.00232443763846,1.040117168058578,1.3683652512334539,2.1797299728822965,-0.8113647216488427,0.533083708290335,0.22355589996683192,0.43618727408125463,0.3402568259519134,1824.2651642111382,5699.680736964136,46.813342204916836,145.7878327929377,16.21426116569812,50.48614575204279,26.711769831567402,301.79023425355837,1914.0045374133206,6203.944987587111,6203.944987587111,2093.4832838176853,0.5815231343938014,2093.4832838176853,2721.528268962991,7212.473488833066,7212.473488833066,9376.215535482987,9305.956772650752,9305.956772650752,12097.743804445978,1.163244596581344,2.339985723095334,7.019957169286002,7.019957169286002,11.69992861547667,2.0190175252427283,5023.731315761072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.731315761074,4268.754439394228,328.6276572296449,113.82341891481812,312.52580022238186,5023.731315761072,4268.754439394228,328.6276572296449,113.82341891481812,312.52580022238186,1824.2651642111382,46.813342204916836,16.21426116569812,26.711769831567402,1914.0045374133206,5699.680736964136,145.7878327929377,50.48614575204279,301.79023425355837,6.200037824437685,2371.5447134744795,60.85734486639189,21.078539515407556,34.725300781037625,8117.949525000433,7409.584958053377,189.524182630819,65.63198947765562,392.3273045296259,8.060049171768991,-0.37223175886137877,173.0407295752311
3,243,2032,1NB,1,NB,AM-Peak-2,1,Peak,AM,1.3,55,7539.204509922492,1,6,60,3600,1.6,6.3,0.2,0.05,6322.4,258.1,59.3,523.6,9.9,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,6820.841519959001,278.4479305803838,63.975057277864224,564.8792578531148,10.680490169491668,7738.824255839854,10206.365,1.27,1.3537721369100952,9574.789727601565,1.2,631.5752723984351,0.9381194703110819,2.5,1.6,0.0,6411.591028761461,261.74105474556075,60.13655384119237,530.986502381928,10.039660759322167,7274.494800489462,3.6000000001063164,10.80000000031895,10.80000000031895,18.000000000531582,10.80000000031895,0.23462371019384975,0.23565072371740922,0.23576111139021177,0.07544691438683318,3.6,5.315814455286727e-11,5.315814455286727e-11,5.315814455286727e-11,0.0,0.0,5.315814455286727e-11,0.0,0.0,1.594744336586018e-10,1.594744336586018e-10,2.6579072276433635e-10,1.594744336586018e-10,1.594744336586018e-10,2.6579072276433635e-10,1.594744336586018e-10,1.594744336586018e-10,2.6579072276433635e-10,1.594744336586018e-10,1.594744336586018e-10,2.6579072276433635e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.8,18.0,52.70205847733137,158.1061754319941,158.1061754319941,263.5102923866569,25.519286559652166,58.576443815353,1.6571059035477655,1.331593297911268,3.0565117805183326,-1.7249184826070647,1.1468309736355604,0.2532275558671494,0.36589949819560175,0.3808729459372487,1504.311275413616,5316.530244545385,61.679468977349416,216.76846160303438,14.17786076877682,49.7971965090874,40.06129318577331,524.8179646673416,1620.2298983455155,6118.59435749434,6118.59435749434,1852.0671442093144,0.5144630956136984,1852.0671442093144,2407.687287472109,7722.72258339225,7722.72258339225,10039.539358409926,9574.789727601565,9574.789727601565,12447.226645882034,1.2699999999999998,4.680000000138212,14.040000000414635,14.040000000414635,23.40000000069106,4.293145705680081,9042.647939385482,1.33525107302318e-07,1.33525107302318e-07,1.33525107302318e-07,1.33525107302318e-07,0.0,0.0,0.0,0.0,9042.64793911843,7040.176769143636,865.9797444675602,199.0571651995052,937.4342605747801,9042.647939385482,7040.176769143636,865.9797444675602,199.0571651995052,937.4342605747801,1504.311275413616,61.679468977349416,14.17786076877682,40.06129318577331,1620.2298983455155,5316.530244545385,216.76846160303438,49.7971965090874,524.8179646673416,10.680490169491668,1955.6046580377008,80.18330967055424,18.431218999409868,52.079681141505304,7738.824255839854,6911.489317909001,281.7990000839447,64.73635546181362,682.2633540675441,13.884637220339169,-0.5643421673037189,162.79030159378192
4,244,2032,1NB,1,NB,AM-Peak-3,1,Peak,AM,1.3,55,8000.000000000002,1,6,60,3600,1.6,6.3,0.2,0.05,6448.4,342.1,70.4,748.3,18.5,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,6560.562370447514,348.0504290878504,71.6245256000721,761.31580264963,18.821785846609856,7760.3749136316765,11197.15954439235,1.27,1.3996449430490434,10160.000000000002,1.2,1037.1595443923488,0.9073729779163708,2.5,1.6,0.0,6166.928628220662,327.16740334257935,67.32705406406778,715.6368544906521,17.692478695813264,7294.752418813776,3.600000000143215,10.800000000429645,10.800000000429645,18.000000000716074,10.800000000429645,0.2385653296547046,0.2395318789961824,0.23967708637714982,0.07716204624440395,3.6,7.160738668687827e-11,7.160738668687827e-11,7.160738668687827e-11,0.0,0.0,7.160738668687827e-11,0.0,0.0,2.1482216006063481e-10,2.1482216006063481e-10,3.5803693343439136e-10,2.1482216006063481e-10,2.1482216006063481e-10,3.5803693343439136e-10,2.1482216006063481e-10,2.1482216006063481e-10,3.5803693343439136e-10,2.1482216006063481e-10,2.1482216006063481e-10,3.5803693343439136e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.8,18.0,52.226530887085616,156.67959266125686,156.67959266125686,261.1326544354281,25.071612286567913,58.22232440875774,1.6136604677274722,1.3396923051781717,3.111088314084548,-1.771396008906376,1.1850345471319108,0.25930217603312444,0.3530915378569013,0.3876062861099743,1471.2153611484973,5089.3470092990165,78.36702286894992,269.6834062189005,16.13675215243261,55.4877734476395,55.22000406040748,706.0957985892225,1620.9391402302874,6139.435773401388,6139.435773401388,1920.3866983938674,0.533440749553852,1920.3866983938674,2496.5027079120277,8239.613301606134,8239.613301606134,10711.497292087975,10160.000000000002,10160.000000000002,13208.000000000004,1.27,4.68000000018618,14.040000000558539,14.040000000558539,23.4000000009309,4.510333523506027,9504.268986866813,1.890488512476672e-07,1.890488512476672e-07,1.890488512476672e-07,1.890488512476672e-07,0.0,0.0,0.0,0.0,9504.268986488714,6885.287890448878,1100.273001123828,226.56000022916686,1292.1480950649393,9504.268986866813,6885.287890448878,1100.273001123828,226.56000022916686,1292.1480950649393,1471.2153611484973,78.36702286894992,16.13675215243261,55.22000406040748,1620.9391402302874,5089.3470092990165,269.6834062189005,55.4877734476395,706.0957985892225,18.821785846609856,1912.5799694930465,101.8771297296349,20.977777798162393,71.78600527852973,7760.3749136316765,6616.151112088722,350.58842808457064,72.13410548193134,917.9245381659892,24.468321600592812,-0.5693814607855701,158.51904294654642
5,245,2032,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05,6327.3,280.3,77.8,739.7,22.2,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,5800.008671146758,256.9409432968938,71.31646588832801,678.0564243906971,20.349942708494623,6826.672447431172,10552.299189955895,1.11,1.3190373987444868,8880.0,1.2,1672.2991899558947,0.8415227658112976,2.5,1.6,0.0,5452.008150877952,241.52448669908017,67.03747793502832,637.3730389272553,19.128946145984944,6417.072100585302,1.7999999942847387,5.399999982854216,5.399999982854216,8.999999971423694,5.399999982854216,0.23974437340502122,0.24018224577972255,0.24023072141168425,0.07763518463293126,1.7999999942847387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.399999982854216,5.399999982854216,8.999999971423694,52.16234736228638,156.48704208685913,156.48704208685913,260.81173681143196,35.89185752401788,59.227445094249184,0.9031102059304862,1.316957026862764,2.1731948520024207,-0.8562378251396567,0.5285091236744216,0.2310061721197925,0.39474064368818385,0.3742531841920237,1307.088277931303,4492.920393215455,58.0098936261798,198.931049670714,16.10446168595172,55.21200420237629,49.48257355716994,628.5738508335271,1430.6852068006044,5395.987240630567,5395.987240630567,1677.8790645392075,0.46607751792755764,1677.8790645392075,2181.2427839009697,7202.120935460791,7202.120935460791,9362.757216099028,8879.999999999998,8879.999999999998,11543.999999999996,1.1099999999999999,2.3399999925701604,7.019999977710481,7.019999977710481,11.699999962850804,2.2355159301420024,4157.815442067634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4157.815442067633,3058.5865606477932,407.2294519627696,113.05332067642036,578.9461087806504,4157.815442067634,3058.5865606477932,407.2294519627696,113.05332067642036,578.9461087806504,1307.088277931303,58.0098936261798,16.10446168595172,49.48257355716994,1430.6852068006044,4492.920393215455,198.931049670714,55.21200420237629,628.5738508335271,20.349942708494623,1699.214761310694,75.41286171403375,20.935800191737236,64.32734562432093,6826.672447431172,5840.796511180092,258.6103645719282,71.77560546308918,817.1460060835852,26.454925521043013,-0.3939995644434294,163.97313390273277
6,246,2032,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,1,6,60,3600,1.6,6.3,0.2,0.05,4610.9,163.0,44.5,469.2,13.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.4532345693769955,0.708,4018.1325064575017,142.04506680964082,38.77917468115961,408.8806463011256,11.851612936264509,4619.6890071856915,6681.8,1.07,1.227849751612511,5822.802008642074,1.2,858.9979913579264,0.8714421276665081,2.5,1.6,0.0,3777.0445560700514,133.52236280106237,36.45242420029003,384.347807523058,11.140516160088637,4342.50766675455,1.79999971897615,5.39999915692845,5.39999915692845,8.99999859488075,5.39999915692845,0.23907794893342954,0.23936472903062916,0.23938945945664833,0.07629746646102213,1.79999971897615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39999915692845,5.39999915692845,8.99999859488075,52.1783175586589,156.53495267597668,156.53495267597668,260.8915877932945,38.72571010601727,59.941093387406994,1.1570795768355717,1.3012775642225272,2.014165777372801,-0.7128882131502738,0.41718877143368793,0.18240499075181715,0.5059030922296921,0.31169191701849075,903.0080654954038,3115.1244409620977,31.960544191405653,110.08452261823516,8.726326125191877,30.052848555967735,29.324763953857907,379.5558823472677,973.0196997658593,3646.6693074198324,18233.34653709916,1113.04296830677,0.3091786023074361,5565.214841533851,7234.779293994006,4709.759040335303,23548.795201676516,30613.433762179473,5822.802008642073,29114.010043210365,37848.21305617348,1.0699999999999998,2.3399996346689953,7.019998904006985,7.019998904006985,11.699998173344976,2.1675266846293497,2741.7600130863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13708.800065431498,2113.038543362401,224.36298519513448,61.25879983485449,343.09968469391015,13708.8000654315,10565.192716812006,1121.8149259756724,306.29399917427247,1715.4984234695507,4515.040327477019,159.80272095702827,43.63163062595938,146.62381976928953,4865.098498829296,15575.622204810488,550.4226130911758,150.26424277983867,1897.7794117363385,59.258064681322544,5869.552425720125,207.74353724413675,56.7211198137472,190.61096570007638,23098.445035928456,20248.308866253636,715.5493970185286,195.3435156137903,2467.11323525724,77.0354840857193,-0.35393720872377116,196.94529309119602
7,247,2032,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6814.959247374986,1,6,60,3600,1.6,6.3,0.2,0.05,5829.7,143.2,48.2,523.6,13.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,5501.762384892817,135.14458265719531,45.488609525676075,494.14597401751024,12.834960364091174,6189.37651145729,9217.824999999999,1.11,1.3525869583960548,7564.604764586235,1.2,1653.2202354137635,0.8206496396477734,2.5,1.6,0.0,5171.656641799248,127.03590769776359,42.75929295413551,464.4972155764596,12.064862742245703,5818.013920769852,1.7999959661855798,5.3999878985567396,5.3999878985567396,8.999979830927899,5.3999878985567396,0.2575334243474486,0.2579859592405577,0.25800981993060396,0.06509249776804234,1.7999959661855798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3999878985567396,5.3999878985567396,8.999979830927899,54.76461885373697,164.29385656121093,164.29385656121093,273.8230942686848,37.397536709541626,59.52112443269548,0.9366375988569066,1.3104591141956639,2.0856988685059314,-0.7752397543102676,0.4672619352268793,0.21442499693135006,0.4298199770181622,0.3557550260504876,1331.8744445117866,4169.887940381031,32.77348050540249,102.37110215179283,11.032317475456445,34.45629205021963,30.235283968172578,463.9106900493377,1405.915526460818,4783.460984996472,4783.460984996472,1553.997690358881,0.4316660250996892,1553.997690358881,2020.1969974665456,6010.607074227355,6010.607074227355,7813.789196495562,7564.604764586236,7564.604764586236,9833.986193962108,1.1100000000000003,2.339994756041254,7.019984268123761,7.019984268123761,11.69997378020627,2.0670063725532484,3777.8472582058857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.847258205886,3116.579215862939,230.06931755958627,77.44669511865109,353.7520296647101,3777.8472582058857,3116.579215862939,230.06931755958627,77.44669511865109,353.7520296647101,1331.8744445117866,32.77348050540249,11.032317475456445,30.235283968172578,1405.915526460818,4169.887940381031,102.37110215179283,34.45629205021963,463.9106900493377,12.834960364091174,1731.4367778653227,42.60552465702324,14.342012718093379,39.305869158624354,6189.37651145729,5420.85432249534,133.08243279733068,44.79317966528552,603.083897064139,16.685448473318527,-0.37169304064761877,181.10485766740524
8,248,2032,1NB,1,NB,PM-Peak-1,1,Peak,PM,1.3,55,7248.530944520193,1,6,60,3600,1.6,6.3,0.2,0.05,6913.9,112.4,27.2,496.4,12.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,7184.588768636165,116.80061580218184,28.264917703019094,515.8347480800984,12.781562049527016,7858.270612270991,10187.619999999999,1.27,1.405473754333866,9205.634299540645,1.2,981.9857004593541,0.903609900991659,2.5,1.6,0.0,6753.513442517995,109.79257885405092,26.569022640837947,484.8846631952925,12.014668326555395,7386.774375534731,3.600000000004547,10.800000000013641,10.800000000013641,18.000000000022737,10.800000000013641,0.24800271072386365,0.24922546484507677,0.24927291254901035,0.06155098575798648,3.6,2.2735147098273956e-12,2.2735147098273956e-12,2.2735147098273956e-12,0.0,0.0,2.2735147098273956e-12,0.0,0.0,6.820544129482187e-12,6.820544129482187e-12,1.1367573549136978e-11,6.820544129482187e-12,6.820544129482187e-12,1.1367573549136978e-11,6.820544129482187e-12,6.820544129482187e-12,1.1367573549136978e-11,6.820544129482187e-12,6.820544129482187e-12,1.1367573549136978e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.8,18.0,55.65609790130917,166.9682937039275,166.9682937039275,278.28048950654585,26.474341567037445,58.50744465459343,1.6057466738857413,1.333163676186569,2.9462489105721854,-1.6130852343856164,1.0696469646732574,0.2494233961187272,0.37443268847986216,0.37614391540141073,1674.8896406545148,5509.69912798165,27.363106501440587,89.43750930074125,6.622937657262273,21.64198004575682,29.84512899859952,485.98961908149886,1738.7208138118172,6119.549798459174,6119.549798459174,1866.383160126422,0.5184397667017838,1866.383160126422,2426.2981081643484,7339.251139414222,7339.251139414222,9541.026481238488,9205.634299540645,9205.634299540645,11967.324589402837,1.27,4.680000000005911,14.040000000017734,14.040000000017734,23.40000000002956,3.987911256467107,9014.023596829931,5.692643122805059e-09,5.692643122805059e-09,5.692643122805059e-09,5.692643122805059e-09,0.0,0.0,0.0,0.0,9014.023596818546,7838.48351827303,384.1780152807111,92.98604470807977,698.376018568111,9014.023596829931,7838.48351827303,384.1780152807111,92.98604470807977,698.376018568111,1674.8896406545148,27.363106501440587,6.622937657262273,29.84512899859952,1738.7208138118172,5509.69912798165,89.43750930074125,21.64198004575682,485.98961908149886,12.781562049527016,2177.3565328508694,35.572038451872764,8.609818954440955,38.79866769817938,7858.270612270991,7162.608866376146,116.26876209096363,28.134574059483867,631.7865048059485,16.61603066438512,-0.5475047368188393,174.07635629824875
9,249,2032,1NB,1,NB,PM-Peak-2,1,Peak,PM,1.3,55,7396.63088909588,1,6,60,3600,1.6,6.3,0.2,0.05,7317.7,150.7,30.9,496.4,12.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,7321.69160881962,150.78220280267251,30.916855120123298,496.67077286825906,12.306709319660731,8012.368148930336,10796.89,1.27,1.4597037707960776,9393.721229151768,1.2,1403.1687708482314,0.8700395418636078,2.5,1.6,0.0,6882.390112290443,141.73527063451215,29.0618438129159,466.8705264961635,11.568306760481088,7531.626059994515,3.667808080205468,11.003424240616404,11.003424240616404,18.33904040102734,11.003424240616404,0.2431118971976624,0.2443486776195543,0.24441340474712706,0.05970435948500058,3.6,0.03390404010273396,0.03390404010273396,0.03390404010273396,0.0,0.0,0.03390404010273396,0.0,0.0,0.10171212030820187,0.10171212030820187,0.16952020051366978,0.10171212030820187,0.10171212030820187,0.16952020051366978,0.10171212030820187,0.10171212030820187,0.16952020051366978,0.10171212030820187,0.10171212030820187,0.16952020051366978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.8,18.0,56.16553295563426,168.49659886690276,168.49659886690276,280.8276647781713,26.227342289604017,58.428996128904785,1.6015130569936686,1.3349536217928182,2.9739955783059884,-1.6390419565131702,1.089069632086919,0.2515390411950054,0.36989651253568184,0.3785644462693127,1673.1909174533623,5648.500691366258,34.63282595159269,116.14937685107982,7.103104194544004,23.813750925579292,27.874205746878435,468.79656712138063,1742.8010533463773,6269.567095583959,6269.567095583959,1882.0213251324076,0.5227837014256688,1882.0213251324076,2446.62772267213,7511.69990401936,7511.69990401936,9765.209875225168,9393.721229151768,9393.721229151768,12211.837597897298,1.27,4.768150504267108,14.304451512801325,14.304451512801325,23.840752521335542,4.078128988921661,9239.577746847588,85.407689718569,85.407689718569,85.407689718569,85.407689718569,0.0,0.0,0.0,0.0,9068.762367410452,7978.0261167903955,495.4035795758451,101.60600954123042,664.5420409401177,9239.577746847588,7978.0261167903955,495.4035795758451,101.60600954123042,664.5420409401177,1673.1909174533623,34.63282595159269,7.103104194544004,27.874205746878435,1742.8010533463773,5648.500691366258,116.14937685107982,23.813750925579292,468.79656712138063,12.306709319660731,2175.148192689371,45.022673737070505,9.234035452907206,36.23646747094197,8012.368148930336,7343.050898776136,150.99418990640376,30.95787620325308,609.4355372577949,15.998722115558952,-0.5511245438524766,174.54649596929198
