,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,171625124.969,,171625124.969,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,73585537.378,,69329995.073,,2192521.051,,633414.138,,1429607.115,,24754.193,,1.117,,0.966,,2.899,,2.899,,4.831,,0.156,,196377.758,
1,2026.0,192905379.122,0.124,192733757.064,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,77113665.872,0.048,72611915.493,0.047,2285566.202,0.042,660803.164,0.043,1549489.286,0.084,25958.972,0.049,1.198,0.073,1.036,0.072,3.108,0.072,3.108,0.072,5.18,0.072,0.159,0.019,201855.593,0.028
2,2026.9999999999995,216824228.392,0.124,216438596.149,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,80810953.838,0.048,76049194.377,0.047,2382559.957,0.042,689376.5,0.043,1679424.382,0.084,27222.386,0.049,1.284,0.072,1.111,0.072,3.333,0.072,3.333,0.072,5.554,0.072,0.162,0.019,207486.229,0.028
3,2027.999999999999,243708839.182,0.124,243058956.648,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,84685511.789,0.048,79649186.035,0.047,2483669.887,0.042,719185.355,0.043,1820255.41,0.084,28547.291,0.049,1.376,0.072,1.191,0.072,3.573,0.072,3.573,0.072,5.956,0.072,0.165,0.019,213273.928,0.028
4,2029.0,273926944.125,0.124,272953426.32,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,88745839.101,0.048,83419592.91,0.047,2589070.672,0.042,750283.155,0.043,1972896.066,0.084,29936.679,0.049,1.475,0.072,1.277,0.072,3.831,0.072,3.831,0.072,6.386,0.072,0.169,0.024,219223.071,0.028
5,2030.0,307891871.995,0.124,306524696.59,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,93000842.663,0.048,87368482.06,0.047,2698944.404,0.042,782725.634,0.043,2138336.669,0.084,31393.687,0.049,1.581,0.072,1.369,0.072,4.108,0.072,4.108,0.072,6.847,0.072,0.172,0.018,225338.162,0.028
6,2031.0000000000007,346068201.298,0.124,344224986.974,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,97459856.413,0.048,91504302.421,0.047,2813480.904,0.042,816570.935,0.043,2317650.578,0.084,32921.608,0.049,1.694,0.071,1.468,0.072,4.405,0.072,4.405,0.072,7.342,0.072,0.176,0.023,231623.83,0.028
7,2032.0000000000005,388978114.862,0.124,386562136.674,0.123,1207989.094,inf,1207989.094,inf,0.0,,0.0,,1207989.094,inf,1207989.094,inf,0.0,,0.0,,102132661.813,0.048,95835902.882,0.047,2932878.049,0.042,851879.718,0.043,2512001.164,0.084,34523.892,0.049,1.816,0.072,1.574,0.072,4.723,0.072,4.723,0.072,7.872,0.072,0.179,0.017,238084.832,0.028
8,2033.0000000000007,422560439.288,0.086,414010311.209,0.071,1885903.614,0.561,1885903.613,0.561,0.0,,0.0,,1885903.615,0.561,1885903.613,0.561,0.0,,0.0,,104879117.106,0.027,98375935.97,0.027,3007316.59,0.025,874778.171,0.027,2618853.795,0.043,35516.725,0.029,1.917,0.056,1.663,0.057,4.989,0.056,4.989,0.056,8.314,0.056,0.182,0.017,241512.875,0.014
9,2034.0000000000002,459042084.962,0.086,443407466.811,0.071,2944258.733,0.561,2944258.731,0.561,0.0,,0.0,,2944258.736,0.561,2944258.731,0.561,0.0,,0.0,,107699427.486,0.027,100983290.051,0.027,3083644.435,0.025,898292.133,0.027,2730251.6,0.043,36538.109,0.029,2.025,0.056,1.756,0.056,5.269,0.056,5.269,0.056,8.781,0.056,0.184,0.011,244990.277,0.014
10,2034.9999999999993,498673364.032,0.086,474891992.543,0.071,4596554.895,0.561,4596554.891,0.561,0.0,,0.0,,4596554.903,0.561,4596554.891,0.561,0.0,,0.0,,110595578.996,0.027,103659749.398,0.027,3161909.535,0.025,922438.149,0.027,2846387.918,0.043,37588.867,0.029,2.138,0.056,1.855,0.056,5.565,0.056,5.565,0.056,9.275,0.056,0.187,0.016,248517.748,0.014
11,2035.9999999999998,541726199.278,0.086,508612103.904,0.071,7176107.408,0.561,7176107.4,0.561,0.0,,0.0,,7176107.423,0.561,7176107.4,0.561,0.0,,0.0,,113569611.082,0.027,106407145.577,0.027,3242161.059,0.025,947233.207,0.027,2967464.31,0.043,38669.842,0.029,2.258,0.056,1.959,0.056,5.877,0.056,5.877,0.056,9.795,0.056,0.19,0.016,252096.009,0.014
12,2036.999999999999,588495989.862,0.086,544726540.561,0.071,11203285.656,0.561,11203285.641,0.561,0.0,,0.0,,11203285.687,0.561,11203285.641,0.561,0.0,,0.0,,116623618.037,0.027,109227358.696,0.027,3324449.424,0.025,972694.754,0.027,3093690.911,0.043,39781.904,0.029,2.384,0.056,2.069,0.056,6.207,0.056,6.207,0.056,10.346,0.056,0.192,0.011,255725.791,0.014
13,2038.0000000000005,639303638.158,0.086,583405313.625,0.071,17490486.467,0.561,17490486.438,0.561,0.0,,0.0,,17490486.525,0.561,17490486.438,0.561,0.0,,0.0,,119759750.468,0.027,112122318.694,0.027,3408826.326,0.025,998840.705,0.027,3225286.794,0.043,40925.946,0.029,2.517,0.056,2.185,0.056,6.556,0.056,6.556,0.056,10.927,0.056,0.195,0.016,259407.836,0.014
14,2038.999999999999,694497751.562,0.086,624830505.991,0.071,27306017.738,0.561,27306017.685,0.561,0.0,,0.0,,27306017.843,0.561,27306017.685,0.561,0.0,,0.0,,122980216.818,0.027,115094006.661,0.027,3495344.775,0.025,1025689.458,0.027,3362480.353,0.043,42102.888,0.029,2.658,0.056,2.308,0.056,6.924,0.056,6.924,0.056,11.541,0.056,0.198,0.015,263142.897,0.014
15,2039.9999999999998,754457034.397,0.086,669197129.507,0.071,42629952.351,0.561,42629952.258,0.561,0.094,inf,0.0,,42629952.539,0.561,42629952.258,0.561,0.281,inf,0.0,,126287284.914,0.027,118144456.194,0.027,3584059.123,0.025,1053259.902,0.027,3505509.694,0.043,43313.677,0.029,2.807,0.056,2.438,0.056,7.313,0.056,7.313,0.056,12.189,0.056,0.201,0.015,266931.736,0.014
16,2041.0000000000002,801230532.817,0.062,707518237.576,0.057,46627139.024,0.094,46627138.924,0.094,0.099,0.053,0.0,,46627139.223,0.094,46627138.924,0.094,0.298,0.06,0.0,,129630876.915,0.026,121228460.331,0.026,3690265.504,0.03,1086344.154,0.031,3624583.846,0.034,44535.277,0.028,2.899,0.033,2.517,0.032,7.552,0.033,7.552,0.033,12.586,0.033,0.204,0.015,269748.099,0.011
17,2041.9999999999995,850903812.212,0.062,748033777.24,0.057,50999120.891,0.094,50999120.785,0.094,0.105,0.061,0.0,,50999121.102,0.094,50999120.785,0.094,0.315,0.057,0.0,,133062994.12,0.026,124392968.301,0.026,3799619.096,0.03,1120467.625,0.031,3747702.675,0.034,45791.33,0.028,2.995,0.033,2.599,0.033,7.798,0.033,7.798,0.033,12.997,0.033,0.208,0.02,272594.177,0.011
18,2043.0,903656648.095,0.062,790869411.096,0.057,55781040.529,0.094,55781040.416,0.094,0.111,0.057,0.0,,55781040.754,0.094,55781040.416,0.094,0.334,0.06,0.0,,136585980.326,0.026,127640081.548,0.026,3912213.163,0.03,1155662.958,0.031,3875003.569,0.034,47082.808,0.028,3.093,0.033,2.684,0.033,8.052,0.033,8.052,0.033,13.42,0.033,0.211,0.014,275470.284,0.011
19,2044.0000000000002,959679961.385,0.062,836157997.725,0.057,61011335.649,0.094,61011335.529,0.094,0.118,0.063,0.0,,61011335.888,0.094,61011335.529,0.094,0.354,0.06,0.0,,140202241.391,0.026,130971956.375,0.026,4028143.728,0.03,1191963.821,0.031,4006628.583,0.034,48410.71,0.028,3.195,0.033,2.772,0.033,8.315,0.033,8.315,0.033,13.858,0.033,0.215,0.019,278376.736,0.011
