,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,242112492.459,,242112492.459,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,68681992.762,,60913930.312,,4041895.788,,1170339.94,,2555826.722,,16998.172,,1.567,,1.206,,3.618,,3.618,,6.03,,0.115,,184627.442,
1,2026.0,271553920.342,0.122,269938881.231,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,72666180.919,0.058,64450549.697,0.058,4231476.512,0.047,1226012.792,0.048,2753593.306,0.077,18062.438,0.063,1.654,0.056,1.273,0.056,3.819,0.056,3.819,0.056,6.365,0.056,0.119,0.035,190031.462,0.029
2,2026.9999999999995,304575492.591,0.122,300963402.838,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,76881488.684,0.058,68192502.684,0.058,4429949.313,0.047,1284333.991,0.048,2966662.815,0.077,19193.337,0.063,1.746,0.056,1.344,0.056,4.031,0.056,4.031,0.056,6.718,0.055,0.123,0.034,195593.656,0.029
3,2027.999999999999,341612562.876,0.122,335553623.972,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,81341323.124,0.058,72151710.794,0.058,4637731.265,0.047,1345429.519,0.048,3196219.368,0.077,20395.043,0.063,1.843,0.056,1.418,0.055,4.255,0.056,4.255,0.056,7.091,0.056,0.127,0.033,201318.655,0.029
4,2029.0,383153424.86,0.122,374119356.37,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,86059869.037,0.058,76340787.705,0.058,4855259.004,0.047,1409431.349,0.048,3443538.713,0.077,21671.989,0.063,1.945,0.055,1.497,0.056,4.491,0.055,4.491,0.055,7.485,0.056,0.131,0.031,207211.224,0.029
5,2030.0,429745749.823,0.122,417117512.11,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,91052134.072,0.058,80773079.437,0.058,5082989.644,0.047,1476477.735,0.048,3709995.309,0.077,23028.885,0.063,2.053,0.056,1.58,0.055,4.74,0.055,4.74,0.055,7.9,0.055,0.135,0.031,213276.267,0.029
6,2031.0000000000007,482003807.113,0.122,465057516.93,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,96333996.459,0.058,85462706.868,0.058,5321401.742,0.047,1546713.504,0.048,3997069.975,0.077,24470.736,0.063,2.167,0.056,1.668,0.056,5.003,0.055,5.003,0.055,8.339,0.056,0.14,0.037,219518.834,0.029
7,2032.0000000000005,540616562.624,0.122,518507345.71,0.115,9472059.738,inf,7889511.018,inf,1582548.719,inf,0.0,,12637157.176,inf,7889511.018,inf,4747646.158,inf,0.0,,101922255.512,0.058,90424610.726,0.058,5570996.3,0.047,1620290.376,0.048,4306358.109,0.077,26002.863,0.063,2.288,0.056,1.76,0.055,5.281,0.056,5.281,0.056,8.802,0.056,0.144,0.029,225944.119,0.029
8,2033.0000000000007,589411993.05,0.09,556472373.227,0.073,12175178.562,0.285,10119871.364,0.283,2054433.218,0.298,0.0,,16285111.4,0.289,10119871.364,0.283,6163299.655,0.298,0.0,,105747101.336,0.038,93761326.209,0.037,5755500.337,0.033,1676243.055,0.035,4548264.267,0.056,27087.857,0.042,2.394,0.046,1.839,0.045,5.516,0.044,5.516,0.044,9.194,0.045,0.148,0.028,229579.661,0.016
9,2034.0000000000002,642611643.02,0.09,597217194.177,0.073,15649708.418,0.285,12980753.33,0.283,2667024.274,0.298,0.0,,20986116.547,0.289,12980753.33,0.283,8001072.821,0.298,0.0,,109715482.5,0.038,97221168.24,0.037,5946114.903,0.033,1734127.919,0.035,4803759.306,0.056,28218.122,0.042,2.506,0.047,1.92,0.044,5.761,0.044,5.761,0.044,9.602,0.044,0.152,0.027,233273.7,0.016
