,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,200018242.547,,200018242.547,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,59631069.166,,53112769.752,,3414191.46,,979903.579,,2124204.377,,19168.19,,1.682,,1.304,,3.911,,3.911,,6.518,,0.12,,196717.115,
1,2026.0,224057633.204,0.12,222423739.539,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,63230150.648,0.06,56313796.988,0.06,3580509.412,0.049,1028792.414,0.05,2302060.194,0.084,20482.628,0.069,1.763,0.048,1.367,0.048,4.1,0.048,4.1,0.048,6.834,0.048,0.125,0.042,202347.893,0.029
2,2026.9999999999995,250986221.844,0.12,247339039.082,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,67046457.608,0.06,59707745.35,0.06,3754929.331,0.049,1080120.385,0.05,2494807.56,0.084,21887.203,0.069,1.848,0.048,1.433,0.048,4.299,0.049,4.299,0.049,7.165,0.048,0.13,0.04,208139.844,0.029
3,2027.999999999999,281151249.591,0.12,275045282.401,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,71093100.865,0.06,63306241.907,0.06,3937845.891,0.049,1134009.185,0.05,2703693.316,0.084,23388.094,0.069,1.937,0.048,1.502,0.048,4.507,0.048,4.507,0.048,7.512,0.048,0.135,0.038,214097.582,0.029
4,2029.0,314941691.085,0.12,305855103.39,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,75383982.554,0.06,67121614.472,0.06,4129672.997,0.049,1190586.576,0.05,2930068.702,0.084,24991.908,0.069,2.031,0.049,1.575,0.049,4.725,0.048,4.725,0.048,7.876,0.048,0.141,0.044,220225.854,0.029
5,2030.0,352793270.269,0.12,340116156.34,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,79933843.883,0.06,71166933.839,0.06,4330844.714,0.049,1249986.697,0.05,3175398.092,0.084,26705.701,0.069,2.129,0.048,1.651,0.048,4.954,0.048,4.954,0.048,8.257,0.048,0.146,0.035,226529.539,0.029
6,2031.0000000000007,395194079.0,0.12,378215038.826,0.112,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,84758315.778,0.06,75456058.556,0.06,4541816.253,0.049,1312350.378,0.05,3441268.472,0.084,28537.016,0.069,2.232,0.048,1.731,0.048,5.194,0.048,5.194,0.048,8.657,0.048,0.152,0.041,233013.659,0.029
7,2032.0000000000005,442690870.938,0.12,420581654.024,0.112,9472059.738,inf,7889511.018,inf,1582548.719,inf,0.0,,12637157.176,inf,7889511.018,inf,4747646.158,inf,0.0,,89873972.582,0.06,80003682.408,0.06,4763065.0,0.049,1377825.475,0.05,3729399.7,0.084,30493.912,0.069,2.34,0.048,1.815,0.049,5.446,0.049,5.446,0.049,9.077,0.049,0.158,0.039,239683.379,0.029
8,2033.0000000000007,483070178.787,0.091,450072429.397,0.07,12175178.562,0.285,10119871.364,0.283,2054433.218,0.298,0.0,,16285111.4,0.289,10119871.364,0.283,6163299.655,0.298,0.0,,93004420.492,0.035,82718755.468,0.034,4920845.736,0.033,1425874.829,0.035,3933492.85,0.055,31652.342,0.038,2.46,0.051,1.903,0.048,5.709,0.048,5.709,0.048,9.515,0.048,0.162,0.025,243369.082,0.015
9,2034.0000000000002,527132617.709,0.091,481631069.175,0.07,15649708.418,0.285,12980753.33,0.283,2667024.274,0.298,0.0,,20986116.547,0.289,12980753.33,0.283,8001072.821,0.298,0.0,,96243906.69,0.035,85525969.558,0.034,5083853.098,0.033,1475599.824,0.035,4148755.093,0.055,32854.781,0.038,2.586,0.051,1.995,0.048,5.985,0.048,5.985,0.048,9.975,0.048,0.165,0.019,247111.462,0.015
