,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,176119846.043,,176119846.043,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,74580451.771,,70204688.456,,2247955.451,,648494.337,,1479313.527,,24995.913,,1.136,,0.979,,2.938,,2.938,,4.897,,0.157,,196717.115,
1,2026.0,197809580.06,0.123,197718776.876,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,77979867.008,0.046,73331192.863,0.045,2355434.87,0.048,679455.935,0.048,1606206.858,0.086,26169.62,0.047,1.218,0.072,1.05,0.073,3.151,0.072,3.151,0.072,5.252,0.072,0.16,0.019,202347.893,0.029
2,2026.9999999999995,222170475.632,0.123,221966550.663,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,81534229.334,0.046,76596933.41,0.045,2468053.103,0.048,711895.758,0.048,1743984.912,0.086,27398.44,0.047,1.307,0.073,1.127,0.073,3.38,0.073,3.38,0.073,5.633,0.073,0.163,0.019,208139.844,0.029
3,2027.999999999999,249531495.024,0.123,249188015.38,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,85250601.317,0.046,80008110.856,0.045,2586055.848,0.048,745884.382,0.048,1893581.363,0.086,28684.961,0.047,1.402,0.073,1.208,0.072,3.625,0.072,3.625,0.072,6.041,0.072,0.166,0.018,214097.582,0.029
4,2029.0,280262113.28,0.123,279747857.61,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,89136367.442,0.046,83571202.107,0.045,2709700.549,0.048,781495.752,0.048,2056009.978,0.086,30031.891,0.047,1.504,0.073,1.296,0.073,3.887,0.072,3.887,0.072,6.479,0.073,0.169,0.018,220225.854,0.029
5,2030.0,314777307.5,0.123,314055488.255,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,93199248.779,0.046,87292972.511,0.045,2839256.959,0.048,818807.346,0.048,2232371.479,0.086,31442.067,0.047,1.613,0.072,1.39,0.073,4.169,0.073,4.169,0.073,6.948,0.072,0.172,0.018,226529.539,0.029
6,2031.0000000000007,353543160.569,0.123,352570527.424,0.123,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,97447318.331,0.046,91180488.705,0.045,2975007.732,0.048,857900.338,0.048,2423861.01,0.086,32918.46,0.047,1.731,0.073,1.49,0.072,4.471,0.072,4.471,0.072,7.452,0.073,0.175,0.017,233013.659,0.029
7,2032.0000000000005,397083155.003,0.123,395808961.972,0.123,637096.516,inf,637096.516,inf,0.0,,0.0,,637096.516,inf,637096.516,inf,0.0,,0.0,,101889017.071,0.046,95241132.033,0.045,3117249.03,0.048,898859.778,0.048,2631776.23,0.086,34464.178,0.047,1.857,0.073,1.598,0.072,4.795,0.072,4.795,0.072,7.992,0.072,0.179,0.023,239683.379,0.029
8,2033.0000000000007,431390185.049,0.086,424187621.833,0.072,1071843.278,0.682,1071843.278,0.682,0.0,,0.0,,1071843.278,0.682,1071843.278,0.682,0.0,,0.0,,104499926.178,0.026,97612296.225,0.025,3208802.279,0.029,926416.836,0.031,2748713.653,0.044,35463.269,0.029,1.96,0.055,1.687,0.056,5.061,0.055,5.061,0.055,8.434,0.055,0.181,0.011,243369.082,0.015
9,2034.0000000000002,468661260.021,0.086,454600971.186,0.072,1803255.84,0.682,1803255.84,0.682,0.0,,0.0,,1803255.841,0.682,1803255.84,0.682,0.0,,0.0,,107177739.909,0.026,100042493.942,0.025,3303044.436,0.029,954818.733,0.031,2870846.944,0.044,36491.323,0.029,2.07,0.056,1.78,0.055,5.341,0.055,5.341,0.055,8.901,0.055,0.184,0.017,247111.462,0.015
10,2034.9999999999993,509152466.275,0.086,487194892.935,0.072,3033775.265,0.682,3033775.263,0.682,0.0,,0.0,,3033775.267,0.682,3033775.263,0.682,0.0,,0.0,,109924172.696,0.026,102533194.906,0.025,3400054.475,0.029,984091.37,0.031,2998406.969,0.044,37549.18,0.029,2.185,0.056,1.879,0.056,5.637,0.055,5.637,0.055,9.394,0.055,0.186,0.011,250911.39,0.015
11,2035.9999999999998,553142015.412,0.086,522125729.478,0.072,5103985.886,0.682,5103985.883,0.682,0.0,,0.0,,5103985.892,0.682,5103985.883,0.682,0.0,,0.0,,112740982.906,0.026,105085905.432,0.025,3499913.688,0.029,1014261.441,0.031,3131634.855,0.044,38637.702,0.029,2.307,0.056,1.983,0.055,5.949,0.055,5.949,0.055,9.915,0.055,0.189,0.016,254769.75,0.015
12,2036.999999999999,600932155.849,0.086,559561032.63,0.072,8586882.565,0.682,8586882.559,0.682,0.0,,0.0,,8586882.578,0.682,8586882.559,0.682,0.0,,0.0,,115629973.962,0.026,107702169.338,0.025,3602705.754,0.029,1045356.46,0.031,3270782.442,0.044,39757.781,0.029,2.436,0.056,2.093,0.055,6.278,0.055,6.278,0.055,10.464,0.055,0.192,0.016,258687.442,0.015
13,2038.0000000000005,652851249.536,0.086,599680367.315,0.072,14446464.75,0.682,14446464.737,0.682,0.0,,0.0,,14446464.775,0.682,14446464.737,0.682,0.0,,0.0,,118592995.499,0.026,110383568.876,0.025,3708516.811,0.029,1077404.783,0.031,3416112.757,0.044,40910.329,0.029,2.572,0.056,2.209,0.055,6.626,0.055,6.626,0.055,11.043,0.055,0.194,0.01,262665.378,0.015
