,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,231724806.214,,231724806.214,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,71914963.126,,66140992.927,,2145349.017,,617306.976,,3011314.206,,18080.49,,1.41,,1.136,,3.407,,3.407,,5.678,,0.122,,184627.442,
1,2026.0,259988081.484,0.122,259708187.528,0.121,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,75669714.538,0.052,69530967.62,0.051,2258422.591,0.053,649513.574,0.052,3227268.166,0.072,19101.111,0.056,1.498,0.062,1.205,0.061,3.615,0.061,3.615,0.061,6.024,0.061,0.126,0.033,190031.462,0.029
2,2026.9999999999995,291698604.124,0.122,291070877.439,0.121,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,79620505.239,0.052,73094691.268,0.051,2377455.863,0.053,683400.479,0.052,3458709.09,0.072,20179.344,0.056,1.591,0.062,1.278,0.061,3.835,0.061,3.835,0.061,6.392,0.061,0.129,0.024,195593.656,0.029
3,2027.999999999999,327276831.932,0.122,326220965.537,0.121,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,83777570.633,0.052,76841069.16,0.051,2502762.948,0.053,719055.357,0.052,3706747.612,0.072,21318.443,0.056,1.689,0.062,1.356,0.061,4.069,0.061,4.069,0.061,6.782,0.061,0.132,0.023,201318.655,0.029
4,2029.0,367194505.578,0.122,365615822.827,0.121,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,88151680.527,0.052,80779463.011,0.051,2634674.515,0.053,756570.447,0.052,3972574.016,0.072,22521.842,0.056,1.794,0.062,1.439,0.061,4.318,0.061,4.318,0.061,7.196,0.061,0.136,0.03,207211.224,0.029
5,2030.0,411980903.54,0.122,409768053.016,0.121,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,92754167.027,0.052,84919714.362,0.051,2773538.662,0.053,796042.803,0.052,4257463.945,0.072,23793.172,0.056,1.905,0.062,1.527,0.061,4.581,0.061,4.581,0.061,7.636,0.061,0.14,0.029,213276.267,0.029
6,2031.0000000000007,462229859.933,0.122,459252162.488,0.121,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,97596953.904,0.052,89272169.17,0.051,2919721.836,0.053,837574.539,0.052,4562784.525,0.072,25136.266,0.056,2.023,0.062,1.62,0.061,4.861,0.061,4.861,0.061,8.102,0.061,0.143,0.021,219518.834,0.029
7,2032.0000000000005,518607638.309,0.122,514712035.741,0.121,1947801.284,inf,1947801.284,inf,0.0,,0.0,,1947801.284,inf,1947801.284,inf,0.0,,0.0,,102692587.478,0.052,93847703.659,0.051,3073609.796,0.053,881273.101,0.052,4890000.923,0.072,26555.176,0.056,2.149,0.062,1.719,0.061,5.158,0.061,5.158,0.061,8.596,0.061,0.147,0.028,225944.119,0.029
8,2033.0000000000007,563287408.674,0.086,552900441.552,0.074,2892213.768,0.485,2892213.766,0.485,0.0,,0.0,,2892213.771,0.485,2892213.766,0.485,0.0,,0.0,,106158884.778,0.034,96919302.035,0.033,3187247.635,0.037,915173.396,0.038,5132384.507,0.05,27554.16,0.038,2.249,0.047,1.798,0.046,5.395,0.046,5.395,0.046,8.991,0.046,0.15,0.02,229579.661,0.016
9,2034.0000000000002,611816489.639,0.086,593922187.632,0.074,4294534.841,0.485,4294534.836,0.485,0.0,,0.0,,4294534.851,0.485,4294534.836,0.485,0.0,,0.0,,109742183.872,0.034,100091432.616,0.033,3305086.905,0.037,950377.749,0.038,5386782.364,0.05,28590.725,0.038,2.355,0.047,1.881,0.046,5.643,0.046,5.643,0.046,9.404,0.046,0.154,0.027,233273.7,0.016
10,2034.9999999999993,664526512.097,0.086,637987490.066,0.074,6376786.428,0.485,6376786.417,0.485,0.0,,0.0,,6376786.449,0.485,6376786.417,0.485,0.0,,0.0,,113446434.053,0.034,103367385.782,0.033,3427282.941,0.037,986936.321,0.038,5653790.006,0.05,29666.285,0.038,2.465,0.047,1.967,0.046,5.902,0.046,5.902,0.046,9.837,0.046,0.157,0.019,237027.178,0.016
11,2035.9999999999998,721777678.042,0.086,685322161.651,0.074,9468640.179,0.485,9468640.158,0.485,0.0,,0.0,,9468640.222,0.485,9468640.158,0.485,0.0,,0.0,,117275717.916,0.034,106750559.604,0.033,3553996.823,0.037,1024901.208,0.038,5934032.466,0.05,30782.306,0.038,2.58,0.047,2.058,0.046,6.173,0.046,6.173,0.046,10.289,0.046,0.16,0.019,240841.051,0.016
12,2036.999999999999,783961222.068,0.086,736168769.079,0.074,14059612.606,0.485,14059612.566,0.485,0.0,,0.0,,14059612.685,0.485,14059612.566,0.485,0.0,,0.0,,121234255.862,0.034,110244463.373,0.033,3685395.584,0.037,1064326.505,0.038,6228165.756,0.05,31940.311,0.038,2.701,0.047,2.152,0.046,6.457,0.046,6.457,0.046,10.761,0.046,0.164,0.025,244716.291,0.016
13,2038.0000000000005,851502084.926,0.086,790787875.971,0.074,20876567.583,0.485,20876567.512,0.485,0.0,,0.0,,20876567.724,0.485,20876567.512,0.485,0.0,,0.0,,125326410.75,0.034,113852721.236,0.033,3821652.435,0.037,1105268.391,0.038,6536878.405,0.05,33141.88,0.038,2.827,0.047,2.251,0.046,6.754,0.046,6.754,0.046,11.256,0.046,0.168,0.024,248653.886,0.016
14,2038.999999999999,924861817.427,0.086,849459378.132,0.074,30998796.785,0.485,30998796.663,0.485,0.0,,0.0,,30998797.029,0.485,30998796.663,0.485,0.0,,0.0,,129556692.7,0.034,117579075.958,0.033,3962946.989,0.037,1147785.206,0.038,6860893.072,0.05,34388.65,0.038,2.959,0.047,2.355,0.046,7.064,0.046,7.064,0.046,11.773,0.046,0.171,0.018,252654.838,0.016
15,2039.9999999999998,1004541734.514,0.086,912483937.884,0.074,46028898.108,0.485,46028897.901,0.485,0.207,inf,0.0,,46028898.522,0.485,46028897.901,0.485,0.622,inf,0.0,,133929764.069,0.034,121427392.802,0.033,4109465.5,0.037,1191937.533,0.038,7200968.234,0.05,35682.323,0.038,3.098,0.047,2.463,0.046,7.389,0.046,7.389,0.046,12.314,0.046,0.175,0.023,256720.167,0.016
16,2041.0000000000002,1071364049.873,0.067,970667241.739,0.064,50211449.213,0.091,50211448.997,0.091,0.213,0.029,0.0,,50211449.645,0.091,50211448.997,0.091,0.64,0.029,0.0,,137929205.699,0.03,124942781.764,0.029,4258498.929,0.036,1236007.411,0.037,7487296.287,0.04,36822.025,0.032,3.201,0.033,2.539,0.031,7.618,0.031,7.618,0.031,12.696,0.031,0.178,0.017,260115.811,0.013
