,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,16091482.481,,16091482.481,,0.0,,0.0,,25089791.469,,23585.358,,0.256,,0.224,,130667.17,
1,2026.0,17196931.282,0.069,17196931.282,0.069,0.0,,0.0,,26317683.18,0.049,24743.306,0.049,0.261,0.02,0.228,0.018,134791.591,0.032
2,2026.9999999999995,18378321.939,0.069,18378321.939,0.069,0.0,,0.0,,27605667.78,0.049,25958.104,0.049,0.266,0.019,0.232,0.018,139046.197,0.032
3,2027.999999999999,19640871.488,0.069,19640871.488,0.069,0.0,,0.0,,28956686.209,0.049,27232.545,0.049,0.271,0.019,0.235,0.013,143435.097,0.032
4,2029.0,20990155.363,0.069,20990155.363,0.069,0.0,,0.0,,30373823.335,0.049,28569.556,0.049,0.276,0.018,0.239,0.017,147962.529,0.032
5,2030.0,22432132.018,0.069,22432132.018,0.069,0.0,,0.0,,31860315.001,0.049,29972.208,0.049,0.281,0.018,0.244,0.021,152632.866,0.032
6,2031.0000000000007,23973169.238,0.069,23973169.238,0.069,0.0,,0.0,,33419555.41,0.049,31443.725,0.049,0.286,0.018,0.248,0.016,157450.62,0.032
7,2032.0000000000005,25620072.264,0.069,25620072.264,0.069,0.0,,0.0,,35055104.877,0.049,32987.488,0.049,0.291,0.017,0.252,0.016,162420.442,0.032
8,2033.0000000000007,27508415.781,0.074,27508415.781,0.074,0.0,,0.0,,35876445.407,0.023,33757.758,0.023,0.306,0.052,0.253,0.004,165319.184,0.018
9,2034.0000000000002,29535940.843,0.074,29535940.843,0.074,0.0,,0.0,,36717029.931,0.023,34546.013,0.023,0.321,0.049,0.255,0.008,168269.66,0.018
10,2034.9999999999993,31712905.912,0.074,31712905.912,0.074,0.0,,0.0,,37577309.337,0.023,35352.675,0.023,0.337,0.05,0.256,0.004,171272.793,0.018
11,2035.9999999999998,34050325.559,0.074,34050325.559,0.074,0.0,,0.0,,38457745.075,0.023,36178.172,0.023,0.353,0.047,0.257,0.004,174329.524,0.018
12,2036.999999999999,36560026.19,0.074,36560026.19,0.074,0.0,,0.0,,39358809.408,0.023,37022.946,0.023,0.371,0.051,0.259,0.008,177440.808,0.018
13,2038.0000000000005,39254705.881,0.074,39254705.881,0.074,0.0,,0.0,,40280985.664,0.023,37887.444,0.023,0.389,0.049,0.26,0.004,180607.62,0.018
14,2038.999999999999,42147998.632,0.074,42147998.632,0.074,0.0,,0.0,,41224768.494,0.023,38772.13,0.023,0.408,0.049,0.262,0.008,183830.951,0.018
15,2039.9999999999998,45254543.342,0.074,45254543.342,0.074,0.0,,0.0,,42190664.14,0.023,39677.473,0.023,0.428,0.049,0.263,0.004,187111.809,0.018
16,2041.0000000000002,50767546.502,0.122,50767546.502,0.122,0.0,,0.0,,42831037.248,0.015,40259.116,0.015,0.473,0.105,0.263,0.0,189995.669,0.015
17,2041.9999999999995,56952155.243,0.122,56952155.243,0.122,0.0,,0.0,,43481129.988,0.015,40849.287,0.015,0.523,0.106,0.263,0.0,192923.977,0.015
18,2043.0,63890185.961,0.122,63890185.961,0.122,0.0,,0.0,,44141089.885,0.015,41448.108,0.015,0.579,0.107,0.262,-0.004,195897.417,0.015
19,2044.0000000000002,71673422.098,0.122,71673422.098,0.122,0.0,,0.0,,44811066.704,0.015,42055.709,0.015,0.64,0.105,0.262,0.0,198916.686,0.015
20,2044.9999999999993,80404828.347,0.122,80404828.347,0.122,0.0,,0.0,,45491212.481,0.015,42672.216,0.015,0.707,0.105,0.262,0.0,201982.489,0.015
21,2045.9999999999993,90199912.775,0.122,90199912.775,0.122,0.0,,0.0,,46181681.563,0.015,43297.76,0.015,0.782,0.106,0.262,0.0,205095.544,0.015
22,2046.9999999999995,101188254.883,0.122,101188254.883,0.122,0.0,,0.0,,46882630.638,0.015,43932.475,0.015,0.864,0.105,0.262,0.0,208256.578,0.015
23,2048.0,113515219.818,0.122,113515219.818,0.122,0.0,,0.0,,47594218.77,0.015,44576.494,0.015,0.956,0.106,0.261,-0.004,211466.332,0.015
24,2049.000000000001,127343881.415,0.122,127343881.415,0.122,0.0,,0.0,,48316607.441,0.015,45229.954,0.015,1.057,0.106,0.261,0.0,214725.557,0.015
25,2049.999999999999,142857179.503,0.122,142857179.503,0.122,0.0,,0.0,,49049960.583,0.015,45892.993,0.015,1.168,0.105,0.261,0.0,218035.014,0.015
