,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollShare2x,devTollShare3x,devTollShare4x,tdotTollShare2x,tdotTollShare3x,tdotTollShare4x,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,devTollMediumA2x,devTollMediumB2x,devTollHeavyA2x,tdotTollMediumA2x,tdotTollMediumB2x,tdotTollHeavyA2x,devTollMediumA3x,devTollMediumB3x,devTollHeavyA3x,tdotTollMediumA3x,tdotTollMediumB3x,tdotTollHeavyA3x,devTollMediumA4x,devTollMediumB4x,devTollHeavyA4x,tdotTollMediumA4x,tdotTollMediumB4x,tdotTollHeavyA4x,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,DevRevenuePerDay2x,TDOTRevenuePerDay2x,DevRevenuePerDay3x,TDOTRevenuePerDay3x,DevRevenuePerDay4x,TDOTRevenuePerDay4x,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,160,2032,1NB,1,NB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1725.1,45.7,12.3,306.2,37.0,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.621873218950784,0.708,1725.1,45.7,12.3,306.2,37.0,2126.2999999999997,2914.2,0.93,0.36427499999999996,2914.2,1.2,0.0,1.0,2.5,1.6,0.0,1621.5939999999998,42.958,11.562,287.828,34.78,1998.7219999999995,0.2,0.6000000000000001,0.6000000000000001,1.4000000000000001,0.6000000000000001,0.2370542066676982,0.12815263714448444,0.12280059324708163,0.12826013162092437,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,1.4000000000000001,110.56493877195845,331.69481631587536,331.69481631587536,773.9545714037092,54.95993420843032,59.99954533212729,0.0,1.3000098512118925,1.4192156727151897,-0.11920582150329717,0.0007236981733601281,0.006034362309724037,0.0,0.993965637690276,384.40567920709935,1340.6943207929005,5.505180986452762,40.19481901354724,1.4198204591227577,10.880179540877243,36.91685716418741,269.28314283581255,428.24753781686235,1698.0524621831373,11886.367235281961,514.2000046749943,0.14283333463194284,3599.4000327249596,4679.220042542448,2399.9999953250053,16799.99996727504,21839.999957457552,2914.2,20399.399999999998,26519.22,0.36427499999999996,0.26,0.7800000000000001,0.7800000000000001,1.8200000000000003,0.309913601407288,172.53565776021586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.749604321511,99.94547659384584,4.2940411694331555,1.1074599581157512,67.1886800388211,1207.749604321511,699.6183361569209,30.058288186032087,7.7522197068102585,470.32076027174776,2690.8397544496956,38.536266905169335,9.938743213859304,258.41800014931187,2997.732764718036,9384.860245550304,281.36373309483065,76.16125678614071,1884.9819998506878,259.0,3498.0916807846043,50.09714697672014,12.920366178017096,335.94340019410544,14884.099999999999,12200.318319215396,365.7728530232799,99.00963382198293,2450.4765998058942,336.7,-0.08399415521901411,130.86609196823926
1,161,2032,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,6517.5,186.5,97.6,317.4,14.8,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,6517.5,186.5,97.6,317.4,14.8,7133.8,8295.375,1.03,0.7976322115384615,8295.375,1.2,0.0,1.0,2.5,1.6,0.0,6126.45,175.31,91.74399999999999,298.35599999999994,13.911999999999999,6705.772,1.1963629149217925,3.5890887447653776,3.5890887447653776,8.374540404452548,3.5890887447653776,0.15085107904733733,0.15127374629985127,0.15129099447525926,0.05000190039758903,1.1963629149217925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5890887447653776,3.5890887447653776,8.374540404452548,65.82321723580277,197.46965170740833,197.46965170740833,460.7625206506194,49.481932984893405,59.95126128594898,0.8190467991526688,1.3010568639742892,1.576332921832561,-0.2752760578582718,0.11070577255552007,0.09186982768645857,0.6796907385074672,0.2284394338060742,924.1815932295598,5593.318406770441,26.519800463826925,159.98019953617307,13.880040997138183,83.71995900286181,14.91836699502307,302.4816330049769,979.499801685548,6154.300198314453,6154.300198314453,1080.036258232283,0.3000100717311897,1080.036258232283,1404.047135701968,7215.338741767717,7215.338741767717,9379.940364298032,8295.375,8295.375,10783.987500000001,0.7976322115384615,1.5552717893983303,4.665815368194991,4.665815368194991,10.886902525788312,1.4043797312384958,1788.266568711103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.266568711103,1437.3535602311372,123.73649256558832,64.76170859562386,162.41480731875365,1788.266568711103,1437.3535602311372,123.73649256558832,64.76170859562386,162.41480731875365,924.1815932295598,26.519800463826925,13.880040997138183,14.91836699502307,979.499801685548,5593.318406770441,159.98019953617307,83.71995900286181,302.4816330049769,14.8,1201.4360711984277,34.475740602975,18.04405329627964,19.393877093529994,7133.8,7271.313928801573,207.974259397025,108.83594670372037,393.22612290647,19.240000000000002,-0.17463065958062365,338.9917310278561
2,162,2032,1NB,1,NB,AM-Peak,3,Peak,AM,1.3,55,7592.330916271331,1,6,60,3600,1.6,6.3,0.2,0.05,6764.5,264.3,65.4,533.5,12.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,7006.987595153837,273.77438412287074,67.74439924947313,552.6244189540354,12.740919124900909,7913.8717166051165,10298.817433316104,1.27,1.3564763637006954,9642.260263664592,1.2,656.5571696515126,0.9362492661023792,2.5,1.6,0.0,6586.568339444606,257.3479210754985,63.679735294504745,519.4669538167932,11.976463977406853,7439.039413608809,3.5999999998128627,10.799999999438588,10.799999999438588,25.19999999869004,10.799999999438588,0.23167417595170148,0.23283429494195332,0.23293929631486754,0.08867683427442268,3.5999999998128627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999999438588,10.799999999438588,25.19999999869004,53.04951893711247,159.14855681133741,159.14855681133741,371.3466325597873,25.5676853529262,58.4910653100269,1.6392227833364665,1.3335370040974235,3.050725903550474,-1.7171888994530504,1.142780859758059,0.2539968780955933,0.3643371044548118,0.38166601744959494,1525.9377923903958,5481.049802763441,59.919421758391145,213.8549623644796,14.83351272901897,52.91088652045416,46.064684974650945,506.5597339793844,1646.7554118524567,6267.116304752661,18801.348914257982,1869.7024171547262,0.5193617825429795,5609.107251464178,7291.839426903432,7772.557846509864,23317.67353952959,30312.97560138847,9642.26026366459,28926.78079099377,37604.8150282919,1.2699999999999998,4.679999999756721,14.039999999270165,14.039999999270165,32.759999998297054,4.531054066887326,9699.999147855624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29099.997443566877,7141.388868015824,841.2686814440804,208.26251870460032,1509.0790796911192,29099.99744356687,21424.166604047474,2523.806044332241,624.787556113801,4527.237239073358,4577.813377171187,179.75826527517344,44.50053818705691,138.19405492395282,4940.26623555737,16443.149408290323,641.5648870934388,158.73265956136248,1519.6792019381533,38.222757374702724,5951.1573903225435,233.6857448577255,57.85069964317399,179.65227140113868,23741.61514981535,21376.09423077742,834.0343532214704,206.35245742977122,1975.5829625195993,49.68958458711354,-0.5628787881122208,163.52306963715068
3,163,2032,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,7711.430327663038,1,6,60,3600,1.6,6.3,0.2,0.05,6327.3,280.3,77.8,739.7,22.2,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,5642.944511052488,249.98298586253415,69.38521691082825,659.6946651534661,19.79886652211294,6641.806245501431,10454.780316277904,1.11,1.3557511216529712,8559.687663705972,1.2,1895.0926525719315,0.8187343401543018,2.5,1.6,0.0,5304.367840389339,234.9840067107821,65.22210389617855,620.1129852442581,18.610934530786164,6243.297870771345,3.5999999639619182,10.799999891885754,10.799999891885754,25.19999974773343,10.799999891885754,0.1524207832160867,0.15317327739782305,0.15324871961471084,0.050000377435727085,3.5999999639619182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999891885754,10.799999891885754,25.19999974773343,65.43117000517364,196.29351001552092,196.29351001552092,458.0181900362155,29.442286811246426,59.96428791247682,1.4375779292275128,1.300774222714825,2.6492507358567474,-1.3484765131419225,0.8617482423724504,0.23623762490690384,0.3940942132754733,0.36966816181762285,808.4959006983655,4834.448610354123,35.99327044396254,213.98971541857162,9.995203912667007,59.39001299816124,31.005883315008365,628.6887818384577,885.4902583700034,5756.3159871314265,5756.3159871314265,1027.981855124122,0.2855505153122561,1027.981855124122,1336.3764116613586,7531.70580858185,7531.70580858185,9791.217551156406,8559.687663705972,8559.687663705972,11127.593962817764,1.11,4.679999953150494,14.03999985945148,14.03999985945148,32.75999967205346,4.730271105278847,5445.191678125586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5445.191678125587,3783.760777390717,505.3455119744331,140.33266152903366,1015.7527272314019,5445.191678125586,3783.760777390717,505.3455119744331,140.33266152903366,1015.7527272314019,808.4959006983655,35.99327044396254,9.995203912667007,31.005883315008365,885.4902583700034,4834.448610354123,213.98971541857162,59.39001299816124,628.6887818384577,19.79886652211294,1051.0446709078751,46.7912515771513,12.993765086467109,40.307648309510874,6641.806245501431,6284.78319346036,278.1866300441431,77.20701689760962,817.295416389995,25.738526478746824,-0.5090029776686409,208.2349929364149
4,164,2032,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,1,6,60,3600,1.6,6.3,0.2,0.05,4610.9,163.0,44.5,469.2,13.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.4532345693769955,0.708,4049.5718702168933,143.15648026314898,39.082597372454785,412.07988061024236,11.94434436551427,4655.835172828254,6629.925,1.07,1.218317184659759,5822.802008642074,1.2,807.1229913579264,0.8782606151113435,2.5,1.6,0.0,3806.5975580038794,134.56709144736004,36.737641530107496,387.3550877736278,11.227683703583414,4376.485062458559,1.799999989373629,5.399999968120887,5.399999968120887,12.599999925615403,5.399999968120887,0.23686029943303444,0.23718105227985153,0.23720615804444414,0.09012067338499646,1.799999989373629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.399999968120887,5.399999968120887,12.599999925615403,52.43940835986834,157.318225079605,157.318225079605,367.0758585190784,38.79938180941305,59.9393907316912,1.15223094619234,1.3013145286903922,2.0103413086101427,-0.7090267799197505,0.41451164329982726,0.18214132278568343,0.506303917118846,0.3115547600954707,901.6318374098565,3147.940032807037,31.916764351723863,111.23971591142512,8.714394802970814,30.36820256948397,34.90870134926375,377.1711792609786,977.1716979138149,3678.6634749144387,18393.317374572194,1118.0936291330581,0.3105815636480717,5590.468145665291,7267.608589364878,4704.708379509016,23523.541897545078,30580.604466808603,5822.802008642074,29114.010043210368,37848.21305617348,1.07,2.3399999861857177,7.019999958557153,7.019999958557153,16.379999903300025,2.3355109395545273,2966.853747391023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14834.268736955113,2109.8184870836676,224.05568442637994,61.17505115570578,571.8045247252696,14834.268736955113,10549.092435418337,1120.2784221318998,305.8752557785289,2859.022623626348,4508.159187049283,159.5838217586193,43.57197401485407,174.54350674631877,4885.858489569076,15739.700164035185,556.1985795571256,151.84101284741985,1885.855896304893,59.72172182757135,5860.606943164068,207.4589682862051,56.643566219310294,226.90655877021442,23279.17586414127,20461.61021324574,723.0581534242633,197.3933167016458,2451.612665196361,77.63823837584276,-0.35268975316929585,198.01790728840157
5,165,2032,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6222.354095429336,1,6,60,3600,1.6,6.3,0.2,0.05,5829.7,143.2,48.2,523.6,13.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,5053.516157692429,124.1339200613335,41.78250661282315,453.88631664884235,11.789254977892009,5685.108155993321,9162.797499999999,1.11,1.4725612460291486,6906.813045926563,1.2,2255.9844540734357,0.7537886814508957,2.5,1.6,0.0,4750.305188230884,116.68588485765348,39.27555621605376,426.6531376499118,11.081899679218488,5344.0016666337215,1.7999957360708403,5.39998720821252,5.39998720821252,12.599970152495882,5.39998720821252,0.2600376306564397,0.260486613299342,0.2605081902385276,0.08242589033592931,1.7999957360708403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39998720821252,5.39998720821252,12.599970152495882,54.51522916652336,163.54568749957008,163.54568749957008,381.6066041656635,37.835818164662605,59.68624630363891,0.9840532388607517,1.3068337318985421,2.0615386103332476,-0.7547048784347055,0.4503497545060007,0.20572296153473674,0.4495224979712653,0.344754540493998,1235.2581060425518,3818.2580516498774,30.395110966407124,93.73880909492638,10.231604070455719,31.55090254236743,35.167264735411784,418.7190519134306,1311.0520858148266,4374.056070178493,4374.056070178493,1452.48336660016,0.40346760183337776,1452.48336660016,1888.228376580208,5454.329679326403,5454.329679326403,7090.628583124324,6906.813045926563,6906.813045926563,8978.856959704532,1.11,2.3399944568920925,7.019983370676277,7.019983370676277,16.379961198244647,2.201247061478694,3751.734416749019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3751.734416749019,2890.497120970596,213.37317353403816,71.82569042994285,576.0384318144423,3751.734416749019,2890.497120970596,213.37317353403816,71.82569042994285,576.0384318144423,1235.2581060425518,30.395110966407124,10.231604070455719,35.167264735411784,1311.0520858148266,3818.2580516498774,93.73880909492638,31.55090254236743,418.7190519134306,11.789254977892009,1605.8355378553174,39.513644256329265,13.301085291592434,45.71744415603532,5685.108155993321,4963.735467144841,121.8604518234043,41.016173305077665,544.3347674874598,15.326031471259611,-0.3660881608774271,186.032542554543
6,166,2032,1NB,1,NB,PM-Peak,3,Peak,PM,1.3,55,6903.664776832447,1,6,60,3600,1.6,6.3,0.2,0.05,6967.0,129.7,28.4,507.5,17.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,6805.153339283537,126.68700848357611,27.740254748909496,495.7105382067454,16.898112928032898,7472.189253650801,10322.60125,1.27,1.4952350068677922,8767.654266577209,1.2,1554.9469834227912,0.849364811662875,2.5,1.6,0.0,6396.8441389265245,119.08578797456154,26.075839463974926,465.96790591434063,15.884226152350923,7023.857898431753,3.5999999982135287,10.799999994640586,10.799999994640586,25.1999999874947,10.799999994640586,0.2488437565074132,0.25007273333536295,0.2501244620377497,0.07746386348722986,3.5999999982135287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999994640586,10.799999994640586,25.1999999874947,55.56789228304918,166.70367684914757,166.70367684914757,388.97524598134424,26.738239511602078,58.80614375343923,1.6552158521464713,1.3263920233749085,2.9171703681596077,-1.5907783447846993,1.0492919849844529,0.2442891906486396,0.3853563609138318,0.37035444843752874,1591.8147253229054,5213.338613960632,29.7801085001941,96.906899983382,6.522205318109451,21.218049430800043,36.09567425317885,459.61486395356656,1664.2127133943877,5807.9765402564135,17423.92962076924,1799.9331110827766,0.4999814197452157,5399.799333248329,7019.739133222828,6967.721155494431,20903.163466483293,27174.112506428282,8767.654266577207,26302.96279973162,34193.85163965111,1.2699999999999998,4.679999997677587,14.039999993032763,14.039999993032763,32.75999998374311,4.225546969742481,9141.871684517737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27425.61505355321,7449.692910814346,418.1127231352401,91.57176262081495,1182.4942879473356,27425.61505355321,22349.07873244304,1254.3381694057202,274.7152878624448,3547.4828638420067,4775.444175968716,89.3403255005823,19.566615954328356,108.28702275953654,4992.638140183163,15640.015841881896,290.720699950146,63.65414829240013,1378.8445918606997,50.69433878409869,6208.077428759331,116.14242315075698,25.43660074062686,140.7731295873975,22416.567760952403,20332.020594446465,377.9369099351898,82.75039278012017,1792.4979694189096,65.90264041932829,-0.5453155434964513,176.51736383088593
7,167,2032,1NB,1,NB,PM-Late,3,OP,PM,1.3,55,6705.849787444774,1,6,60,3600,1.6,6.3,0.2,0.05,3367.4,63.0,6.2,327.2,35.8,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,3367.4,63.0,6.2,327.2,35.8,3799.6,4646.7,0.98,0.6929323124266699,4646.7,1.2,0.0,1.0,2.5,1.6,0.0,3165.3559999999998,59.22,5.827999999999999,307.568,33.651999999999994,3571.624,1.0294179312905445,3.0882537938716332,3.0882537938716332,7.205925519033811,3.0882537938716332,0.18459541242809968,0.18473800311575164,0.18474496935753748,0.05007720151886637,1.0294179312905445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0882537938716332,3.0882537938716332,7.205925519033811,63.424038993189306,190.27211697956793,190.27211697956793,443.96827295232515,52.68620219705995,59.99773323301471,0.852085269738947,1.3000491151402243,1.4804635131653623,-0.18041439802513803,0.04359718648848101,0.040514184495746605,0.7918295331611086,0.16765628234314467,584.3101963017599,2783.0898036982403,10.940184544514812,52.059815455485186,1.0766936814157284,5.123306318584271,15.402144716754691,311.7978552832453,611.7292192444452,3187.8707807555547,9563.612342266664,663.5630455733329,0.1843230682148147,1990.6891367199987,2587.8958777359985,3983.1369544266677,11949.410863280003,15534.234122264004,4646.700000000001,13940.100000000002,18122.130000000005,0.69293231242667,1.3382433106777079,4.014729932033124,4.014729932033124,9.367703174743955,1.2253743116420122,974.4764522258578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2923.429356677573,781.9492115616085,43.92188635282978,4.322634350410661,144.28271996100875,2923.429356677573,2345.8476346848256,131.76565905848935,12.967903051231984,432.84815988302626,1752.9305889052798,32.820553633544435,3.2300810442471852,46.20643415026407,1835.1876577333355,8349.269411094721,156.17944636645555,15.369918955752814,935.393565849736,107.39999999999999,2278.809765576864,42.66671972360777,4.199105357521341,60.068364395343295,11398.8,10854.050234423139,203.03328027639222,19.98089464247866,1216.0116356046567,139.62,-0.12186345453350353,445.05648950187793
8,168,2032,1SB,1,SB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1675.7,48.2,19.8,308.7,34.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.621873218950784,0.708,1675.7,48.2,19.8,308.7,34.6,2087.0,2892.6000000000004,0.93,0.36157500000000004,2892.6000000000004,1.2,0.0,1.0,2.5,1.6,0.0,1575.158,45.308,18.612,290.178,32.524,1961.78,0.2,0.6000000000000001,0.6000000000000001,1.4000000000000001,0.6000000000000001,0.21350222158705345,0.11936195213563347,0.11748781012873181,0.15555384641139303,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,1.4000000000000001,110.5627879709982,331.6883639129946,331.6883639129946,773.9395157969874,54.959934224399284,59.9996530406095,0.0,1.3000075174969319,1.4192156723028273,-0.11920815480589542,0.0007236978847064084,0.006034242517485259,0.0,0.9939657574825147,336.29973235061993,1339.40026764938,5.408051327361282,42.791948672638725,2.1866831221159564,17.613316877884046,45.138304043965206,263.5616959560348,389.0327708440624,1697.9672291559375,11885.770604091562,492.60016421857796,0.13683337894960498,3448.2011495300458,4482.66149438906,2399.999835781422,16799.998850469954,21839.99850561094,2892.6,20248.2,26322.66,0.361575,0.26,0.7800000000000001,0.7800000000000001,1.8200000000000003,0.34704123384885327,175.51353664177014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.5947564923906,87.43793041116119,4.218280035341801,1.7056128352504463,82.15171336001669,1228.594756492391,612.0655128781283,29.527960247392606,11.939289846753123,575.0619935201169,2354.0981264543398,37.856359291528975,15.306781854811694,315.96812830775644,2723.229395908437,9375.80187354566,299.54364070847106,123.29321814518832,1844.9318716922435,242.20000000000002,3060.327564390642,49.21326707898767,19.898816411255204,410.7585668000834,14609.0,12188.542435609359,389.4067329210124,160.28118358874482,2398.4114331999167,314.86,-0.08399579932235923,130.8635304807898
9,169,2032,1SB,1,SB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,3753.9,146.9,65.4,330.9,17.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,3753.9,146.9,65.4,330.9,17.3,4314.400000000001,5382.325,1.03,0.51753125,5382.325,1.2,0.0,1.0,2.5,1.6,0.0,3528.6659999999997,138.08599999999998,61.476,311.04599999999994,16.262,4055.536,0.6906494390413737,2.071948317124121,2.071948317124121,4.834546073289616,2.071948317124121,0.15195621215428015,0.15207642208074262,0.152084469808589,0.05000204451348398,0.6906494390413737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.071948317124121,2.071948317124121,4.834546073289616,65.66692300731376,197.00076902194127,197.00076902194127,459.6684610511963,54.525924426354166,59.99767320701681,0.5582147548489369,1.300050415803088,1.430512198016033,-0.1304617822129448,0.008631265883950445,0.012377985514412684,0.80052847894533,0.18709353554025732,536.2027193175951,3217.697280682405,20.999624819441422,125.90037518055858,9.349544865952817,56.05045513404719,15.552935937741134,315.3470640622588,582.1048249407305,3732.29517505927,3732.29517505927,666.3217437656526,0.18508937326823685,666.3217437656526,866.2182668953484,4716.003256234347,4716.003256234347,6130.804233104651,5382.324999999999,5382.324999999999,6997.022499999999,0.5175312499999999,0.8978442707537858,2.6935328122613575,2.6935328122613575,6.284909895276501,0.8733846241226734,660.921824850111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.9218248501109,481.42653950190305,56.563178496343454,25.18330587615363,97.74880097571076,660.921824850111,481.42653950190305,56.563178496343454,25.18330587615363,97.74880097571076,536.2027193175951,20.999624819441422,9.349544865952817,15.552935937741134,582.1048249407305,3217.697280682405,125.90037518055858,56.05045513404719,315.3470640622588,17.3,697.0635351128736,27.29951226527385,12.154408325738663,20.218816719063476,4314.400000000001,4183.006464887127,163.67048773472615,72.86559167426135,409.9511832809365,22.490000000000002,-0.09119934971116031,412.922890761199
