,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,48600896.597,,48600896.597,,0.0,,0.0,,14886024.64,,19865.418,,1.117,,0.119,,195948.306,
1,2026.0,54883011.445,0.129,54883011.445,0.129,0.0,,0.0,,15551184.28,0.045,20682.835,0.041,1.212,0.085,0.121,0.017,201259.486,0.027
2,2026.9999999999995,61977147.67,0.129,61977147.67,0.129,0.0,,0.0,,16246065.579,0.045,21533.887,0.041,1.314,0.084,0.122,0.008,206714.625,0.027
3,2027.999999999999,69988266.536,0.129,69988266.536,0.129,0.0,,0.0,,16971996.605,0.045,22419.957,0.041,1.425,0.084,0.124,0.016,212317.626,0.027
4,2029.0,79034896.52,0.129,79034896.52,0.129,0.0,,0.0,,17730364.768,0.045,23342.488,0.041,1.546,0.085,0.126,0.016,218072.496,0.027
5,2030.0,89250887.0,0.129,89250887.0,0.129,0.0,,0.0,,18522619.472,0.045,24302.978,0.041,1.677,0.085,0.127,0.008,223983.352,0.027
6,2031.0000000000007,100787388.622,0.129,100787388.622,0.129,0.0,,0.0,,19350274.887,0.045,25302.991,0.041,1.819,0.085,0.129,0.016,230054.422,0.027
7,2032.0000000000005,113815089.651,0.129,113815089.651,0.129,0.0,,0.0,,20214912.841,0.045,26344.152,0.041,1.973,0.085,0.131,0.016,236290.048,0.027
8,2033.0000000000007,124865683.768,0.097,124000368.541,0.089,0.0,,0.0,,20769475.178,0.027,27056.558,0.027,2.107,0.068,0.133,0.015,239489.15,0.014
9,2034.0000000000002,136989207.939,0.097,135097125.043,0.089,0.0,,0.0,,21339251.006,0.027,27788.23,0.027,2.251,0.068,0.134,0.008,242731.564,0.014
10,2034.9999999999993,150289835.65,0.097,147186927.02,0.089,0.0,,0.0,,21924657.681,0.027,28539.688,0.027,2.405,0.068,0.136,0.015,246017.877,0.014
11,2035.9999999999998,164881854.852,0.097,160358641.819,0.089,0.0,,0.0,,22526124.009,0.027,29311.466,0.027,2.569,0.068,0.138,0.015,249348.683,0.014
12,2036.999999999999,180890650.002,0.097,174709089.501,0.089,0.0,,0.0,,23144090.56,0.027,30104.116,0.027,2.744,0.068,0.14,0.014,252724.584,0.014
13,2038.0000000000005,198453779.451,0.097,190343754.524,0.089,0.0,,0.0,,23779009.991,0.027,30918.2,0.027,2.931,0.068,0.142,0.014,256146.191,0.014
14,2038.999999999999,217722157.435,0.097,207377561.121,0.089,0.0,,0.0,,24431347.374,0.027,31754.3,0.027,3.131,0.068,0.144,0.014,259614.123,0.014
15,2039.9999999999998,238861350.836,0.097,225935718.059,0.089,6462816.389,inf,6462816.389,inf,25101580.543,0.027,32613.009,0.027,3.344,0.068,0.146,0.014,263129.007,0.014
16,2041.0000000000002,258319872.729,0.081,241407808.864,0.068,7792491.773,0.206,7803438.178,0.207,25922142.679,0.033,33654.419,0.032,3.505,0.048,0.148,0.014,266426.3,0.013
17,2041.9999999999995,279363557.197,0.081,257939429.327,0.068,9395737.769,0.206,9422153.399,0.207,26769528.711,0.033,34729.085,0.032,3.673,0.048,0.151,0.02,269764.911,0.013
18,2043.0,302121537.401,0.081,275603136.098,0.068,11328839.451,0.206,11376648.683,0.207,27644615.505,0.033,35838.066,0.032,3.849,0.048,0.154,0.02,273145.358,0.013
19,2044.0000000000002,326733466.158,0.081,294476454.512,0.068,13659662.122,0.206,13736576.956,0.207,28548308.589,0.033,36982.461,0.032,4.034,0.048,0.157,0.019,276568.167,0.013
20,2044.9999999999993,353350372.92,0.081,314642218.844,0.068,16470033.854,0.206,16586039.679,0.207,29481543.092,0.033,38163.398,0.032,4.228,0.048,0.16,0.019,280033.867,0.013
21,2045.9999999999993,382135590.55,0.081,336188935.862,0.068,19858618.224,0.206,20026583.996,0.207,30445284.714,0.033,39382.046,0.032,4.431,0.048,0.163,0.019,283542.995,0.013
22,2046.9999999999995,413265757.606,0.081,359211173.285,0.068,23944378.091,0.206,24180821.601,0.207,31440530.722,0.033,40639.607,0.032,4.643,0.048,0.166,0.018,287096.097,0.013
23,2048.0,446931902.27,0.081,383809974.834,0.068,28870752.017,0.206,29196798.287,0.207,32468310.984,0.033,41937.326,0.032,4.866,0.048,0.169,0.018,290693.724,0.013
24,2049.000000000001,483340614.581,0.081,410093303.711,0.068,34810689.962,0.206,35253269.896,0.207,33529689.033,0.033,43276.484,0.032,5.1,0.048,0.173,0.024,294336.432,0.013
25,2049.999999999999,522715314.16,0.081,438176516.443,0.068,41972725.022,0.206,42566072.696,0.207,34625763.17,0.033,44658.405,0.032,5.345,0.048,0.176,0.017,298024.788,0.013
