,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureLights,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,160,2025,11NB,11,NB,Night,7,OP,NT,2.4,60,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05370569280343716,1397.0,37.0,10.0,248.0,30.0,1.0,3.2,1.6,0.9,0.10741138560687433,0.10741138560687433,3.286,0.708,1397.0,37.0,10.0,248.0,30.0,1722.0,2348.5,0.9,0.2935625,2348.5,1.2,0.0,1.0,3.0,1.6,0.0,1300.607,34.447,9.31,230.888,27.93,1603.182,0.2,0.7000000000000001,0.7000000000000001,1.0,0.6000000000000001,0.06534554340236776,0.06534554340236776,0.06534554340236776,0.06534554342670383,0.06534554342824445,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,1.0,13459.89160293858,47109.620610285034,47109.620610285034,67299.4580146929,59.9732657225959,59.99999988860243,0.0,2.4000000044559027,2.401069847789624,-0.0010698433337212876,0.0007488934527365987,0.4117657147052706,0.0,0.5882342852947294,84.98887116792332,1312.0111288320768,2.250957933581362,34.74904206641864,0.6083670093026127,9.391632990697387,15.087501831060504,232.9124981689395,102.9356979418678,1619.0643020581324,11333.450114406927,137.39968901831475,0.03816658028286521,961.7978231282032,2308.3147755076875,2211.1003109816857,15477.7021768718,37146.48522449232,2348.5000000000005,16439.500000000004,39454.8,0.29356250000000006,0.48,1.6800000000000002,1.6800000000000002,2.4,0.3311465721436525,81.80832845919348,0.0,0.0,572.6582992143543,40.79465816060319,3.7816093284166885,1.0220565756283895,36.21000439454521,572.6582992143543,285.5626071242223,26.47126529891682,7.154396029398726,253.47003076181647,594.9220981754632,15.756705535069536,4.258569065118289,105.61251281742352,720.5498855930746,9184.077901824538,243.24329446493047,65.7414309348817,1630.3874871825765,210.0,1427.8130356211118,37.81609328416688,10.220565756283893,253.47003076181645,12054.0,22041.78696437889,583.7839067158332,157.77943424371608,3912.9299692381833,504.0,-0.000445569434269546,26919.829373356537
1,161,2025,11NB,11,NB,AM-Early,1,OP,AM,2.4,60,7387.2250855943,1,6,60,3600,1.6,6.3,0.2,0.05,5278.0,151.0,79.0,257.0,12.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.13,0.715,5278.0,151.0,79.0,257.0,12.0,5777.0,6660.0,1.0,0.9015563926686829,6660.0,1.2,0.0,1.0,3.0,1.6,0.0,4913.818,140.58100000000002,73.549,239.26700000000002,11.172,5378.387000000001,1.4084316127828589,4.929510644740006,4.929510644740006,7.042158063914295,4.225294838348576,0.1311102923798669,0.1311102923798669,0.09102285152855323,0.09104104612094674,0.05592463489435897,1.4084316127828589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929510644740006,4.929510644740006,7.042158063914295,50.89872755073894,178.14554642758628,178.14554642758628,254.49363775369468,47.366173577924116,59.995752274756065,2.2988861811721724,2.4001699210393888,3.0401442447762737,-0.6399743237368849,0.44810097134339144,0.1323017620617283,0.6787458898752541,0.1889523480630177,644.2521146814529,4633.747885318548,12.796083490735544,138.20391650926445,6.695977901149512,72.30402209885048,13.380919617268589,243.6190803827314,677.1250956906065,5099.874904309394,5099.874904309394,733.1250270129714,0.2036458408369365,733.1250270129714,1759.5000648311313,5926.874972987029,5926.874972987029,14224.49993516887,6660.0,6660.0,15984.0,0.9015563926686829,3.3802358706788613,11.830825547376014,11.830825547376014,16.90117935339431,1.6211213068459223,2634.484608057903,0.0,0.0,2634.4846080579027,2177.7241078069587,151.38823146855052,79.21894641758487,226.15332236480873,2634.484608057903,2177.7241078069587,151.38823146855052,79.21894641758487,226.15332236480873,644.2521146814529,12.796083490735544,6.695977901149512,13.380919617268589,677.1250956906065,4633.747885318548,138.20391650926445,72.30402209885048,243.6190803827314,12.0,1546.205075235487,30.710600377765303,16.07034696275883,32.11420708144461,5777.0,11120.994924764515,331.68939962223465,173.52965303724116,584.6857929185553,28.799999999999997,-0.2105078812745548,316.90982703255366
2,162,2025,11NB,11,NB,AM-Peak,3,Peak,AM,2.4,60,7999.999999999998,1,6,60,3600,1.6,6.3,0.2,0.05,5478.0,214.0,53.0,432.0,10.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.13,0.715,6138.030242931221,239.78431398088378,59.38583477096655,484.0505777558028,11.204874485088027,6932.455843923963,8371.721971533518,1.2,1.04646524644169,8371.721971533518,1.2,0.0,1.0,3.0,1.6,0.0,5714.506156168967,223.23919631620282,55.28821217176986,450.65108789065243,10.431738145616954,6454.11639069321,1.5999999965196683,5.599999987818839,5.599999987818839,7.999999982598341,4.799999989559005,0.21537666986153664,0.21537666986153664,0.15849783175527515,0.15856732085091693,0.10446770421201633,1.5999999965196683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.599999987818839,5.599999987818839,7.999999982598341,40.086577951625294,140.30302283068852,140.30302283068852,200.43288975812646,42.61744998996837,59.64352820490155,3.235643888030044,2.4143440928795687,3.378897611985134,-0.9645535191055652,0.6852283283895936,0.14025969597835444,0.66230540861598,0.19743489540566556,1230.7713058189224,4907.2589371122995,35.382928578908356,204.40138540197543,8.766903678714602,50.61893109225194,47.07848455258405,436.9720932032188,1321.9996226291296,5610.456221294834,16831.368663884503,1482.3813401207321,0.41177259447798115,4447.144020362197,10673.145648869273,6889.340631412789,20668.021894238365,49603.25254617207,8371.721971533521,25115.165914600562,60276.39819504134,1.0464652464416904,3.8399999916472036,13.439999970765212,13.439999970765212,19.199999958236017,1.961499062742597,6223.44244975945,0.0,0.0,18670.327349278352,4726.16180406428,475.5465590661159,117.82718518562568,903.9069014434288,18670.32734927835,14178.48541219284,1426.6396771983477,353.481555556877,2711.720704330286,3692.3139174567673,106.14878573672507,26.300711036143806,141.23545365775215,3965.9988678873883,14721.776811336898,613.2041562059263,151.8567932767558,1310.9162796096564,33.61462345526408,8861.55340189624,254.75708576814017,63.12170648674513,338.96508877860515,20797.367531771888,35332.264347208555,1471.689974894223,364.4563038642139,3146.1990710631753,80.6750962926338,-0.2854639677995099,238.86699383200963
3,163,2025,11NB,11,NB,AM-Shoulder,1,OP,AM,2.4,60,8065.271296004081,1,6,60,3600,1.6,6.3,0.2,0.05,5124.0,227.0,63.0,599.0,18.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.13,0.715,5124.0,227.0,63.0,599.0,18.0,6031.0,7700.0,1.02,0.9547106002267954,7700.0,1.2,0.0,1.0,3.0,1.6,0.0,4770.444,211.33700000000002,58.653000000000006,557.669,16.758000000000003,5614.861,1.5999783220356092,5.599924127124632,5.599924127124632,7.999891610178046,4.799934966106828,0.13886824697152506,0.13886824697152506,0.09706364219600118,0.09711638289450578,0.05997611939785635,1.5999783220356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.599924127124632,5.599924127124632,7.999891610178046,49.59790364200118,173.5926627470041,173.5926627470041,247.9895182100059,43.398819594915786,59.99083420067131,2.388160760760125,2.400366687989623,3.31806259580548,-0.9176959078158569,0.6426438170638358,0.16275642345772723,0.6048272678313084,0.23241630871096441,662.4631955558299,4461.53680444417,20.513138950776302,206.4868610492237,5.696167205911448,57.30383279408855,33.44682252848315,565.5531774715168,722.1193242410009,5308.880675758999,5308.880675758999,828.3269285329986,0.23009081348138852,828.3269285329986,1987.9846284791965,6871.673071467001,6871.673071467001,16492.015371520803,7700.0,7700.0,18480.0,0.9547106002267954,3.839947972885462,13.439817905099117,13.439817905099117,19.199739864427308,2.041584795449262,3538.242798889254,0.0,0.0,3538.2427988892546,2543.824204885834,275.6928521604295,76.55545000444708,642.1702918385433,3538.242798889254,2543.824204885834,275.6928521604295,76.55545000444708,642.1702918385433,662.4631955558299,20.513138950776302,5.696167205911448,33.44682252848315,722.1193242410009,4461.53680444417,206.4868610492237,57.30383279408855,565.5531774715168,18.0,1589.9116693339918,49.231533481863124,13.670801294187475,80.27237406835957,6031.0,10707.688330666007,495.56846651813686,137.52919870581252,1357.3276259316403,43.199999999999996,-0.2765758274048114,251.06015664979813
4,164,2025,11NB,11,NB,MD,5,OP,MD,2.4,60,5535.189725999085,1,6,60,3600,1.6,6.3,0.2,0.05,3734.0,132.0,36.0,380.0,11.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.133,0.708,3734.0,132.0,36.0,380.0,11.0,4293.0,5327.0,1.02,0.9623879692829306,5327.0,1.2,0.0,1.0,3.0,1.6,0.0,3476.3540000000003,122.89200000000001,33.516000000000005,353.78000000000003,10.241,3996.7830000000004,1.5691477129345772,5.492016995271021,5.492016995271021,7.845738564672886,4.707443138803732,0.15275127609820788,0.15275127609820788,0.1073501428229974,0.10737902721169339,0.06692350601672767,1.5691477129345772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.492016995271021,5.492016995271021,7.845738564672886,47.329982753734846,165.65493963807197,165.65493963807197,236.64991376867422,43.90068225001757,59.99812225219348,2.5618226101224346,2.4000751122629587,3.2801312558176106,-0.8800561435546519,0.6160918790723273,0.1518226559108694,0.6313063454544303,0.21687099863470027,531.0175096691094,3202.982490330891,13.192473751803798,118.8075262481962,3.5989154760271163,32.401084523972884,23.676197958597918,356.3238020414021,571.4850968555381,3721.5149031444616,18607.574515722306,644.0245766144803,0.17889571572624455,3220.1228830724017,7728.294919373764,4682.97542338552,23414.8771169276,56195.70508062624,5327.0,26635.000000000004,63924.00000000001,0.9623879692829306,3.765954511042985,13.18084078865045,13.18084078865045,18.829772555214927,1.94444399572585,2666.929836546137,0.0,0.0,13334.649182730684,1999.7877859811942,173.88789613097592,47.43673190132356,445.81742253264275,13334.649182730684,9998.938929905971,869.4394806548796,237.1836595066178,2229.0871126632137,2655.0875483455466,65.96236875901899,17.99457738013558,118.3809897929896,2857.4254842776904,16014.912451654454,594.037631240981,162.00542261986442,1781.6190102070104,55.0,6372.210116029311,158.30968502164555,43.186985712325395,284.11437550317504,21465.0,38435.78988397069,1425.6903149783543,388.8130142876746,4275.885624496825,132.0,-0.26829906333589315,256.75324502583516
5,165,2025,11NB,11,NB,PM-Shoulder,1,OP,PM,2.4,60,7176.264136473113,1,6,60,3600,1.6,6.3,0.2,0.05,4721.0,116.0,39.0,424.0,11.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.283,0.592,5388.122842138513,132.39191901886622,44.5110762218602,483.9152902068904,12.554406113858006,6061.495533699987,7375.525,1.02,1.0277666568199673,7319.789419202575,1.2,55.73558079742452,0.9924431710559689,3.0,1.6,0.0,5016.342366030956,123.25687660656446,41.43981196255185,450.525135182615,11.688152092001804,5643.252341874689,1.5999995782886767,5.599998524010369,5.599998524010369,7.999997891443384,4.79999873486603,0.1726955800003831,0.1726955800003831,0.11483452967758606,0.11486569952239344,0.06545041654447976,1.5999995782886767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.599998524010369,5.599998524010369,7.999997891443384,46.517256009644264,162.81039603375493,162.81039603375493,232.58628004822134,40.93981866543716,59.96959538049975,2.3117576039909635,2.401216801386396,3.5173580317191266,-1.1161412303327305,0.7821506222033886,0.1857818133206904,0.5491046192834891,0.2651135673958206,866.30015438221,4521.822687756303,14.15414545464309,118.23777356422313,4.760012989154966,39.751063232705235,29.487057761460207,454.4282324454302,914.7013705874682,5146.794163112519,5146.794163112519,1002.0467237760859,0.27834631216002387,1002.0467237760859,2404.912137062606,6317.742695426488,6317.742695426488,15162.582469023571,7319.789419202574,7319.789419202574,17567.494606086177,1.02,3.839998987892824,13.439996457624884,13.439996457624884,19.19999493946412,1.8890269507937072,4146.949298322407,0.0,0.0,4146.949298322407,3326.5917160390836,190.23166477111047,63.974557712491176,566.1513597997222,4146.949298322407,3326.5917160390836,190.23166477111047,63.974557712491176,566.1513597997222,866.30015438221,14.15414545464309,4.760012989154966,29.487057761460207,914.7013705874682,4521.822687756303,118.23777356422313,39.751063232705235,454.4282324454302,12.554406113858006,2079.120370517304,33.96994909114341,11.424031173971917,70.7689386275045,6061.495533699987,10852.374450615127,283.7706565541355,95.40255175849256,1090.6277578690324,30.13057467325921,-0.3173237470474994,206.4254352514918
6,166,2025,11NB,11,NB,PM-Peak,3,Peak,PM,2.4,60,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05,5642.0,105.0,23.0,411.0,14.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.283,0.592,6082.0130588187285,113.18882863806567,24.79374341595724,443.0534149547142,15.091843818408755,6678.140889645874,7801.405265273154,1.2,0.9751756581591443,7801.405265273154,1.2,0.0,1.0,3.0,1.6,0.0,5662.354157760236,105.37879946203914,23.082975120256194,412.4827293228389,14.050506594938552,6217.349168260309,1.5999993271816655,5.599997645135829,5.599997645135829,7.999996635908327,4.799997981544997,0.2013915910961891,0.2013915910961891,0.13698279102653096,0.13701623502228147,0.08029287961040392,1.5999993271816655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.599997645135829,5.599997645135829,7.999996635908327,43.6571639654536,152.80007387908762,152.80007387908762,218.28581982726797,46.42405391331675,59.85550733564237,3.2985250162473423,2.405793658927886,3.101840271616038,-0.6960466126881517,0.4912881901312264,0.10951929171817913,0.7353161153692935,0.15516459291252746,1140.3505131814557,4941.662545637273,14.435082065335221,98.75374657273045,3.1627423440904985,21.63100107186674,33.11942612688953,409.93398882782463,1191.0677637177707,5487.073125928104,16461.219377784313,1283.7033525856887,0.3565842646071357,3851.110057757066,9242.664138616958,6517.701912687467,19553.1057380624,46927.45377134976,7801.405265273155,23404.215795819466,56170.11790996672,0.9751756581591444,3.839998385235997,13.43999434832599,13.43999434832599,19.199991926179983,1.83706015169318,5251.351504061338,0.0,0.0,15754.054512184019,4378.94412921983,194.00742137572723,42.507239229787594,635.8927142359934,15754.054512184015,13136.83238765949,582.0222641271816,127.52171768936279,1907.67814270798,3421.051539544367,43.30524619600566,9.488227032271496,99.3582783806686,3573.203291153313,14824.98763691182,296.26123971819135,64.89300321560023,1229.801966483474,45.275531455226265,8210.52369490648,103.93259087041359,22.77174487745159,238.4598681136046,20034.422668937623,35579.970328588366,711.0269753236593,155.74320771744055,2951.5247195603374,108.66127549254303,-0.22439795467789067,331.012174923672
7,167,2025,11NB,11,NB,PM-Late,3,OP,PM,2.4,60,5987.397816858395,1,6,60,3600,1.6,6.3,0.2,0.05,2727.0,51.0,5.0,265.0,29.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.283,0.592,2727.0,51.0,5.0,265.0,29.0,3077.0,3749.0,0.95,0.6261484729550025,3749.0,1.2,0.0,1.0,3.0,1.6,0.0,2538.837,47.481,4.655,246.715,26.999000000000002,2864.6870000000004,0.5893320985171494,2.0626623448100228,2.0626623448100228,2.946660492585747,1.7679962955514483,0.18380338887872086,0.18380338887872086,0.12284267867869561,0.1228481973511606,0.07090018266379045,0.5893320985171494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0626623448100228,2.0626623448100228,2.946660492585747,45.42580013582322,158.9903004753813,158.9903004753813,227.12900067911613,58.598402981104876,59.99941537343263,1.4903928258277839,2.400023385290556,2.457404855324009,-0.05738147003345295,0.04018339872680643,0.02530508140346335,0.9385595289517015,0.03613538964483507,466.64684441068505,2260.353155589315,5.832693226343147,45.167306773656854,0.5718583586696526,4.428141641330347,17.49213856589706,247.50786143410295,490.5435345615949,2586.4564654384053,7759.369396315216,535.1346390709082,0.14864851085303005,1605.4039172127245,3852.9694013105386,3213.865360929092,9641.596082787275,23139.83059868946,3749.0,11247.0,26992.8,0.6261484729550025,1.4143970364411584,4.950389627544054,4.950389627544054,7.071985182205792,0.6926271802142283,815.4330842777239,0.0,0.0,2446.299252833172,660.0239137990912,28.874104048335578,2.8309216871826157,123.7041447431145,2446.2992528331715,1980.0717413972739,86.62231214500673,8.492765061547846,371.1124342293435,1399.9405332320553,17.49807967902944,1.7155750760089579,52.47641569769118,1471.6306036847848,6781.059466767945,135.50192032097056,13.284424923991041,742.5235843023088,87.0,3359.8572797569327,41.99539122967066,4.117380182421499,125.94339767445882,9231.0,16274.542720243067,325.20460877032934,31.882619817578497,1782.056602325541,208.79999999999998,-0.023350434060197704,1478.9412355067682
8,168,2025,11SB,11,SB,Night,7,OP,NT,2.4,60,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05186721991701245,1357.0,39.0,16.0,250.0,28.0,1.0,3.2,1.6,0.9,0.1037344398340249,0.1037344398340249,3.286,0.708,1357.0,39.0,16.0,250.0,28.0,1690.0,2328.5,0.9,0.2910625,2328.5,1.2,0.0,1.0,3.0,1.6,0.0,1308.148,37.596,15.424,241.0,26.991999999999997,1629.1599999999999,0.2,0.7000000000000001,0.7000000000000001,1.0,0.6000000000000001,0.06311396354536276,0.06311396354536276,0.06311396354536276,0.06311396354536276,0.06311396354135493,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,1.0,14181.421056862384,49634.973699018345,49634.973699018345,70907.10528431191,59.97462534647864,59.999999892824704,0.0,2.400000004287012,2.4010154155711594,-0.001015411284147394,0.0007107908998117473,0.411765728497405,0.0,0.588234271502595,82.5624051839392,1274.4375948160607,2.372832573451458,36.62716742654854,0.9734697737236753,15.026530226276325,15.210465213466538,234.78953478653347,101.11917274458088,1588.880827255419,11122.165790787933,136.55955669227666,0.037933210192299074,955.9168968459367,2294.200552430248,2191.9404433077234,15343.583103154064,36824.59944756975,2328.5,16299.5,39118.8,0.2910625,0.48,1.6800000000000002,1.6800000000000002,2.4,0.33688327315852756,81.75685894386473,0.0,0.0,572.2980126070532,39.629954488290814,3.98635872339845,1.6354292198557747,36.50511651231969,572.2980126070531,277.4096814180357,27.90451106378915,11.448004538990423,255.53581558623782,577.9368362875745,16.609828014160207,6.814288416065727,106.47325649426577,707.8342092120663,8921.063163712424,256.39017198583974,105.18571158393428,1643.5267435057342,196.0,1387.0484070901787,39.8635872339845,16.354292198557744,255.53581558623785,11830.0,21410.55159290982,615.3364127660153,252.44570780144227,3944.464184413762,470.4,-0.0004229091065231022,28362.891421068234
9,169,2025,11SB,11,SB,AM-Early,1,OP,AM,2.4,60,7321.281952734838,1,6,60,3600,1.6,6.3,0.2,0.05,3040.0,119.0,53.0,268.0,14.0,1.0,3.2,1.6,0.9,0.35770496494491344,0.35770496494491344,3.13,0.715,3040.0,119.0,53.0,268.0,14.0,3494.0,4316.0,1.0,0.589514244617744,4316.0,1.2,0.0,1.0,3.0,1.6,0.0,2930.56,114.716,51.092,258.352,13.495999999999999,3368.216,0.6048717828938966,2.1170512401286383,2.1170512401286383,3.024358914469483,1.81461534868169,0.14525837978729436,0.14525837978729436,0.10168082729033048,0.10168864760296965,0.06334888485439077,0.6048717828938966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1170512401286383,2.1170512401286383,3.024358914469483,48.681332084876416,170.38466229706745,170.38466229706745,243.40666042438207,58.85107797427423,59.99952986842569,1.4412025452698631,2.4000188054103226,2.4468540756882518,-0.04683527027792911,0.03279785298177609,0.02156567843617644,0.9476385746944644,0.0307957468693591,425.6883974694534,2614.3116025305467,11.664417783437552,107.33558221656244,5.195476383330925,47.80452361666907,16.366311099901562,251.63368890009843,458.9146027361234,3035.085397263877,3035.085397263877,516.9370661860793,0.14359362949613313,516.9370661860793,1240.6489588465902,3799.0629338139206,3799.0629338139206,9117.75104115341,4316.0,4316.0,10358.4,0.589514244617744,1.451692278945352,5.080922976308732,5.080922976308732,7.258461394726759,0.7467135641743724,822.4266207858167,0.0,0.0,822.4266207858166,617.9685598430256,59.26600832113203,26.39781532893549,118.79423729272354,822.4266207858167,617.9685598430256,59.26600832113203,26.39781532893549,118.79423729272354,425.6883974694534,11.664417783437552,5.195476383330925,16.366311099901562,458.9146027361234,2614.3116025305467,107.33558221656244,47.80452361666907,251.63368890009843,14.0,1021.652153926688,27.99460268025012,12.46914331999422,39.279146639763745,3494.0,6274.347846073312,257.60539731974984,114.73085668000577,603.9208533602363,33.6,-0.01914101488244871,1859.7423740664797
