,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,67588785.364,,67588785.364,,0.0,,0.0,,24906759.134,,22353.325,,1.593,,0.133,,215869.468,
1,2026.0,75200318.88,0.113,75200318.87,0.113,0.0,,0.0,,26537136.059,0.065,23775.202,0.064,1.666,0.046,0.138,0.038,220892.364,0.023
2,2026.9999999999995,83669027.771,0.113,83669027.749,0.113,0.0,,0.0,,28274236.179,0.065,25287.523,0.064,1.743,0.046,0.144,0.043,226032.135,0.023
3,2027.999999999999,93091443.128,0.113,93091443.091,0.113,0.0,,0.0,,30125045.511,0.065,26896.041,0.064,1.824,0.046,0.149,0.035,231291.498,0.023
4,2029.0,103574966.92,0.113,103574966.864,0.113,0.0,,0.0,,32097007.371,0.065,28606.876,0.064,1.908,0.046,0.155,0.04,236673.238,0.023
5,2030.0,115239096.226,0.113,115239096.149,0.113,0.0,,0.0,,34198052.308,0.065,30426.535,0.064,1.995,0.046,0.161,0.039,242180.201,0.023
6,2031.0000000000007,128216785.329,0.113,128216785.226,0.113,0.0,,0.0,,36436630.0,0.065,32361.942,0.064,2.087,0.046,0.168,0.043,247815.301,0.023
7,2032.0000000000005,142655961.201,0.113,142655961.068,0.113,0.067,inf,0.067,inf,38821743.232,0.065,34420.458,0.064,2.184,0.046,0.174,0.036,253581.52,0.023
8,2033.0000000000007,155308767.248,0.089,152827465.089,0.071,0.748,10.164,0.748,10.164,39913094.183,0.028,35420.862,0.029,2.31,0.058,0.177,0.017,256424.518,0.011
9,2034.0000000000002,169083808.214,0.089,163724206.902,0.071,8.412,10.246,8.412,10.246,41035125.027,0.028,36450.342,0.029,2.444,0.058,0.18,0.017,259299.39,0.011
10,2034.9999999999993,184080620.216,0.089,175397896.642,0.071,94.603,10.246,94.603,10.246,42188698.231,0.028,37509.744,0.029,2.586,0.058,0.184,0.022,262206.493,0.011
11,2035.9999999999998,200407567.686,0.089,187903931.425,0.071,1063.905,10.246,1063.905,10.246,43374700.511,0.028,38599.935,0.029,2.735,0.058,0.187,0.016,265146.189,0.011
12,2036.999999999999,218182626.387,0.089,201301658.235,0.071,11964.689,10.246,11964.689,10.246,44594043.506,0.028,39721.813,0.029,2.894,0.058,0.19,0.016,268118.843,0.011
13,2038.0000000000005,237534235.892,0.089,215654655.551,0.071,134554.996,10.246,134554.997,10.246,45847664.486,0.028,40876.296,0.029,3.062,0.058,0.194,0.021,271124.824,0.011
14,2038.999999999999,258602227.661,0.089,231031035.058,0.071,1513206.658,10.246,1513206.665,10.246,47136527.069,0.028,42064.334,0.029,3.239,0.058,0.197,0.015,274164.507,0.011
15,2039.9999999999998,281538835.445,0.089,247503764.867,0.071,17017535.242,10.246,17017535.336,10.246,48461621.961,0.028,43286.902,0.029,3.427,0.058,0.2,0.015,277238.269,0.011
16,2041.0000000000002,302931442.685,0.076,261676908.663,0.057,19505778.24,0.146,20034723.035,0.177,49334589.129,0.018,44070.394,0.018,3.622,0.057,0.202,0.01,279744.567,0.009
17,2041.9999999999995,325949557.979,0.076,276661668.417,0.057,22357843.21,0.146,23586854.334,0.177,50223281.557,0.018,44868.068,0.018,3.828,0.057,0.204,0.01,282273.523,0.009
18,2043.0,350716694.857,0.076,292504520.793,0.057,25626926.895,0.146,27768774.062,0.177,51127982.516,0.018,45680.179,0.018,4.045,0.057,0.206,0.01,284825.342,0.009
19,2044.0000000000002,377365751.971,0.076,309254603.914,0.057,29374004.277,0.146,32692142.92,0.177,52048980.375,0.018,46506.99,0.018,4.275,0.057,0.208,0.01,287400.229,0.009
20,2044.9999999999993,406039726.221,0.076,326963869.765,0.057,33668965.882,0.146,38488418.91,0.177,52986568.7,0.018,47348.766,0.018,4.518,0.057,0.21,0.01,289998.394,0.009
21,2045.9999999999993,436892480.063,0.076,345687245.326,0.057,38591921.376,0.146,45312367.372,0.177,53941046.345,0.018,48205.778,0.018,4.775,0.057,0.212,0.01,292620.047,0.009
22,2046.9999999999995,470089567.127,0.076,365482802.938,0.057,44234693.774,0.146,53346193.348,0.177,54912717.547,0.018,49078.302,0.018,5.047,0.057,0.213,0.005,295265.401,0.009
23,2048.0,505809120.563,0.076,386411940.415,0.057,50702532.124,0.146,62804406.607,0.177,55901892.023,0.018,49966.618,0.018,5.333,0.057,0.215,0.009,297934.669,0.009
24,2049.000000000001,544242808.895,0.076,408539571.48,0.057,58116074.612,0.146,73939549.229,0.177,56908885.069,0.018,50871.014,0.018,5.637,0.057,0.217,0.009,300628.068,0.009
25,2049.999999999999,585596864.492,0.076,431934327.096,0.057,66613598.706,0.146,87048938.691,0.177,57934017.662,0.018,51791.778,0.018,5.957,0.057,0.219,0.009,303345.816,0.009
