,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,25017334.409,,25017334.409,,0.0,,0.0,,14014970.639,,13114.81,,0.716,,0.124,,130667.17,
1,2026.0,28000564.313,0.119,28000564.313,0.119,0.0,,0.0,,14429418.778,0.03,13502.915,0.03,0.778,0.087,0.124,0.0,134791.591,0.032
2,2026.9999999999995,31339533.983,0.119,31339533.983,0.119,0.0,,0.0,,14856122.901,0.03,13902.506,0.03,0.846,0.087,0.124,0.0,139046.197,0.032
3,2027.999999999999,35076664.144,0.119,35076664.144,0.119,0.0,,0.0,,15295445.44,0.03,14313.922,0.03,0.92,0.087,0.124,0.0,143435.097,0.032
4,2029.0,39259434.048,0.119,39259434.048,0.119,0.0,,0.0,,15747759.545,0.03,14737.513,0.03,1.0,0.087,0.124,0.0,147962.529,0.032
5,2030.0,43940984.679,0.119,43940984.679,0.119,0.0,,0.0,,16213449.399,0.03,15173.639,0.03,1.087,0.087,0.123,-0.008,152632.866,0.032
6,2031.0000000000007,49180793.901,0.119,49180793.901,0.119,0.0,,0.0,,16692910.548,0.03,15622.671,0.03,1.181,0.086,0.123,0.0,157450.62,0.032
7,2032.0000000000005,55045432.103,0.119,55045432.103,0.119,0.0,,0.0,,17186550.235,0.03,16084.992,0.03,1.284,0.087,0.123,0.0,162420.442,0.032
8,2033.0000000000007,60179037.221,0.093,60179037.221,0.093,0.0,,0.0,,17700659.474,0.03,16567.262,0.03,1.363,0.062,0.124,0.008,165319.184,0.018
9,2034.0000000000002,65791408.705,0.093,65791408.705,0.093,0.0,,0.0,,18230147.502,0.03,17063.992,0.03,1.447,0.062,0.126,0.016,168269.66,0.018
10,2034.9999999999993,71927196.898,0.093,71927196.898,0.093,0.0,,0.0,,18775474.35,0.03,17575.616,0.03,1.536,0.062,0.127,0.008,171272.793,0.018
11,2035.9999999999998,78635216.292,0.093,78635216.292,0.093,0.0,,0.0,,19337113.813,0.03,18102.579,0.03,1.63,0.061,0.129,0.016,174329.524,0.018
12,2036.999999999999,85968833.876,0.093,85968833.876,0.093,0.0,,0.0,,19915553.857,0.03,18645.341,0.03,1.73,0.061,0.13,0.008,177440.808,0.018
13,2038.0000000000005,93986393.712,0.093,93986393.712,0.093,0.0,,0.0,,20511297.046,0.03,19204.378,0.03,1.837,0.062,0.132,0.015,180607.62,0.018
14,2038.999999999999,102751681.099,0.093,102751681.099,0.093,0.0,,0.0,,21124860.978,0.03,19780.175,0.03,1.95,0.062,0.133,0.008,183830.951,0.018
15,2039.9999999999998,112334430.035,0.093,112334430.035,0.093,0.0,,0.0,,21756778.731,0.03,20373.237,0.03,2.069,0.061,0.135,0.015,187111.809,0.018
16,2041.0000000000002,120739579.915,0.075,120739579.915,0.075,0.0,,0.0,,22797181.87,0.048,21357.437,0.048,2.122,0.026,0.139,0.03,189995.669,0.015
17,2041.9999999999995,129773624.645,0.075,129773624.645,0.075,0.0,,0.0,,23887336.798,0.048,22389.182,0.048,2.175,0.025,0.144,0.036,192923.977,0.015
18,2043.0,139483619.749,0.075,139483619.749,0.075,0.0,,0.0,,25029622.634,0.048,23470.769,0.048,2.23,0.025,0.149,0.035,195897.417,0.015
19,2044.0000000000002,149920141.565,0.075,149920141.565,0.075,0.0,,0.0,,26226532.262,0.048,24604.606,0.048,2.287,0.026,0.153,0.027,198916.686,0.015
20,2044.9999999999993,161137550.685,0.075,161137550.685,0.075,0.0,,0.0,,27480677.778,0.048,25793.217,0.048,2.345,0.025,0.158,0.033,201982.489,0.015
21,2045.9999999999993,173194275.096,0.075,173194275.096,0.075,0.0,,0.0,,28794796.185,0.048,27039.248,0.048,2.404,0.025,0.164,0.038,205095.544,0.015
22,2046.9999999999995,186153114.519,0.075,186153114.519,0.075,0.0,,0.0,,30171755.37,0.048,28345.472,0.048,2.465,0.025,0.169,0.03,208256.578,0.015
23,2048.0,200081567.512,0.075,200081567.512,0.075,0.0,,0.0,,31614560.363,0.048,29714.799,0.048,2.527,0.025,0.174,0.03,211466.332,0.015
24,2049.000000000001,215052183.045,0.075,215052183.045,0.075,0.0,,0.0,,33126359.891,0.048,31150.275,0.048,2.591,0.025,0.18,0.034,214725.557,0.015
25,2049.999999999999,231142938.39,0.075,231142938.39,0.075,0.0,,0.0,,34710453.255,0.048,32655.097,0.048,2.657,0.025,0.186,0.033,218035.014,0.015
