,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,224642278.689,,223711213.927,,420545.774,,375559.167,,44986.607,,0.0,,510518.988,,375559.167,,134959.82,,0.0,,73373680.187,,69571331.566,,1107680.517,,321884.333,,2372783.772,,18838.552,,1.312,,1.055,,4.22,,4.22,,7.385,,0.127,,181797.189,
1,2026.0,251610860.213,0.12,250630030.281,0.12,442515.414,0.052,401617.63,0.069,0.0,-1.0,0.0,,522514.869,0.023,401617.63,0.069,0.0,-1.0,0.0,,77424257.515,0.055,73366261.522,0.055,1171538.825,0.058,340493.393,0.058,2543874.108,0.072,19873.142,0.055,1.393,0.062,1.12,0.062,4.479,0.061,4.479,0.061,7.837,0.061,0.131,0.031,187012.734,0.029
2,2026.9999999999995,281817053.08,0.12,280787945.208,0.12,465632.765,0.052,429484.18,0.069,0.0,,0.0,,534792.623,0.023,429484.18,0.069,0.0,,0.0,,81698446.044,0.055,77368194.752,0.055,1239078.595,0.058,360178.297,0.058,2727300.969,0.072,20964.551,0.055,1.479,0.062,1.188,0.061,4.753,0.061,4.753,0.061,8.317,0.061,0.134,0.023,192377.907,0.029
3,2027.999999999999,315649536.508,0.12,314574714.315,0.12,489957.784,0.052,459284.271,0.069,0.0,,0.0,,547358.873,0.023,459284.271,0.069,0.0,,0.0,,86208590.178,0.055,81588422.73,0.055,1310512.065,0.058,381001.241,0.058,2923953.882,0.072,22115.898,0.055,1.57,0.062,1.261,0.061,5.043,0.061,5.043,0.061,8.826,0.061,0.137,0.022,197896.999,0.029
4,2029.0,353543651.133,0.12,352426991.881,0.12,515553.561,0.052,491152.065,0.069,0.0,,0.0,,560220.396,0.023,491152.065,0.069,0.0,,0.0,,90967715.794,0.055,86038852.851,0.055,1386063.708,0.058,403028.02,0.058,3134786.517,0.072,23330.476,0.055,1.667,0.062,1.338,0.061,5.352,0.061,5.352,0.061,9.366,0.061,0.141,0.029,203574.429,0.029
5,2030.0,395987000.772,0.12,394833974.106,0.12,542486.482,0.052,525231.03,0.069,0.0,,0.0,,573384.133,0.023,525231.03,0.069,0.0,,0.0,,95989567.856,0.055,90732042.025,0.055,1465970.939,0.058,426328.231,0.058,3360821.306,0.072,24611.757,0.055,1.77,0.062,1.42,0.061,5.68,0.061,5.68,0.061,9.939,0.061,0.144,0.021,209414.736,0.029
6,2031.0000000000007,443525726.675,0.12,442343721.395,0.12,570826.399,0.052,561674.591,0.069,0.0,,0.0,,586857.183,0.023,561674.591,0.069,0.0,,0.0,,101288650.12,0.055,95681232.109,0.055,1550484.86,0.058,450975.493,0.058,3603154.407,0.072,25963.404,0.055,1.88,0.062,1.507,0.061,6.027,0.061,6.027,0.061,10.547,0.061,0.148,0.028,215422.596,0.029
7,2032.0000000000005,496771535.023,0.12,495570241.392,0.12,600646.816,0.052,600646.816,0.069,0.0,,0.0,,600646.816,0.023,600646.816,0.069,0.0,,0.0,,106880267.015,0.055,100900387.267,0.055,1639871.049,0.058,477047.686,0.058,3862961.014,0.072,27389.282,0.055,1.996,0.062,1.599,0.061,6.396,0.061,6.396,0.061,11.193,0.061,0.152,0.027,221602.813,0.029
8,2033.0000000000007,539283978.572,0.086,531535370.953,0.073,1030493.701,0.716,1030493.701,0.716,0.0,,0.0,,1030493.702,0.716,1030493.701,0.716,0.0,,0.0,,110606988.625,0.035,104348284.564,0.034,1702696.573,0.038,496315.945,0.04,4056308.204,0.05,28446.927,0.039,2.086,0.045,1.671,0.045,6.684,0.045,6.684,0.045,11.698,0.045,0.155,0.02,225038.282,0.016
9,2034.0000000000002,585434528.834,0.086,570110605.877,0.073,1767956.21,0.716,1767956.21,0.716,0.0,,0.0,,1767956.212,0.716,1767956.21,0.716,0.0,,0.0,,114463654.277,0.035,107914000.99,0.034,1767929.021,0.038,516362.461,0.04,4259332.721,0.05,29545.413,0.039,2.18,0.045,1.746,0.045,6.986,0.045,6.986,0.045,12.225,0.045,0.159,0.026,228527.009,0.016
