,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,63887356.553,,63887356.553,,0.0,,0.0,,25027305.479,,22463.774,,1.498,,0.134,,215869.468,
1,2026.0,71250086.248,0.115,71250086.205,0.115,0.0,,0.0,,26593412.509,0.063,23773.275,0.058,1.579,0.054,0.138,0.03,220892.364,0.023
2,2026.9999999999995,79461337.332,0.115,79461337.237,0.115,0.0,,0.0,,28257520.151,0.063,25159.111,0.058,1.664,0.054,0.143,0.036,226032.135,0.023
3,2027.999999999999,88618898.068,0.115,88618897.91,0.115,0.0,,0.0,,30025760.883,0.063,26625.733,0.058,1.754,0.054,0.148,0.035,231291.498,0.023
4,2029.0,98831826.377,0.115,98831826.141,0.115,0.0,,0.0,,31904650.931,0.063,28177.85,0.058,1.848,0.054,0.153,0.034,236673.238,0.023
5,2030.0,110221748.61,0.115,110221748.282,0.115,0.0,,0.0,,33901114.28,0.063,29820.446,0.058,1.947,0.054,0.158,0.033,242180.201,0.023
6,2031.0000000000007,122924308.009,0.115,122924307.57,0.115,0.0,,0.0,,36022508.189,0.063,31558.795,0.058,2.052,0.054,0.163,0.032,247815.301,0.023
7,2032.0000000000005,137090780.087,0.115,137090779.516,0.115,0.286,inf,0.286,inf,38276650.304,0.063,33398.479,0.058,2.163,0.054,0.169,0.037,253581.52,0.023
8,2033.0000000000007,149661638.141,0.092,147353254.88,0.075,2.661,8.304,2.661,8.304,39384981.037,0.029,34381.849,0.029,2.293,0.06,0.172,0.018,256424.518,0.011
9,2034.0000000000002,163385210.272,0.092,158383968.641,0.075,24.783,8.313,24.783,8.313,40525404.363,0.029,35394.172,0.029,2.432,0.061,0.175,0.017,259299.39,0.011
10,2034.9999999999993,178367197.281,0.092,170240430.338,0.075,230.81,8.313,230.81,8.313,41698849.551,0.029,36436.302,0.029,2.579,0.06,0.178,0.017,262206.493,0.011
11,2035.9999999999998,194722992.448,0.092,182984454.615,0.075,2149.558,8.313,2149.558,8.313,42906272.774,0.029,37509.116,0.029,2.735,0.06,0.182,0.022,265146.189,0.011
12,2036.999999999999,212578570.309,0.092,196682483.499,0.075,20019.109,8.313,20019.109,8.313,44148657.892,0.029,38613.517,0.029,2.901,0.061,0.185,0.016,268118.843,0.011
13,2038.0000000000005,232071456.926,0.092,211405932.798,0.075,186440.503,8.313,186440.504,8.313,45427017.256,0.029,39750.436,0.029,3.076,0.06,0.188,0.016,271124.824,0.011
14,2038.999999999999,253351789.136,0.092,227231564.434,0.075,1736344.039,8.313,1736344.044,8.313,46742392.528,0.029,40920.83,0.029,3.262,0.06,0.192,0.021,274164.507,0.011
15,2039.9999999999998,276583470.922,0.092,244241886.647,0.075,16170792.11,8.313,16170792.166,8.313,48095855.533,0.029,42125.684,0.029,3.459,0.06,0.195,0.016,277238.269,0.011
16,2041.0000000000002,296538759.254,0.072,256992036.367,0.052,18572639.635,0.149,19072842.75,0.179,49061164.466,0.02,43028.914,0.021,3.631,0.05,0.197,0.01,279744.567,0.009
17,2041.9999999999995,317933806.553,0.072,270407781.658,0.052,21331233.539,0.149,22495702.551,0.179,50045847.654,0.02,43951.511,0.021,3.811,0.05,0.2,0.015,282273.523,0.009
18,2043.0,340872490.34,0.072,284523868.579,0.052,24499561.357,0.149,26532837.285,0.179,51050293.947,0.02,44893.889,0.021,4.0,0.05,0.202,0.01,284825.342,0.009
19,2044.0000000000002,365466182.821,0.072,299376857.037,0.052,28138480.862,0.149,31294486.26,0.179,52074900.001,0.02,45856.474,0.021,4.199,0.05,0.205,0.015,287400.229,0.009
20,2044.9999999999993,391834291.622,0.072,315005215.475,0.052,32317889.029,0.149,36910672.603,0.179,53120070.434,0.02,46839.697,0.021,4.407,0.05,0.207,0.01,289998.394,0.009
21,2045.9999999999993,420104839.539,0.072,331449420.501,0.052,37118064.633,0.149,43534753.718,0.179,54186217.984,0.02,47844.002,0.021,4.626,0.05,0.21,0.014,292620.047,0.009
22,2046.9999999999995,450415086.116,0.072,348752061.723,0.052,42631210.252,0.149,51347608.905,0.179,55273763.671,0.02,48869.841,0.021,4.856,0.05,0.213,0.014,295265.401,0.009
23,2048.0,482912194.068,0.072,366957952.052,0.052,48963223.313,0.149,60562578.518,0.179,56383136.969,0.02,49917.675,0.021,5.097,0.05,0.215,0.009,297934.669,0.009
24,2049.000000000001,517753943.792,0.072,386114243.768,0.052,56235730.184,0.149,71431289.498,0.179,57514775.967,0.02,50987.976,0.021,5.35,0.05,0.218,0.014,300628.068,0.009
25,2049.999999999999,555109499.419,0.072,406270550.635,0.052,64588422.399,0.149,84250526.384,0.179,58669127.551,0.02,52081.225,0.021,5.616,0.05,0.22,0.009,303345.816,0.009
