,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollShare2x,devTollShare3x,devTollShare4x,tdotTollShare2x,tdotTollShare3x,tdotTollShare4x,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,devTollMediumA2x,devTollMediumB2x,devTollHeavyA2x,tdotTollMediumA2x,tdotTollMediumB2x,tdotTollHeavyA2x,devTollMediumA3x,devTollMediumB3x,devTollHeavyA3x,tdotTollMediumA3x,tdotTollMediumB3x,tdotTollHeavyA3x,devTollMediumA4x,devTollMediumB4x,devTollHeavyA4x,tdotTollMediumA4x,tdotTollMediumB4x,tdotTollHeavyA4x,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,DevRevenuePerDay2x,TDOTRevenuePerDay2x,DevRevenuePerDay3x,TDOTRevenuePerDay3x,DevRevenuePerDay4x,TDOTRevenuePerDay4x,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,160,2032,1NB,1,NB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1725.1,45.7,12.3,306.2,37.0,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.621873218950784,0.708,1725.1,45.7,12.3,306.2,37.0,2126.2999999999997,2899.7,0.93,0.36246249999999997,2899.7,1.2,0.0,1.0,2.5,1.6,0.0,1621.5939999999998,42.958,11.562,287.828,34.78,1998.7219999999995,0.2,0.8,0.8,1.4000000000000001,0.6000000000000001,0.2206930546226575,0.11444252787307774,0.10903309757099931,0.14636440138382642,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.4000000000000001,110.56344116130579,442.25376464522316,442.25376464522316,773.9440881291406,54.95993420885807,59.99962030779577,0.0,1.3000082267164852,1.4192156727041438,-0.11920744598765864,0.0007236981656280902,0.00603428050934889,0.0,0.9939657194906512,357.87453321777366,1367.2254667822262,4.916222112371673,40.78377788762833,1.260640674115894,11.039359325884107,42.12777292150399,264.072227078496,406.1791689257652,1720.1208310742345,12040.845817519641,499.70000894850455,0.13880555804125128,3497.900062639532,4547.270081431391,2399.9999910514953,16799.999937360466,21839.999918568607,2899.7,20297.899999999998,26387.269999999997,0.36246249999999997,0.26,1.04,1.04,1.8200000000000003,0.3335850022077671,176.1438626517055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0070385619385,93.04737863662116,5.1128709968665405,1.3110663010805297,76.67254671713728,1233.0070385619383,651.3316504563481,35.79009697806578,9.177464107563708,536.707827019961,2505.1217325244156,34.413554786601715,8.824484718811258,294.8944104505279,2843.2541824803566,9570.578267475583,285.4864452133983,77.27551528118875,1848.505589549472,259.0,3256.6582522817403,44.737621222582234,11.471830134454635,383.3627335856863,14884.099999999999,12441.751747718257,371.13237877741784,100.45816986554537,2403.0572664143137,336.7,-0.08399529985497078,130.86430860715734
1,161,2032,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,6517.5,186.5,97.6,317.4,14.8,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,6517.5,186.5,97.6,317.4,14.8,7133.8,8224.35,1.03,0.7908028846153846,8224.35,1.2,0.0,1.0,2.5,1.6,0.0,6126.45,175.31,91.74399999999999,298.35599999999994,13.911999999999999,6705.772,0.8,3.2,3.2,5.6000000000000005,2.4000000000000004,0.19533854318945446,0.10369880693289311,0.10370390169476114,0.09192655029242026,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,5.6000000000000005,58.18789643694742,232.75158574778968,232.75158574778968,407.315275058632,50.759908367720925,59.803353477904714,0.5962338699344719,1.304274684676643,1.5366457999676277,-0.23237111529098464,0.0829247872500668,0.0909732076275035,0.6541024637244991,0.2549243286479974,1196.7318179230333,5320.768182076967,18.17943784340549,168.32056215659452,9.514210757084165,88.08578924291584,27.426837839045334,289.97316216095464,1251.8523043625682,5881.947695637432,5881.947695637432,1348.2464529413933,0.37451290359483147,1348.2464529413933,1752.7203888238114,6876.103547058607,6876.103547058607,8938.93461117619,8224.35,8224.35,10691.655,0.7908028846153846,1.04,4.16,4.16,7.280000000000001,0.9582563514706877,1559.474048286242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559.474048286242,1244.6010906399547,75.62646142856684,39.579116749470124,199.66737946825006,1559.474048286242,1244.6010906399547,75.62646142856684,39.579116749470124,199.66737946825006,1196.7318179230333,18.17943784340549,9.514210757084165,27.426837839045334,1251.8523043625682,5320.768182076967,168.32056215659452,88.08578924291584,289.97316216095464,14.8,1555.7513632999433,23.63326919642714,12.368473984209414,35.65488919075894,7133.8,6916.9986367000565,218.81673080357288,114.5115260157906,376.965110809241,19.240000000000002,-0.15121969896763454,268.5359577581756
2,162,2032,1NB,1,NB,AM-Peak,3,Peak,AM,1.3,55,7592.330916271331,1,6,60,3600,1.6,6.3,0.2,0.05,6764.5,264.3,65.4,533.5,12.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,7069.586940767181,276.22024221225007,68.34961725569866,557.5614802127712,12.854744529741492,7984.5730249776425,10207.624095244373,1.27,1.3444651198445705,9642.260263664592,1.2,565.3638315797816,0.9446135725312241,2.5,1.6,0.0,6645.411724321149,259.6470276795151,64.24864022035673,524.1077914000049,12.083459857957001,7505.4986434789835,3.600000000311753,14.400000001247012,14.400000001247012,25.20000000218227,10.80000000093526,0.2357111249603696,0.13164004142322402,0.13174176297837945,0.11742980571713524,3.6,1.558764228803966e-10,1.558764228803966e-10,1.558764228803966e-10,0.0,0.0,1.558764228803966e-10,0.0,0.0,6.235056915215864e-10,6.235056915215864e-10,1.0911349601627762e-09,6.235056915215864e-10,6.235056915215864e-10,1.0911349601627762e-09,6.235056915215864e-10,6.235056915215864e-10,1.0911349601627762e-09,6.235056915215864e-10,6.235056915215864e-10,1.0911349601627762e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,25.2,52.54365156280587,210.17460625122348,210.17460625122348,367.8055609396411,25.440483423976886,58.54987269408294,1.6552685758710532,1.3321976019920994,3.06597947452867,-1.7337818725365708,1.1534583594427965,0.25392539854834745,0.36439523749748104,0.3816793639541716,1566.3974733645678,5503.189467402613,34.17994547914836,242.0402967331017,8.464229131593413,59.88538812410525,61.54587611893942,496.0156040938318,1670.5875240942487,6313.985500883395,18941.956502650184,1857.6455382482404,0.5160126495134001,5572.936614744722,7244.817599168138,7784.614725416351,23353.84417624905,30359.997429123767,9642.260263664592,28926.780790993773,37604.81502829191,1.27,4.680000000405279,18.720000001621116,18.720000001621116,32.760000002836954,4.671448208983475,10145.282026594281,1.3178418927344583e-06,1.3178418927344583e-06,1.3178418927344583e-06,1.3178418927344583e-06,0.0,0.0,0.0,0.0,30435.846077147155,7330.740175981005,639.848579425067,158.45036935715018,2016.2429018310581,30435.846079782845,21992.220527943016,1919.545738275201,475.35110807145054,6048.728705493175,4699.192420093703,102.53983643744508,25.39268739478024,184.63762835681825,5011.762572282746,16509.568402207842,726.1208901993051,179.65616437231574,1488.0468122814955,38.56423358922447,6108.950146121814,133.3017873686786,33.010493613214315,240.02891686386374,23953.719074932927,21462.438922870195,943.9571572590967,233.55301368401047,1934.4608559659441,50.13350366599182,-0.5654903716545928,161.95808969527326
3,163,2032,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,7711.430327663038,1,6,60,3600,1.6,6.3,0.2,0.05,6327.3,280.3,77.8,739.7,22.2,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,5696.075697900959,252.33670256217326,70.03851394697496,665.9060252773442,19.985282900036555,6704.342222587488,10357.261442599913,1.11,1.3431051053454435,8559.687663705972,1.2,1797.5737788939405,0.8264431395445486,2.5,1.6,0.0,5354.311156026902,237.19650040844286,65.83620311015646,625.9516637607035,18.78616592603436,6302.081689232239,1.7999999947126577,7.199999978850631,7.199999978850631,12.599999962988605,5.399999984137973,0.2424777546759099,0.1358528449292323,0.1358993772056587,0.12138391064851173,1.7999999947126577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999978850631,7.199999978850631,12.599999962988605,51.827553393733965,207.31021357493586,207.31021357493586,362.79287375613774,36.01908683087006,59.35690685731558,0.9280665988337856,1.31408464709085,2.1655185309459406,-0.8514338838550906,0.5231356989348855,0.227189906555704,0.4030452601415027,0.3697648333027932,1298.3013469495786,4397.77435095138,32.223819387744776,220.11288317442848,8.947099000255513,61.091414946719446,75.9804608242165,589.9255644531277,1415.4527261617955,5288.889496425692,5288.889496425692,1629.170025392229,0.4525472292756192,1629.170025392229,2117.9210330098977,6930.517638313742,6930.517638313742,9009.672929807864,8559.687663705972,8559.687663705972,11127.593962817762,1.11,2.339999993126455,9.35999997250582,9.35999997250582,16.379999951885186,2.5368044911519583,4667.944882562683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4667.944882562684,3038.025142938081,301.6149485833236,83.74484639639844,1244.5599446448805,4667.944882562683,3038.025142938081,301.6149485833236,83.74484639639844,1244.5599446448805,1298.3013469495786,32.223819387744776,8.947099000255513,75.9804608242165,1415.4527261617955,4397.77435095138,220.11288317442848,61.091414946719446,589.9255644531277,19.985282900036555,1687.7917510344523,41.89096520406821,11.631228700332167,98.77459907148145,6704.342222587488,5717.106656236794,286.146748126757,79.41883943073529,766.903233789066,25.980867770047524,-0.3931778332477107,164.89829950376114
4,164,2032,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,1,6,60,3600,1.6,6.3,0.2,0.05,4610.9,163.0,44.5,469.2,13.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.4532345693769955,0.708,4081.5071003789476,144.28542309782657,39.39080569235142,415.3295737269952,12.038538368898411,4692.551441265019,6578.05,1.07,1.2087846177070067,5822.802008642074,1.2,755.2479913579264,0.8851866447719421,2.5,1.6,0.0,3836.6166743562108,135.62829771195698,37.027357350810334,390.40979930337545,11.316226066764505,4410.998354789118,1.1599999979512785,4.639999991805114,4.639999991805114,8.11999998565895,3.4799999938538355,0.29888927735058485,0.17516847541269026,0.17517091584871625,0.15797255828090867,1.1599999979512785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.639999991805114,4.639999991805114,8.11999998565895,45.914071528092514,183.65628611237005,183.65628611237005,321.3985006966476,42.790329723184136,59.742580047565255,0.8745397791672347,1.3056014644479488,1.8228417613183052,-0.5172402968703564,0.283261960195541,0.16910737406480025,0.5221001982337811,0.30879242770141857,1146.723585269532,2934.783515109416,23.75780213302197,120.5276209648046,6.486116098599142,32.90468959375228,61.674034773890334,353.65553895310484,1238.641538275043,3453.909902989976,17269.549514949882,1407.3554851702556,0.3909320792139599,7036.777425851278,9147.810653606663,4415.446523471817,22077.232617359085,28700.40240256681,5822.802008642073,29114.010043210365,37848.213056173474,1.0699999999999998,1.507999997336662,6.031999989346648,6.031999989346648,10.555999981356635,1.5915212250471116,2562.7215879066557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12813.607939533282,1729.2591635323415,143.30706221328828,39.12425223765115,651.0311099233749,12813.607939533278,8646.295817661707,716.5353110664414,195.62126118825574,3255.1555496168744,5733.61792634766,118.78901066510984,32.43058049299571,308.37017386945166,6193.207691375217,14673.917575547079,602.638104824023,164.5234479687614,1768.2776947655243,60.19269184449206,7453.703304251958,154.4257138646428,42.15975464089443,400.88122603028717,23462.757206325095,19076.092848211203,783.42953627123,213.88048235938982,2298.7610031951817,78.25049939783968,-0.2837549083230795,174.92836576667202
5,165,2032,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6222.354095429336,1,6,60,3600,1.6,6.3,0.2,0.05,5829.7,143.2,48.2,523.6,13.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,5084.048588832809,124.883914767631,42.034948965082506,456.6286157285726,11.86048352541747,5719.456551819512,9107.769999999999,1.11,1.4637177281007137,6906.813045926563,1.2,2200.9569540734356,0.7583429364077666,2.5,1.6,0.0,4779.00567350284,117.39087988157313,39.51285202717755,429.2308987848582,11.14885451389242,5376.289158710341,1.7999991774004398,7.199996709601759,7.199996709601759,12.599994241803078,5.399997532201319,0.26177760033046227,0.1308444502423339,0.1308651838945758,0.11402687541475695,1.7999991774004398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199996709601759,7.199996709601759,12.599994241803078,54.34013590293452,217.36054361173808,217.36054361173808,380.3809513205416,37.793092488578466,59.69067137594072,0.9870522174052719,1.306736851873292,2.0638692116442323,-0.7571323597709403,0.45198117542369,0.2058046733898013,0.4494434066448596,0.34475191996533916,1251.0366371752382,3833.0119516575714,15.359945141568291,109.52396962606271,5.170856646735753,36.864092318346756,48.943858219905174,407.6847575086674,1320.5112971834474,4398.945254636065,4398.945254636065,1449.1952163057138,0.40255422675158714,1449.1952163057138,1883.953781197428,5457.617829620849,5457.617829620849,7094.903178507104,6906.813045926563,6906.813045926563,8978.856959704532,1.11,2.3399989306205717,9.359995722482287,9.359995722482287,16.379992514344,2.2842507756735286,3921.292641340032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3921.2926413400314,2927.4243931572137,143.76902082264178,48.399196095015746,801.7000312651608,3921.292641340032,2927.4243931572137,143.76902082264178,48.399196095015746,801.7000312651608,1251.0366371752382,15.359945141568291,5.170856646735753,48.943858219905174,1320.5112971834474,3833.0119516575714,109.52396962606271,36.864092318346756,407.6847575086674,11.86048352541747,1626.3476283278096,19.967928684038778,6.722113640756478,63.62701568587673,5719.456551819512,4982.915537154843,142.38116051388153,47.923320013850784,529.9901847612676,15.418628583042711,-0.3668509397297284,185.43644849588824
6,166,2032,1NB,1,NB,PM-Peak,3,Peak,PM,1.3,55,6903.664776832447,1,6,60,3600,1.6,6.3,0.2,0.05,6967.0,129.7,28.4,507.5,17.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,6835.251159578076,127.2473195632663,27.862944299126934,497.9029659086944,16.972849872355493,7505.237239221519,10277.1475,1.27,1.4886510038100922,8767.654266577209,1.2,1509.4932334227906,0.8531213808673281,2.5,1.6,0.0,6425.1360900033915,119.61248038947032,26.191167641179316,468.0287879541727,15.954478880014163,7054.9230048682275,3.6000000000799757,14.400000000319903,14.400000000319903,25.20000000055983,10.800000000239926,0.24948392315219278,0.12340920678511844,0.12345840090794835,0.10715125725537358,3.6,3.9987790856343963e-11,3.9987790856343963e-11,3.9987790856343963e-11,0.0,0.0,3.9987790856343963e-11,0.0,0.0,1.5995116342537585e-10,1.5995116342537585e-10,2.7991453599440774e-10,1.5995116342537585e-10,1.5995116342537585e-10,2.7991453599440774e-10,1.5995116342537585e-10,1.5995116342537585e-10,2.7991453599440774e-10,1.5995116342537585e-10,1.5995116342537585e-10,2.7991453599440774e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,25.2,55.49559603736172,221.9823841494469,221.9823841494469,388.469172261532,26.720159795661004,58.81238963945542,1.657315079152832,1.3262511603111635,2.919144219065118,-1.5928930587539543,1.0506736806183097,0.24429261833997987,0.3853430875534209,0.3703642941065994,1602.9681585207866,5232.28300105729,14.761281326465067,112.48603823680124,3.233519674892,24.629424624234932,50.14987306099825,447.75309284769617,1671.1128325831419,5834.124406638378,17502.373219915135,1798.404780207174,0.49955688339088167,5395.214340621522,7013.778642807979,6969.249486370036,20907.74845911011,27180.072996843144,8767.65426657721,26302.96279973163,34193.851639651126,1.2700000000000002,4.680000000103968,18.720000000415872,18.720000000415872,32.76000000072778,4.364509184648779,9481.663498311627,3.159589807769108e-07,3.159589807769108e-07,3.159589807769108e-07,3.159589807769108e-07,0.0,0.0,0.0,0.0,28444.990494302965,7501.8909820439385,276.33118643756484,60.53148831532297,1642.9098415148007,28444.990494934882,22505.672946131817,828.9935593126945,181.5944649459689,4928.729524544402,4808.90447556236,44.2838439793952,9.700559024676,150.44961918299475,5013.338497749426,15696.849003171868,337.4581147104037,73.8882738727048,1343.2592785430884,50.918549617066475,6251.575818231068,57.56899717321376,12.6107267320788,195.58450493789317,22515.71171766456,20405.90370412343,438.69554912352487,96.05475603451625,1746.237062106015,66.19411450218642,-0.5456712444526268,176.28302067302295
7,167,2032,1NB,1,NB,PM-Late,3,OP,PM,1.3,55,6705.849787444774,1,6,60,3600,1.6,6.3,0.2,0.05,3367.4,63.0,6.2,327.2,35.8,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.6185665787630628,0.592,3367.4,63.0,6.2,327.2,35.8,3799.6,4629.4,0.98,0.6903524753369112,4629.4,1.2,0.0,1.0,2.5,1.6,0.0,3165.3559999999998,59.22,5.827999999999999,307.568,33.651999999999994,3571.624,0.8,3.2,3.2,5.6000000000000005,2.4000000000000004,0.22535876253761203,0.10745817548900616,0.10745574150538167,0.09298671014481893,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,5.6000000000000005,58.2684003463658,233.0736013854632,233.0736013854632,407.87880242456066,53.20252283426618,59.9916205936204,0.7108162394105851,1.3001815791636515,1.4660958887792157,-0.1659143096155642,0.03353984941817828,0.03684602891129782,0.7808847136250787,0.18226925746362338,713.3407111510054,2654.0592888489946,6.3636731524589445,56.636326847541056,0.6262520614933643,5.573747938506636,28.599736465821668,298.60026353417834,748.9303728307794,3050.669627169221,9152.008881507663,816.6147335833512,0.22683742599537532,2449.8442007500535,3184.7974609750695,3812.785266416649,11438.355799249946,14869.86253902493,4629.4,13888.2,18054.66,0.6903524753369112,1.04,4.16,4.16,7.280000000000001,1.00569943634031,979.158509958269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937.4755298748073,741.8743395970456,26.47288031422921,2.6052085758123957,208.20608147118176,2937.475529874807,2225.623018791137,79.41864094268763,7.815625727437187,624.6182444135453,2140.022133453016,19.091019457376834,1.878756184480093,85.799209397465,2246.791118492338,7962.177866546984,169.90898054262317,16.72124381551991,895.800790602535,107.39999999999999,2782.028773488921,24.818325294589886,2.442383039824121,111.53897221670451,11398.8,10350.83122651108,220.88167470541012,21.73761696017588,1164.5410277832955,139.62,-0.11316743392119953,376.0977588044422
8,168,2032,1SB,1,SB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1675.7,48.2,19.8,308.7,34.6,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.621873218950784,0.708,1675.7,48.2,19.8,308.7,34.6,2087.0,2875.6000000000004,0.93,0.35945000000000005,2875.6000000000004,1.2,0.0,1.0,2.5,1.6,0.0,1575.158,45.308,18.612,290.178,32.524,1961.78,0.2,0.8,0.8,1.4000000000000001,0.6000000000000001,0.22113894380702406,0.07698681427085191,0.0756989576242992,0.13213574988588755,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.4000000000000001,110.56141176289421,442.24564705157684,442.24564705157684,773.9298823402596,54.959934208792255,59.999721908866384,0.0,1.3000060253358217,1.4192156727058436,-0.11920964737002193,0.0007236981668177219,0.0060341697596972745,0.0,0.9939658302403027,348.3287764491844,1327.3712235508156,3.4881185809837585,44.711881419016244,1.4089089993034567,18.391091000696544,38.342887630387075,270.35711236961293,391.56869165985864,1695.4313083401412,11868.019158380988,475.60000829106366,0.13211111341418436,3329.2000580374456,4327.960075448679,2399.9999917089362,16799.999941962553,21839.99992455132,2875.6,20129.199999999997,26167.96,0.35945,0.26,1.04,1.04,1.8200000000000003,0.3250091816512175,165.44244604759115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.097122333138,90.56548187678794,3.6276433242231088,1.465265359275595,69.78405548730449,1158.097122333138,633.9583731375155,25.393503269561762,10.256857514929166,488.4883884111314,2438.3014351442907,24.41683006688631,9.862362995124197,268.40021341270955,2740.980841619011,9291.598564855709,312.9831699331137,128.7376370048758,1892.4997865872906,242.20000000000002,3169.791865687578,31.741879086952203,12.821071893661458,348.92027743652244,14609.0,12079.078134312422,406.8781209130478,167.35892810633857,2460.249722563478,314.86,-0.08399685098089398,130.86189200424553
9,169,2032,1SB,1,SB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,3753.9,146.9,65.4,330.9,17.3,1.2348449699773276,3.6,1.8,0.9,0.36683785766691124,0.36683785766691124,3.449927929189274,0.715,3753.9,146.9,65.4,330.9,17.3,4314.400000000001,5329.249999999999,1.03,0.5124278846153846,5329.249999999999,1.2,0.0,1.0,2.5,1.6,0.0,3528.6659999999997,138.08599999999998,61.476,311.04599999999994,16.262,4055.536,0.7980123784086817,3.1920495136347267,3.1920495136347267,5.586086648860771,2.394037135226045,0.13575700640639446,0.06661979897392135,0.06662670526820653,0.058221618823305316,0.7980123784086817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1920495136347267,3.1920495136347267,5.586086648860771,69.11091609520315,276.4436643808126,276.4436643808126,483.77641266642206,54.49735307966024,59.999162007379894,0.6251549278174284,1.3000181567603561,1.4312621731551862,-0.13124401639483008,0.00915624848135763,0.011960272190358017,0.8166033406655012,0.17143638714414078,479.0411327680263,3274.858867231974,9.199261561112904,137.7007384388871,4.095943333068265,61.30405666693174,18.10960164851382,312.79039835148615,510.44593931072126,3803.9540606892792,3803.9540606892792,566.6079499490206,0.15739109720806127,566.6079499490206,736.5903349337268,4762.642050050979,4762.642050050979,6191.434665066274,5329.25,5329.25,6928.025000000001,0.5124278846153846,1.0374160919312863,4.149664367725145,4.149664367725145,7.261912643519003,1.0302393838748507,683.6459630219658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.6459630219659,496.96497983054223,38.173847909533805,16.996790101454742,131.51034518043508,683.6459630219658,496.96497983054223,38.173847909533805,16.996790101454742,131.51034518043508,479.0411327680263,9.199261561112904,4.095943333068265,18.10960164851382,510.44593931072126,3274.858867231974,137.7007384388871,61.30405666693174,312.79039835148615,17.3,622.7534725984342,11.959040029446776,5.324726332988744,23.542482143067968,4314.400000000001,4257.316527401566,179.01095997055324,79.69527366701126,406.627517856932,22.490000000000002,-0.09169809616745862,474.26897793665137
