,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,215735326.267,,215735326.267,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,83841534.257,,79373927.167,,1305744.075,,380441.978,,2781421.037,,21203.875,,1.119,,0.893,,3.573,,3.573,,6.253,,0.143,,181797.189,
1,2026.0,240267983.192,0.114,240236440.732,0.114,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,89249465.087,0.065,84428647.275,0.064,1397793.618,0.07,407974.119,0.072,3011971.5,0.083,22734.103,0.072,1.163,0.039,0.928,0.039,3.711,0.039,3.711,0.039,6.494,0.039,0.149,0.042,187012.734,0.029
2,2026.9999999999995,267590406.941,0.114,267520152.837,0.114,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,95006217.252,0.065,89805263.958,0.064,1496332.273,0.07,437498.729,0.072,3261632.164,0.083,24374.764,0.072,1.208,0.039,0.964,0.039,3.855,0.039,3.855,0.039,6.745,0.039,0.156,0.047,192377.907,0.029
3,2027.999999999999,298019839.91,0.114,297902482.887,0.114,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,101134290.359,0.065,95524276.356,0.064,1601817.494,0.07,469160.001,0.072,3531987.064,0.083,26133.826,0.072,1.255,0.039,1.001,0.038,4.004,0.039,4.004,0.039,7.006,0.039,0.162,0.038,197896.999,0.029
4,2029.0,331909600.182,0.114,331735341.69,0.114,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,107657635.282,0.065,101607489.039,0.064,1714738.985,0.07,503112.562,0.072,3824751.534,0.083,28019.836,0.072,1.303,0.038,1.04,0.039,4.158,0.038,4.158,0.038,7.277,0.039,0.169,0.043,203574.429,0.029
5,2030.0,369653183.916,0.114,369410606.651,0.114,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,114601747.769,0.065,108078095.147,0.064,1835620.973,0.07,539522.231,0.072,4141783.089,0.083,30041.954,0.072,1.354,0.039,1.08,0.038,4.319,0.039,4.319,0.039,7.559,0.039,0.176,0.041,209414.736,0.029
6,2031.0000000000007,411688834.262,0.114,411364660.79,0.114,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,121993768.09,0.065,114960764.812,0.064,1965024.641,0.07,578566.824,0.072,4485093.217,0.083,32210.003,0.072,1.406,0.038,1.122,0.039,4.486,0.039,4.486,0.039,7.851,0.039,0.184,0.045,215422.596,0.029
7,2032.0000000000005,458504629.828,0.114,458083447.253,0.114,210591.287,inf,210591.287,inf,0.0,,0.0,,210591.287,inf,210591.287,inf,0.0,,0.0,,129862587.111,0.065,122281739.22,0.064,2103550.73,0.07,620437.029,0.072,4856860.132,0.083,34534.514,0.072,1.461,0.039,1.165,0.038,4.66,0.039,4.66,0.039,8.154,0.039,0.191,0.038,221602.813,0.029
8,2033.0000000000007,498199345.362,0.087,491264252.658,0.072,411415.165,0.954,411415.165,0.954,0.0,,0.0,,411415.165,0.954,411415.165,0.954,0.0,,0.0,,133134384.93,0.025,125290595.985,0.025,2155075.413,0.024,636268.945,0.026,5048797.414,0.04,35472.891,0.027,1.545,0.057,1.233,0.058,4.931,0.058,4.931,0.058,8.629,0.058,0.194,0.016,225038.282,0.016
9,2034.0000000000002,541330602.949,0.087,526848475.723,0.072,803748.533,0.954,803748.533,0.954,0.0,,0.0,,803748.533,0.954,803748.533,0.954,0.0,,0.0,,136488613.426,0.025,128373488.49,0.025,2207862.149,0.024,652504.849,0.026,5248319.827,0.04,36436.764,0.027,1.635,0.058,1.304,0.058,5.218,0.058,5.218,0.058,9.131,0.058,0.196,0.01,228527.009,0.016
