,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollShare2x,devTollShare3x,devTollShare4x,tdotTollShare2x,tdotTollShare3x,tdotTollShare4x,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,devTollMediumA2x,devTollMediumB2x,devTollHeavyA2x,tdotTollMediumA2x,tdotTollMediumB2x,tdotTollHeavyA2x,devTollMediumA3x,devTollMediumB3x,devTollHeavyA3x,tdotTollMediumA3x,tdotTollMediumB3x,tdotTollHeavyA3x,devTollMediumA4x,devTollMediumB4x,devTollHeavyA4x,tdotTollMediumA4x,tdotTollMediumB4x,tdotTollHeavyA4x,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,DevRevenuePerDay2x,TDOTRevenuePerDay2x,DevRevenuePerDay3x,TDOTRevenuePerDay3x,DevRevenuePerDay4x,TDOTRevenuePerDay4x,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1397.0,37.0,10.0,248.0,30.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.286,0.708,1397.0,37.0,10.0,248.0,30.0,1722.0,2360.25,0.9,0.29503125,2360.25,1.2,0.0,1.0,2.5,1.6,0.0,1313.1799999999998,34.78,9.399999999999999,233.11999999999998,28.2,1618.6799999999998,0.2,0.8,0.8,1.4000000000000001,0.6000000000000001,0.022391464481039566,0.010832599865521032,0.010770596398732431,0.010139868885740649,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.4000000000000001,110.8464351937101,443.3857407748404,443.3857407748404,775.9250463559707,54.96709741951644,59.99999999996716,0.0,1.3000000000007115,1.419030723137758,-0.11903072313704643,0.0005942334691577949,0.004967470718622401,0.0,0.9950325292813776,29.404023327211533,1367.5959766727885,0.3767578233228215,36.62324217667718,0.10124360614808484,9.898756393851915,2.3638062346438597,245.63619376535615,32.2458309913263,1689.754169008674,11828.279183060717,37.8099459621881,0.010502762767274474,264.6696217353167,344.0705082559117,2322.440054037812,16257.080378264684,21134.20449174409,2360.25,16521.75,21478.275,0.29503125,0.26,1.04,1.04,1.8200000000000003,0.2968611520694046,12.444294898776565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.11006429143598,7.6450460650749985,0.39182813625573437,0.10529335039400824,4.302127347051825,87.11006429143596,53.51532245552499,2.7427969537901404,0.7370534527580577,30.114891429362775,205.82816329048075,2.6373047632597504,0.7087052430365939,16.546643642507018,225.7208169392841,9573.17183670952,256.36269523674025,69.29129475696341,1719.453356357493,210.0,267.576612277625,3.4284961922376755,0.9213168159475721,21.510636735259123,12054.0,12445.123387722377,333.2715038077623,90.07868318405244,2235.289363264741,273.0,-0.08388170967422462,131.05860057691902
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,5278.0,151.0,79.0,257.0,12.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,5278.0,151.0,79.0,257.0,12.0,5777.0,6717.5,1.0,0.6459134615384615,6717.5,1.2,0.0,1.0,2.5,1.6,0.0,4961.32,141.94,74.25999999999999,241.57999999999998,11.28,5430.38,0.796949950935752,3.187799803743008,3.187799803743008,5.578649656550264,2.390849852807256,0.12468068311434156,0.060145834651773575,0.06015208549126488,0.052411731901973256,0.796949950935752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.187799803743008,3.187799803743008,5.578649656550264,52.0928499925822,208.3713999703288,208.3713999703288,364.6499499480754,52.9961661631098,59.9970385557206,0.8050237339062046,1.3000641677932094,1.471804578465813,-0.17174041067260348,0.03753593219879645,0.03700673307454218,0.7936741328697681,0.16931913405568957,618.580766748845,4659.419233251155,8.537099770472741,142.46290022952726,4.466893868581329,74.53310613141868,12.661626192878698,244.33837380712131,644.2463865807778,5132.753613419222,5132.753613419222,692.3266278348798,0.1923129521763555,692.3266278348798,900.0246161853438,6025.17337216512,6025.17337216512,7832.725383814656,6717.5,6717.5,8732.75,0.6459134615384615,1.0360349362164778,4.144139744865911,4.144139744865911,7.252244553515344,0.9391854254771969,786.5868617009188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.5868617009188,640.8712852233796,35.378934464701736,18.511432416885732,91.82520959595176,786.5868617009188,640.8712852233796,35.378934464701736,18.511432416885732,91.82520959595176,618.580766748845,8.537099770472741,4.466893868581329,12.661626192878698,644.2463865807778,4659.419233251155,142.46290022952726,74.53310613141868,244.33837380712131,12.0,804.1549967734985,11.098229701614564,5.806962029155728,16.46011405074231,5777.0,6057.2450032265015,185.20177029838544,96.89303797084429,317.63988594925775,15.600000000000001,-0.11668696590930783,361.95381115916325
2,2,2025,1NB,1,NB,AM-Peak,3,Peak,AM,1.3,55,7592.330916271331,1,6,60,3600,1.6,6.3,0.2,0.05,5478.0,214.0,53.0,432.0,10.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,6060.747418343368,236.76523321020093,58.63811850533014,477.95598479816266,11.063795944401914,6845.170550801464,8340.16597778877,1.2,1.0984987442940262,8340.16597778877,1.2,0.0,1.0,2.5,1.6,0.0,5697.102573242765,222.55931921758886,55.11983139501033,449.2786257102729,10.399968187737798,6434.460317753375,1.5999998425620952,6.399999370248381,6.399999370248381,11.199998897934666,4.7999995276862855,0.2336045797891288,0.12966864745396173,0.12971034329228154,0.11573901973635638,1.5999998425620952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399999370248381,6.399999370248381,11.199998897934666,38.421640791229024,153.6865631649161,153.6865631649161,268.9514855386032,36.7719929326142,59.45633332690112,1.4595529308335289,1.3118871554211495,2.1211795657346446,-0.8092924103134951,0.49209842328697856,0.17823558365299028,0.5286427596372066,0.29312165670980306,1330.8692526379405,4729.878165705428,28.85896590121926,207.90626730898168,7.149612252459468,51.48850625287067,51.999067728204345,425.9569170699583,1418.8768985198237,5426.293652281641,16278.880956844921,1585.8900457451698,0.4405250127069916,4757.670137235509,6184.971178406162,6754.275932043603,20262.82779613081,26341.676134970054,8340.165977788773,25020.497933366318,32526.647313376216,1.0984987442940264,2.079999795330724,8.319999181322896,8.319999181322896,14.559998567315066,2.073636533597374,3824.9054654824527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11474.716396447357,2768.2077730988694,240.10657267196962,59.48476808723891,757.1063516243744,11474.716396447358,8304.623319296608,720.3197180159088,178.45430426171674,2271.319054873123,3992.6077579138214,86.57689770365778,21.448836757378402,155.99720318461303,4256.63069555947,14189.634497116283,623.718801926945,154.465518758612,1277.870751209875,33.19138783320574,5190.390085287968,112.54996701475511,27.883487784591924,202.79636413999694,20535.51165240439,18446.52484625117,810.8344425050286,200.8051743861956,1661.2319765728375,43.148804183167464,-0.38152942041623267,154.20877068586339
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,7711.430327663038,1,6,60,3600,1.6,6.3,0.2,0.05,5124.0,227.0,63.0,599.0,18.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,5337.926979593783,236.47724909597747,65.63024974910388,624.0082476144955,18.751499928315393,6282.7942259816755,8466.522710552186,1.05,1.09791858978229,8097.00184404619,1.2,369.5208665059963,0.9563550610871867,2.5,1.6,0.0,5017.651360818155,222.28861415021882,61.692434764157646,586.5677527576257,17.62640993261647,5905.826572422775,1.2599999371508877,5.039999748603551,5.039999748603551,8.819999560056214,3.779999811452663,0.22395391435078085,0.12277199691122917,0.12277004746382938,0.10944619353900732,1.2599999371508877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.039999748603551,5.039999748603551,8.819999560056214,39.35491881165503,157.41967524662013,157.41967524662013,275.4844316815852,38.61410869903482,59.73697843739206,0.9871556177786407,1.3057238923081569,2.0199870624477123,-0.7142631701395554,0.4212636709861259,0.198458167503571,0.46505100828325824,0.33649082421317084,1123.7226631027481,4214.204316491035,27.290817049852077,209.1864320461254,7.573983144154832,58.05626660494905,64.1976077920517,559.8106398224438,1222.7850710888067,5060.0091548928685,5060.0091548928685,1412.1936870124223,0.3922760241701173,1412.1936870124223,1835.851793116149,6684.808157033768,6684.808157033768,8690.2506041439,8097.00184404619,8097.00184404619,10526.102397260049,1.05,1.637999918296154,6.551999673184616,6.551999673184616,11.46599942807308,1.7646862008697517,2805.1815240539427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.181524053942,1840.657630349838,178.80942439157195,49.62473508520825,736.0897342273246,2805.1815240539427,1840.657630349838,178.80942439157195,49.62473508520825,736.0897342273246,1123.7226631027481,27.290817049852077,7.573983144154832,64.1976077920517,1222.7850710888067,4214.204316491035,209.1864320461254,58.05626660494905,559.8106398224438,18.751499928315393,1460.8394620335725,35.4780621648077,9.846178087401283,83.45689012966722,6282.7942259816755,5478.465611438345,271.942361659963,75.47314658643377,727.7538317691769,24.37694990681001,-0.3535978934805897,137.59633592554817
4,4,2025,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,1,6,60,3600,1.6,6.3,0.2,0.05,3734.0,132.0,36.0,380.0,11.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.133,0.708,3734.0,132.0,36.0,380.0,11.0,4293.0,5369.0,1.02,0.9866091945894178,5369.0,1.2,0.0,1.0,2.5,1.6,0.0,3509.9599999999996,124.08,33.839999999999996,357.2,10.34,4035.4199999999996,0.8,3.2,3.2,5.6000000000000005,2.4000000000000004,0.2762807026545489,0.15859501429634618,0.15859712342848165,0.14249654971238132,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,5.6000000000000005,34.935208317546426,139.7408332701857,139.7408332701857,244.546458222825,45.65432379254368,59.90966345136691,0.9084919866946215,1.3019602432472075,1.7084909712919472,-0.40653072804473966,0.20321640717709027,0.13385006633248464,0.5983853093891067,0.26776462427840864,969.7342150893603,2764.26578491064,19.678469373890632,112.32153062610936,5.366926656819818,30.633073343180182,50.89976755726261,329.10023244273737,1045.6793786773333,3247.3206213226667,16236.603106613333,1191.3083568456018,0.33091898801266717,5956.541784228009,7743.504319496413,4177.691643154398,20888.45821577199,27154.995680503587,5369.0,26845.0,34898.5,0.9866091945894178,1.04,4.16,4.16,7.280000000000001,1.0911292323021926,1483.2627389975619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7416.313694987811,1008.5235836929347,81.86243259538503,22.326414892370444,370.55030781687185,7416.31369498781,5042.6179184646735,409.31216297692515,111.63207446185223,1852.7515390843591,4848.671075446801,98.39234686945316,26.83463328409909,254.49883778631303,5228.396893386666,13821.3289245532,561.6076531305469,153.16536671590092,1645.5011622136867,55.0,6303.272398080842,127.91005093028912,34.88502326932882,330.84848912220696,21465.0,17967.72760191916,730.0899490697109,199.1149767306712,2139.1515108777926,71.5,-0.2379472498688854,153.4939321810201
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6222.354095429336,1,6,60,3600,1.6,6.3,0.2,0.05,4721.0,116.0,39.0,424.0,11.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,4780.4285898326925,117.4602237705131,39.49093730215527,429.33736964394444,11.13846949547969,5377.8555900447855,7420.0875,1.05,1.1924887890019735,6533.471800200803,1.2,886.6156997991966,0.8805114225675645,2.5,1.6,0.0,4493.60287444273,110.4126103442823,37.12148106402595,403.57712746530774,10.470161325750908,5055.1842546420985,0.9999889166283022,3.999955666513209,3.999955666513209,6.999922416398116,2.9999667498849067,0.27209944919269347,0.13732208295258277,0.13733126862538308,0.12002998177193994,0.9999889166283022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999955666513209,3.999955666513209,6.999922416398116,38.169947358568876,152.6797894342755,152.6797894342755,267.1896315099822,42.09204914525684,59.723189788203285,0.885463324949121,1.3060253525742995,1.8530815577741828,-0.5470562051998833,0.30442981771465527,0.1752669518481268,0.5097807406060437,0.31495230754582954,1222.706867026571,3557.7217228061218,15.162089636708734,102.29813413380437,5.097940087775819,34.39299721437945,48.44135525323277,380.8960143907117,1291.4082520042884,4086.447338040497,4086.447338040497,1423.7460145286018,0.39548500403572273,1423.7460145286018,1850.8698188871824,5109.725785672202,5109.725785672202,6642.643521373862,6533.471800200803,6533.471800200803,8493.513340261045,1.05,1.299985591616793,5.199942366467172,5.199942366467172,9.09989914131755,1.272113804430311,2135.663743888835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.663743888835,1589.5013099054524,78.8419922660946,26.508994644136855,440.8114470731513,2135.663743888835,1589.5013099054524,78.8419922660946,26.508994644136855,440.8114470731513,1222.706867026571,15.162089636708734,5.097940087775819,48.44135525323277,1291.4082520042884,3557.7217228061218,102.29813413380437,34.39299721437945,380.8960143907117,11.13846949547969,1589.5189271345423,19.710716527721356,6.627322114108565,62.97376182920261,5377.8555900447855,4625.038239647958,132.98757437394568,44.710896378693285,495.1648187079252,14.480010344123597,-0.29521431633963074,142.5797473013002
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,1.3,55,6903.664776832447,1,6,60,3600,1.6,6.3,0.2,0.05,5642.0,105.0,23.0,411.0,14.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,6430.124089292393,119.66732176102468,26.212841909557792,468.41208803601097,15.955642901469957,7060.371983900457,8359.349999999999,1.2,1.2108568811238618,8284.397732198937,1.2,74.95226780106168,0.9910337205881963,2.5,1.6,0.0,6044.31664393485,112.4872824553632,24.64007139498432,440.30736275385027,14.99830432738176,6636.749664866429,1.5999995080851095,6.399998032340438,6.399998032340438,11.199996556595767,4.7999985242553285,0.2809638322566112,0.14359431385172852,0.14361796317874465,0.12564596080811594,1.5999995080851095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399998032340438,6.399998032340438,11.199996556595767,37.53635090370102,150.14540361480408,150.14540361480408,262.75445632590714,34.059775291222586,58.233797892499034,1.2650598382288365,1.339428352998543,2.290091444616814,-0.950663091618271,0.6103367385044972,0.21596739281180738,0.4476408804796133,0.33639172670857914,1698.2343676523542,4731.889721640039,16.15253414122346,103.51478761980123,3.5387568663264974,22.674085043231294,55.322841644095156,413.0892463919158,1773.2485003039994,5287.123483596459,15861.370450789376,1918.353942855402,0.5328760952376117,5755.061828566206,7481.580377136068,6366.043789343535,19098.131368030605,24827.570778439785,8284.397732198937,24853.19319659681,32309.151155575855,1.2,2.0799993605106426,8.31999744204257,8.31999744204257,14.559995523574498,1.952808087462565,4501.65821621687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13504.974648650608,3532.326398714092,134.38904273748446,29.44244807584704,805.5003266894463,13504.974648650608,10596.979196142276,403.16712821245335,88.32734422754112,2416.500980068339,5094.703102957063,48.45760242367038,10.616270598979492,165.96852493228548,5319.745500911998,14195.669164920117,310.5443628594037,68.02225512969389,1239.2677391757475,47.86692870440987,6623.114033844182,62.9948831507715,13.80115177867334,215.75908241197112,21181.115951701373,18454.369914396153,403.7076717172248,88.42893166860206,1611.0480609284718,62.227007315732834,-0.4151201445920162,131.27675065011434
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,1.3,55,6705.849787444774,1,6,60,3600,1.6,6.3,0.2,0.05,2727.0,51.0,5.0,265.0,29.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,2727.0,51.0,5.0,265.0,29.0,3077.0,3763.0,0.95,0.5611518479053003,3763.0,1.2,0.0,1.0,2.5,1.6,0.0,2563.3799999999997,47.94,4.699999999999999,249.1,27.259999999999998,2892.3799999999997,0.556110431057376,2.224441724229504,2.224441724229504,3.892773017401632,1.6683312931721281,0.18975255838534452,0.08620015823084815,0.08620329395838368,0.07393930483257675,0.556110431057376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.224441724229504,2.224441724229504,3.892773017401632,44.84031496553845,179.3612598621538,179.3612598621538,313.88220475876915,54.34752994571387,59.99927160217096,0.6751436092994936,1.3000157821445573,1.4352078204457843,-0.13519203830122706,0.011918201584776264,0.014494552499306779,0.8210890225302966,0.1644164249703966,486.40791311382435,2240.592086886176,4.13243558558686,46.86756441441314,0.40515548160440323,4.594844518395597,18.41828083379487,246.58171916620512,509.3637850148105,2567.63621498519,7702.908644955569,554.1411310499849,0.15392809195832913,1662.4233931499548,2161.1504110949413,3208.858868950015,9626.576606850045,12514.54958890506,3763.0,11289.0,14675.7,0.5611518479053003,0.7229435603745888,2.8917742414983554,2.8917742414983554,5.060604922622122,0.691624175392206,457.97480012117757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.9244003635329,351.64546850088186,11.950070781051254,1.1716181855054741,93.20764265373901,1373.9244003635326,1054.9364055026456,35.850212343153764,3.5148545565164224,279.62292796121704,1459.223739341473,12.39730675676058,1.2154664448132098,55.254842501384616,1528.0913550444316,6721.7762606585275,140.6026932432394,13.78453355518679,739.7451574986153,87.0,1896.990861143915,16.116498783788753,1.5801063782571727,71.8312952518,9231.0,8738.309138856086,182.78350121621122,17.91989362174283,961.6687047482,113.10000000000001,-0.09419683782048761,320.8518354152341
8,8,2025,1SB,1,SB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1357.0,39.0,16.0,250.0,28.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.286,0.708,1357.0,39.0,16.0,250.0,28.0,1690.0,2342.25,0.9,0.29278125,2342.25,1.2,0.0,1.0,2.5,1.6,0.0,1275.58,36.66,15.04,235.0,26.32,1588.6,0.2,0.8,0.8,1.4000000000000001,0.6000000000000001,0.023248403598191966,0.013151582367012407,0.013134006206771225,0.011439420266524112,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.4000000000000001,110.91336881595863,443.65347526383454,443.65347526383454,776.3935817117106,54.96874238695203,59.99999999995612,0.0,1.3000000000009508,1.4189882579251971,-0.11898825792424628,0.0005645078203652149,0.004721829870260936,0.0,0.9952781701297391,29.655198661781707,1327.3448013382183,0.4821370095746748,38.51786299042533,0.1975354533498392,15.80246454665016,2.6882637626331665,247.31173623736683,33.02313488733939,1656.9768651126606,11598.838055788623,39.58908922272362,0.01099696922853434,277.1236245590654,360.260711926785,2302.6609107772765,16118.626375440936,20954.214288073217,2342.25,16395.75,21314.475000000002,0.29278125,0.26,1.04,1.04,1.8200000000000003,0.31003558581918966,13.309851061497104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16895743047974,7.7103516520632445,0.5014224899576618,0.2054368714838328,4.892640047992364,93.16895743047974,53.97246156444271,3.5099574297036327,1.4380581003868296,34.248480335946546,207.58639063247196,3.374959067022724,1.3827481734488745,18.817846338432165,231.16194421137573,9291.413609367528,269.6250409329773,110.61725182655113,1731.1821536615678,196.0,269.86230782221355,4.387446787129541,1.797572625483537,24.463200239961814,11830.0,12078.837692177787,350.5125532128705,143.80242737451647,2250.5367997600383,254.8,-0.08385429355012945,131.10537352292124
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,3040.0,119.0,53.0,268.0,14.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,3040.0,119.0,53.0,268.0,14.0,3494.0,4359.0,1.0,0.4191346153846154,4359.0,1.2,0.0,1.0,2.5,1.6,0.0,2857.6,111.86,49.82,251.92,13.16,3284.3599999999997,0.470728375017188,1.882913500068752,1.882913500068752,3.295098625120316,1.412185125051564,0.13907760747814507,0.06855980984215179,0.06856339262968043,0.05998189727691664,0.470728375017188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.882913500068752,1.882913500068752,3.295098625120316,49.660222163145946,198.64088865258378,198.64088865258378,347.62155514202163,54.85077687039742,59.99973047584129,0.5037216107453768,1.3000058397163379,1.4220400229571963,-0.12203418324085846,0.002700743342764728,0.004297422625665005,0.8015217931955033,0.19418078417883175,397.42817112954737,2642.5718288704525,7.6691003289431,111.3308996710569,3.4158282208106794,49.58417177918932,15.11063956200084,252.88936043799916,423.62373924130196,3070.3762607586978,3070.3762607586978,473.24364332737275,0.13145656759093688,473.24364332737275,615.2167363255846,3885.756356672627,3885.756356672627,5051.483263674416,4359.0,4359.0,5666.700000000001,0.4191346153846154,0.6119468875223444,2.4477875500893775,2.4477875500893775,4.283628212656411,0.6084260690926881,335.06684437321064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0668443732107,243.20493233642415,18.772328305573268,8.361221792144331,64.7283619390689,335.06684437321064,243.20493233642415,18.772328305573268,8.361221792144331,64.7283619390689,397.42817112954737,7.6691003289431,3.4158282208106794,15.11063956200084,423.62373924130196,2642.5718288704525,111.3308996710569,49.58417177918932,252.88936043799916,14.0,516.6566224684116,9.96983042762603,4.440576687053883,19.643831430601093,3494.0,3435.3433775315884,144.73016957237397,64.45942331294611,328.75616856939894,18.2,-0.08581627891673743,300.8731838592537
