,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,215765219.812,,215765219.812,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,83168421.934,,78700026.184,,1308709.239,,381151.605,,2778534.906,,20863.159,,1.138,,0.906,,3.623,,3.623,,6.34,,0.141,,183079.804,
1,2026.0,240654948.816,0.115,240624508.438,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,88677209.638,0.066,83853878.409,0.065,1401126.181,0.071,408740.572,0.072,3010807.574,0.084,22435.47,0.075,1.18,0.037,0.94,0.038,3.759,0.038,3.759,0.038,6.578,0.038,0.147,0.043,188316.189,0.029
2,2026.9999999999995,268415847.745,0.115,268347948.345,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,94550880.327,0.066,89345242.501,0.065,1500069.318,0.071,438326.517,0.072,3262497.163,0.084,24126.275,0.075,1.224,0.037,0.975,0.037,3.9,0.038,3.9,0.038,6.825,0.038,0.154,0.048,193702.344,0.029
3,2027.999999999999,299379122.161,0.115,299265531.382,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100813602.583,0.066,95196221.2,0.065,1605999.509,0.071,470053.986,0.072,3535226.838,0.084,25944.505,0.075,1.27,0.038,1.012,0.038,4.046,0.037,4.046,0.037,7.081,0.038,0.161,0.045,199242.552,0.029
4,2029.0,333914184.052,0.115,333745269.25,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,107491145.831,0.066,101430364.697,0.065,1719410.158,0.071,504077.991,0.072,3830755.453,0.084,27899.761,0.075,1.317,0.037,1.049,0.037,4.198,0.038,4.198,0.038,7.346,0.037,0.169,0.05,204941.218,0.029
5,2030.0,372433059.146,0.115,372197573.949,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,114610986.376,0.066,108072765.42,0.065,1840829.51,0.071,540564.762,0.072,4150988.892,0.084,30002.372,0.075,1.366,0.037,1.089,0.038,4.355,0.037,4.355,0.037,7.622,0.038,0.176,0.041,210802.877,0.029
6,2031.0000000000007,415395302.654,0.115,415080142.902,0.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,122202420.455,0.066,115150159.031,0.065,1970823.117,0.071,579692.561,0.072,4497992.367,0.084,32263.441,0.075,1.417,0.037,1.13,0.038,4.519,0.038,4.519,0.038,7.908,0.038,0.184,0.045,216832.188,0.029
7,2032.0000000000005,463313482.06,0.115,462903406.93,0.115,205037.565,inf,205037.565,inf,0.0,,0.0,,205037.565,inf,205037.565,inf,0.0,,0.0,,130296684.788,0.066,122691032.041,0.065,2109996.465,0.071,621652.555,0.072,4874003.727,0.084,34694.912,0.075,1.469,0.037,1.172,0.037,4.688,0.037,4.688,0.037,8.205,0.038,0.193,0.049,223033.947,0.029
8,2033.0000000000007,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,0.0,,0.0,-1.0,0.0,-1.0,0.0,,0.0,,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
9,2034.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
10,2034.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
11,2035.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
12,2036.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
13,2038.0000000000005,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
14,2038.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
15,2039.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
16,2041.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
17,2041.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
18,2043.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
19,2044.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
20,2044.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
21,2045.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
22,2046.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34694.912,0.0,1.469,0.0,1.172,0.0,4.688,0.0,4.688,0.0,8.205,0.0,0.193,0.0,223033.947,0.0
