,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,122484067.204,,122484067.204,,0.0,,0.0,,63340845.91,,20055.622,,0.904,,0.14,,175788.184,
1,2026.0,137568582.267,0.123,137568582.226,0.123,0.0,,0.0,,66315400.294,0.047,21055.56,0.05,0.968,0.071,0.143,0.021,180555.654,0.027
2,2026.9999999999995,154510829.522,0.123,154510829.431,0.123,0.0,,0.0,,69429642.958,0.047,22105.353,0.05,1.035,0.069,0.147,0.028,185452.42,0.027
3,2027.999999999999,173539597.823,0.123,173539597.669,0.123,0.0,,0.0,,72690133.813,0.047,23207.487,0.05,1.107,0.07,0.15,0.02,190481.988,0.027
4,2029.0,194911852.494,0.123,194911852.263,0.123,0.0,,0.0,,76103740.832,0.047,24364.572,0.05,1.185,0.07,0.153,0.02,195647.961,0.027
5,2030.0,218916205.403,0.123,218916205.079,0.123,0.0,,0.0,,79677654.515,0.047,25579.346,0.05,1.267,0.069,0.156,0.02,200954.039,0.027
6,2031.0000000000007,245876812.389,0.123,245876811.953,0.123,0.0,,0.0,,83419403.037,0.047,26854.687,0.05,1.356,0.07,0.16,0.026,206404.019,0.027
7,2032.0000000000005,276157750.676,0.123,276157750.104,0.123,0.286,inf,0.286,inf,87336868.101,0.047,28193.615,0.05,1.451,0.07,0.163,0.019,212001.807,0.027
8,2033.0000000000007,301945496.642,0.093,298652057.489,0.081,2.791,8.759,2.791,8.759,89734599.649,0.027,28952.631,0.027,1.544,0.064,0.166,0.018,214987.547,0.014
9,2034.0000000000002,330141314.952,0.093,322978628.732,0.081,27.266,8.769,27.266,8.769,92198158.111,0.027,29732.081,0.027,1.644,0.065,0.168,0.012,218015.337,0.014
10,2034.9999999999993,360970072.581,0.093,349286710.075,0.081,266.345,8.768,266.345,8.768,94729350.689,0.027,30532.515,0.027,1.751,0.065,0.17,0.012,221085.769,0.014
11,2035.9999999999998,394677634.691,0.093,377737704.548,0.081,2601.784,8.768,2601.784,8.768,97330034.198,0.027,31354.498,0.027,1.864,0.065,0.172,0.012,224199.444,0.014
12,2036.999999999999,431532825.454,0.093,408506162.191,0.081,25415.417,8.768,25415.417,8.768,100002116.431,0.027,32198.61,0.027,1.985,0.065,0.174,0.012,227356.97,0.014
13,2038.0000000000005,471829571.976,0.093,441780850.942,0.081,248269.428,8.768,248269.428,8.768,102747557.555,0.027,33065.446,0.027,2.113,0.064,0.176,0.011,230558.965,0.014
14,2038.999999999999,515889248.416,0.093,477765914.747,0.081,2425209.456,8.768,2425209.457,8.768,105568371.554,0.027,33955.62,0.027,2.25,0.065,0.178,0.011,233806.056,0.014
15,2039.9999999999998,564063239.015,0.093,516682126.007,0.081,23690556.502,8.768,23690556.506,8.768,108466627.702,0.027,34869.758,0.027,2.396,0.065,0.181,0.017,237098.878,0.014
16,2041.0000000000002,610060559.457,0.082,552387244.76,0.069,27465308.324,0.159,27943473.405,0.18,111354888.68,0.027,35902.699,0.03,2.516,0.05,0.184,0.017,240017.575,0.012
17,2041.9999999999995,659808795.296,0.082,590559751.952,0.069,31841512.936,0.159,32959871.826,0.18,114320058.581,0.027,36966.239,0.03,2.643,0.05,0.187,0.016,242972.2,0.012
18,2043.0,713613820.139,0.082,631370155.511,0.069,36915003.25,0.159,38876811.592,0.18,117364185.344,0.027,38061.284,0.03,2.777,0.051,0.19,0.016,245963.198,0.012
19,2044.0000000000002,771806450.48,0.082,675000746.244,0.069,42796881.785,0.159,45855957.436,0.18,120489371.44,0.027,39188.767,0.03,2.917,0.05,0.193,0.016,248991.014,0.012
20,2044.9999999999993,834744479.705,0.082,721646412.098,0.069,49615953.657,0.159,54087996.065,0.18,123697775.326,0.027,40349.649,0.03,3.064,0.05,0.197,0.021,252056.104,0.012
21,2045.9999999999993,902814877.96,0.082,771515508.674,0.069,57521547.24,0.159,63797846.165,0.18,126991612.935,0.027,41544.92,0.03,3.218,0.05,0.2,0.015,255158.924,0.012
22,2046.9999999999995,976436171.405,0.082,824830789.908,0.069,66686784.249,0.159,75250803.718,0.18,130373159.204,0.027,42775.598,0.03,3.381,0.051,0.204,0.02,258299.94,0.012
23,2048.0,1056061015.503,0.082,881830403.058,0.069,77312370.875,0.159,88759790.503,0.18,133844749.649,0.027,44042.733,0.03,3.551,0.05,0.207,0.015,261479.623,0.012
24,2049.000000000001,1142178978.129,0.082,942768952.46,0.069,89630992.972,0.159,104693903.865,0.18,137408781.977,0.027,45347.403,0.03,3.73,0.05,0.211,0.019,264698.447,0.012
25,2049.999999999999,1235319549.657,0.082,1007918636.781,0.069,103912411.56,0.159,123488501.316,0.18,141067717.738,0.027,46690.722,0.03,3.918,0.05,0.214,0.014,267956.896,0.012
