,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,24897460.377,,24897460.377,,0.0,,0.0,,14244861.317,,13331.222,,0.701,,0.127,,130667.17,
1,2026.0,26960286.416,0.083,26960286.416,0.083,0.0,,0.0,,14902249.305,0.046,13942.259,0.046,0.726,0.036,0.128,0.008,134791.591,0.032
2,2026.9999999999995,29194023.512,0.083,29194023.512,0.083,0.0,,0.0,,15589975.177,0.046,14581.303,0.046,0.751,0.034,0.13,0.016,139046.197,0.032
3,2027.999999999999,31612832.136,0.083,31612832.136,0.083,0.0,,0.0,,16309439.002,0.046,15249.638,0.046,0.778,0.036,0.132,0.015,143435.097,0.032
4,2029.0,34232045.995,0.083,34232045.995,0.083,0.0,,0.0,,17062105.459,0.046,15948.605,0.046,0.806,0.036,0.134,0.015,147962.529,0.032
5,2030.0,37068269.239,0.083,37068269.239,0.083,0.0,,0.0,,17849506.818,0.046,16679.61,0.046,0.834,0.035,0.136,0.015,152632.866,0.032
6,2031.0000000000007,40139481.718,0.083,40139481.718,0.083,0.0,,0.0,,18673246.068,0.046,17444.121,0.046,0.864,0.036,0.137,0.007,157450.62,0.032
7,2032.0000000000005,43465152.964,0.083,43465152.964,0.083,0.0,,0.0,,19535000.169,0.046,18243.673,0.046,0.894,0.035,0.139,0.015,162420.442,0.032
8,2033.0000000000007,47122916.506,0.084,47122916.506,0.084,0.0,,0.0,,20620712.553,0.056,19258.012,0.056,0.918,0.027,0.144,0.036,165319.184,0.018
9,2034.0000000000002,51088495.233,0.084,51088495.233,0.084,0.0,,0.0,,21766766.447,0.056,20328.748,0.056,0.943,0.027,0.15,0.042,168269.66,0.018
10,2034.9999999999993,55387793.005,0.084,55387793.005,0.084,0.0,,0.0,,22976515.498,0.056,21459.016,0.056,0.969,0.028,0.155,0.033,171272.793,0.018
11,2035.9999999999998,60048893.59,0.084,60048893.59,0.084,0.0,,0.0,,24253499.743,0.056,22652.126,0.056,0.995,0.027,0.161,0.039,174329.524,0.018
12,2036.999999999999,65102244.118,0.084,65102244.118,0.084,0.0,,0.0,,25601455.966,0.056,23911.573,0.056,1.022,0.027,0.167,0.037,177440.808,0.018
13,2038.0000000000005,70580853.966,0.084,70580853.966,0.084,0.0,,0.0,,27024328.634,0.056,25241.045,0.056,1.049,0.026,0.173,0.036,180607.62,0.018
14,2038.999999999999,76520510.375,0.084,76520510.375,0.084,0.0,,0.0,,28526281.439,0.056,26644.434,0.056,1.078,0.028,0.18,0.04,183830.951,0.018
15,2039.9999999999998,82960012.228,0.084,82960012.228,0.084,0.0,,0.0,,30111709.48,0.056,28125.851,0.056,1.107,0.027,0.186,0.033,187111.809,0.018
16,2041.0000000000002,90637568.838,0.093,90637568.838,0.093,0.0,,0.0,,31046484.107,0.031,28986.712,0.031,1.174,0.061,0.189,0.016,189995.669,0.015
17,2041.9999999999995,99025646.985,0.093,99025646.985,0.093,0.0,,0.0,,32010277.465,0.031,29873.923,0.031,1.244,0.06,0.192,0.016,192923.977,0.015
18,2043.0,108190002.078,0.093,108190002.078,0.093,0.0,,0.0,,33003990.399,0.031,30788.288,0.031,1.319,0.06,0.195,0.016,195897.417,0.015
19,2044.0000000000002,118202474.873,0.093,118202474.873,0.093,0.0,,0.0,,34028551.72,0.031,31730.64,0.031,1.398,0.06,0.198,0.015,198916.686,0.015
20,2044.9999999999993,129141554.652,0.093,129141554.652,0.093,0.0,,0.0,,35084919.07,0.031,32701.835,0.031,1.482,0.06,0.201,0.015,201982.489,0.015
21,2045.9999999999993,141092994.507,0.093,141092994.507,0.093,0.0,,0.0,,36174079.821,0.031,33702.756,0.031,1.571,0.06,0.204,0.015,205095.544,0.015
22,2046.9999999999995,154150483.572,0.093,154150483.572,0.093,0.0,,0.0,,37297051.999,0.031,34734.312,0.031,1.666,0.06,0.207,0.015,208256.578,0.015
23,2048.0,168416381.469,0.093,168416381.469,0.093,0.0,,0.0,,38454885.23,0.031,35797.442,0.031,1.766,0.06,0.21,0.014,211466.332,0.015
24,2049.000000000001,184002520.719,0.093,184002520.719,0.093,0.0,,0.0,,39648661.725,0.031,36893.111,0.031,1.872,0.06,0.213,0.014,214725.557,0.015
25,2049.999999999999,201031083.41,0.093,201031083.41,0.093,0.0,,0.0,,40879497.291,0.031,38022.317,0.031,1.984,0.06,0.216,0.014,218035.014,0.015
