,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,41382356.63,,41382356.63,,0.0,,0.0,,16593653.964,,21716.111,,0.87,,0.13,,195948.306,
1,2026.0,47167562.322,0.14,47167562.322,0.14,0.0,,0.0,,17437023.159,0.051,22815.436,0.051,0.944,0.085,0.133,0.023,201259.486,0.027
2,2026.9999999999995,53761533.091,0.14,53761533.091,0.14,0.0,,0.0,,18323256.427,0.051,23970.412,0.051,1.024,0.085,0.136,0.023,206714.625,0.027
3,2027.999999999999,61277333.364,0.14,61277333.364,0.14,0.0,,0.0,,19254532.326,0.051,25183.855,0.051,1.111,0.085,0.139,0.022,212317.626,0.027
4,2029.0,69843833.839,0.14,69843833.839,0.14,0.0,,0.0,,20233140.139,0.051,26458.726,0.051,1.205,0.085,0.142,0.022,218072.496,0.027
5,2030.0,79607921.192,0.14,79607921.192,0.14,0.0,,0.0,,21261485.502,0.051,27798.134,0.051,1.308,0.085,0.146,0.028,223983.352,0.027
6,2031.0000000000007,90737016.688,0.14,90737016.688,0.14,0.0,,0.0,,22342096.315,0.051,29205.347,0.051,1.419,0.085,0.149,0.021,230054.422,0.027
7,2032.0000000000005,103421946.888,0.14,103421946.888,0.14,0.0,,0.0,,23477628.96,0.051,30683.796,0.051,1.539,0.085,0.152,0.02,236290.048,0.027
8,2033.0000000000007,113398780.239,0.096,112375104.052,0.087,0.0,,0.0,,23776922.589,0.013,31012.68,0.011,1.67,0.085,0.152,0.0,239489.15,0.014
9,2034.0000000000002,124338051.512,0.096,122103329.039,0.087,0.0,,0.0,,24080031.624,0.013,31345.09,0.011,1.811,0.084,0.152,0.0,242731.564,0.014
10,2034.9999999999993,136332604.47,0.096,132673718.864,0.087,0.0,,0.0,,24387004.703,0.013,31681.063,0.011,1.965,0.085,0.151,-0.007,246017.877,0.014
11,2035.9999999999998,149484239.263,0.096,144159179.081,0.087,0.0,,0.0,,24697891.086,0.013,32020.637,0.011,2.132,0.085,0.151,0.0,249348.683,0.014
12,2036.999999999999,163904576.421,0.096,156638926.618,0.087,0.0,,0.0,,25012740.659,0.013,32363.85,0.011,2.313,0.085,0.15,-0.007,252724.584,0.014
13,2038.0000000000005,179716004.203,0.096,170199036.152,0.087,0.0,,0.0,,25331603.946,0.013,32710.743,0.011,2.509,0.085,0.15,0.0,256146.191,0.014
14,2038.999999999999,197052717.331,0.096,184933033.776,0.087,0.0,,0.0,,25654532.112,0.013,33061.353,0.011,2.722,0.085,0.15,0.0,259614.123,0.014
15,2039.9999999999998,216061855.925,0.096,200942542.068,0.087,7559656.929,inf,7559656.929,inf,25981576.979,0.013,33415.722,0.011,2.952,0.084,0.149,-0.007,263129.007,0.014
16,2041.0000000000002,234267703.87,0.084,215455826.744,0.072,8948000.07,0.184,8948000.092,0.184,26988960.477,0.039,34783.642,0.041,3.075,0.042,0.153,0.027,266426.3,0.013
17,2041.9999999999995,254007616.667,0.084,231017348.543,0.072,10591314.659,0.184,10591314.711,0.184,28035403.249,0.039,36207.561,0.041,3.203,0.042,0.158,0.033,269764.911,0.013
18,2043.0,275410858.002,0.084,247702817.485,0.072,12536426.614,0.184,12536426.704,0.184,29122419.739,0.039,37689.769,0.041,3.337,0.042,0.162,0.025,273145.358,0.013
19,2044.0000000000002,298617583.602,0.084,265593411.822,0.072,14838761.503,0.184,14838761.647,0.184,30251583.112,0.039,39232.654,0.041,3.476,0.042,0.167,0.031,276568.167,0.013
20,2044.9999999999993,323779759.022,0.084,284776172.995,0.072,17563923.895,0.184,17563924.107,0.184,31424527.528,0.039,40838.699,0.041,3.62,0.041,0.171,0.024,280033.867,0.013
21,2045.9999999999993,351062154.774,0.084,305344429.101,0.072,20789566.738,0.184,20789567.039,0.184,32642950.509,0.039,42510.489,0.041,3.771,0.042,0.176,0.029,283542.995,0.013
22,2046.9999999999995,380643425.292,0.084,327398248.956,0.072,24607604.071,0.184,24607604.487,0.184,33908615.396,0.039,44250.717,0.041,3.928,0.042,0.181,0.028,287096.097,0.013
23,2048.0,412717278.828,0.084,351044928.951,0.072,29126830.096,0.184,29126830.658,0.184,35223353.899,0.039,46062.184,0.041,4.091,0.041,0.186,0.028,290693.724,0.013
24,2049.000000000001,447493745.919,0.084,376399515.072,0.072,34476019.24,0.184,34476019.99,0.184,36589068.748,0.039,47947.806,0.041,4.262,0.042,0.191,0.027,294336.432,0.013
25,2049.999999999999,485200554.737,0.084,403585362.619,0.072,40807595.566,0.184,40807596.552,0.184,38007736.45,0.039,49910.618,0.041,4.439,0.042,0.197,0.031,298024.788,0.013
