,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,56204250.197,,56204250.197,,0.0,,0.0,,32502330.629,,27579.698,,1.074,,0.164,,215869.468,
1,2026.0,63121492.475,0.123,63121492.434,0.123,0.0,,0.0,,33793452.802,0.04,28832.373,0.045,1.153,0.074,0.167,0.018,220892.364,0.023
2,2026.9999999999995,70890062.554,0.123,70890062.462,0.123,0.0,,0.0,,35135863.497,0.04,30141.946,0.045,1.239,0.075,0.171,0.024,226032.135,0.023
3,2027.999999999999,79614736.152,0.123,79614735.998,0.123,0.0,,0.0,,36531600.097,0.04,31511.0,0.045,1.331,0.074,0.175,0.023,231291.498,0.023
4,2029.0,89413184.079,0.123,89413183.849,0.123,0.0,,0.0,,37982780.92,0.04,32942.236,0.045,1.43,0.074,0.179,0.023,236673.238,0.023
5,2030.0,100417559.281,0.123,100417558.957,0.123,0.0,,0.0,,39491608.432,0.04,34438.479,0.045,1.536,0.074,0.182,0.017,242180.201,0.023
6,2031.0000000000007,112776279.201,0.123,112776278.765,0.123,0.0,,0.0,,41060372.59,0.04,36002.683,0.045,1.65,0.074,0.186,0.022,247815.301,0.023
7,2032.0000000000005,126656027.507,0.123,126656026.936,0.123,0.286,inf,0.286,inf,42691454.314,0.04,37637.932,0.045,1.773,0.075,0.19,0.022,253581.52,0.023
8,2033.0000000000007,138738156.203,0.095,136482800.292,0.078,2.66,8.301,2.66,8.301,43643528.397,0.022,38450.811,0.022,1.901,0.072,0.192,0.011,256424.518,0.011
9,2034.0000000000002,151972838.288,0.095,147071996.7,0.078,24.768,8.311,24.768,8.311,44616834.951,0.022,39281.246,0.022,2.038,0.072,0.194,0.01,259299.39,0.011
10,2034.9999999999993,166470019.565,0.095,158482769.748,0.078,230.596,8.31,230.596,8.31,45611847.487,0.022,40129.616,0.022,2.186,0.073,0.196,0.01,262206.493,0.011
11,2035.9999999999998,182350133.918,0.095,170778862.535,0.078,2146.905,8.31,2146.905,8.31,46629050.076,0.022,40996.308,0.022,2.344,0.072,0.198,0.01,265146.189,0.011
12,2036.999999999999,199745103.815,0.095,184028963.748,0.078,19988.229,8.31,19988.229,8.31,47668937.585,0.022,41881.719,0.022,2.513,0.072,0.201,0.015,268118.843,0.011
13,2038.0000000000005,218799436.231,0.095,198307091.378,0.078,186095.442,8.31,186095.442,8.31,48732015.917,0.022,42786.252,0.022,2.694,0.072,0.203,0.01,271124.824,0.011
14,2038.999999999999,239671423.133,0.095,213693006.198,0.078,1732595.42,8.31,1732595.42,8.31,49818802.257,0.022,43710.32,0.022,2.889,0.072,0.205,0.01,274164.507,0.011
15,2039.9999999999998,262534456.468,0.095,230272657.325,0.078,16130899.569,8.31,16130899.574,8.31,50929825.323,0.022,44654.346,0.022,3.098,0.072,0.207,0.01,277238.269,0.011
16,2041.0000000000002,282271931.459,0.075,242950824.2,0.055,18527031.171,0.149,19025106.469,0.179,51860817.514,0.018,45520.043,0.019,3.267,0.055,0.209,0.01,279744.567,0.009
17,2041.9999999999995,303493279.935,0.075,256327015.395,0.055,21279091.257,0.149,22438592.126,0.179,52808828.151,0.018,46402.523,0.019,3.446,0.055,0.211,0.01,282273.523,0.009
18,2043.0,326310060.265,0.075,270439662.173,0.055,24439950.5,0.149,26464525.569,0.179,53774168.329,0.018,47302.111,0.019,3.635,0.055,0.213,0.009,284825.342,0.009
19,2044.0000000000002,350842217.835,0.075,285329311.715,0.055,28070333.137,0.149,31212792.213,0.179,54757154.83,0.018,48219.14,0.019,3.834,0.055,0.215,0.009,287400.229,0.009
20,2044.9999999999993,377218715.584,0.075,301038743.612,0.055,32239983.565,0.149,36812993.121,0.179,55758110.228,0.018,49153.946,0.019,4.043,0.055,0.218,0.014,289998.394,0.009
21,2045.9999999999993,405578211.952,0.075,317613092.783,0.055,37029006.217,0.149,43417982.387,0.179,56777362.991,0.018,50106.875,0.019,4.265,0.055,0.22,0.009,292620.047,0.009
22,2046.9999999999995,436069789.791,0.075,335099979.149,0.055,42529404.479,0.149,51208039.193,0.179,57815247.595,0.018,51078.278,0.019,4.498,0.055,0.222,0.009,295265.401,0.009
23,2048.0,468853740.081,0.075,353549644.448,0.055,48846848.191,0.149,60395788.422,0.179,58872104.628,0.018,52068.513,0.019,4.744,0.055,0.224,0.009,297934.669,0.009
24,2049.000000000001,504102404.555,0.075,373015096.589,0.055,56102703.703,0.149,71232004.128,0.179,59948280.902,0.018,53077.946,0.019,5.004,0.055,0.227,0.013,300628.068,0.009
25,2049.999999999999,542001081.689,0.075,393552261.949,0.055,64436365.485,0.149,84012454.256,0.179,61044129.573,0.018,54106.948,0.019,5.278,0.055,0.229,0.009,303345.816,0.009
