,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,AM-Early,AM-Peak,AM-Shoulder,MD,Night,PM-Late,PM-Peak,PM-Shoulder,AM-Early,AM-Peak,AM-Shoulder,MD,Night,PM-Late,PM-Peak,PM-Shoulder,AM-Early,AM-Peak,AM-Shoulder,MD,Night,PM-Late,PM-Peak,PM-Shoulder,AM-Early,AM-Peak,AM-Shoulder,MD,Night,PM-Late,PM-Peak,PM-Shoulder,AM-Early,AM-Peak,AM-Shoulder,MD,Night,PM-Late,PM-Peak,PM-Shoulder,AM-Early,AM-Peak,AM-Shoulder,MD,Night,PM-Late,PM-Peak,PM-Shoulder
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,4720.852363812219,4952.709465675762,4885.270777870531,5934.166138091676,1504.9809343285897,4112.588054086513,6297.538251207615,8146.199071517734,797.6076361877814,971.583734324239,598.2392221294693,707.6818619083231,228.38106567141034,562.6599459134873,1183.6067487923854,881.0489284822668,7049.7712377624375,8641.373989836633,4540.260552238617,6338.92215193295,592.1273484750126,2877.122397420715,10164.101845821955,10366.725338051989,1.949999921105586,1.9499993128679867,1.5201293950963228,1.949999801266069,0.5000734397212582,1.1360317715548072,1.949999960933337,2.6920550285497606,5.849999700691331,5.849997646962037,4.490798385917273,5.821045547693724,1.4508097244937346,3.363554718635007,5.849997476456339,7.600906326088163,0.1767708829558362,0.19999992767180688,0.1329331226820723,0.13051971825923303,0.15882464086473744,0.1467183805736476,0.19335368944198428,0.11880471677310313
2032,NB,2,6766.094481072616,6159.678456038654,6048.797440920316,5899.846885051293,1703.8312132797469,3043.195336828602,5970.123095558997,6237.872774421287,1049.7275189273848,1388.943743961347,700.7645590796842,660.7391149487069,256.54278672025293,440.38266317139806,724.731504441003,784.8332255787129,14624.955030954123,19613.414914241897,5393.520060071514,3705.8775846600456,533.2315008292817,1229.553876037384,4894.361339186443,4165.8979337914325,3.899999995630446,3.8999884425685045,1.9499978279967733,1.5265510863601812,0.5045409573009385,0.7804502534533989,1.9328314760286107,1.5222552968811476,11.699999722662474,11.699943145319068,5.836620358068544,4.480578644150914,1.5121158513125321,2.328981030043761,5.680147910507179,4.492257157368095,0.14703888598773418,0.1999996572351335,0.11337863423539134,0.10937613856114439,0.1422365433667345,0.1373924351777719,0.11761980193797895,0.12144172248704609
2032,NB,3,7550.409671789082,6930.234015840379,6474.274507856181,6523.21316761579,1892.0120533320621,3381.3083802672627,6558.554425824871,6988.9436055480965,1149.7383282109197,1471.9058841596216,1038.3614921438189,779.6848323842104,290.5119466679379,496.92561973273723,893.9213741751286,828.5663944519036,19055.516993844045,24626.376102656348,9554.072781912018,6634.098943431537,839.8322025109529,1979.183969126662,7249.721818156687,6542.29050922887,3.899999981039805,3.8999999812115895,1.9499998677761623,1.9499994218256749,0.5880630965335558,0.9332894998623469,1.9499998218955443,1.9003320352143422,11.699999079884728,11.699999797004669,5.849999054532321,5.8499805924013994,1.7615470960311361,2.776574794733593,5.849994391999681,5.534627122349078,0.15156548031187886,0.19999999590429166,0.1576977336940046,0.1220267106388763,0.15124900666757654,0.14557587963697358,0.13676796955891948,0.12036752496521863
2032,NB,4,8088.362751972999,7689.696707817968,6825.1738545524495,6662.238055755171,1950.080257386042,3484.8503415086902,6396.373572311108,7041.651003561138,871.1052480270014,963.8152921820326,912.0441454475505,858.1959442448286,297.28774261395824,508.03965849130924,1278.6518276888921,1008.6449964388614,6467.881331574671,14239.309232770003,7476.842063880912,6523.896282714449,785.54547908011,1857.1528148101615,9274.747037654124,7280.558993326192,1.9499998644144643,3.8999988772710856,1.9499997992173377,1.9499999897318894,0.6026406342434238,0.9602963361250496,1.949999845667406,1.949999794549972,5.849996346953618,11.699963918888242,5.849997436037201,5.849999698466919,1.8053704210920947,2.858222060185756,5.849999335501997,5.849987273828899,0.11119374677434858,0.12795310337892662,0.13459428359390552,0.1302851046464586,0.15031144566425814,0.1445595540194064,0.18963875715881195,0.14281514897750874
2032,NB,5,6834.324552731908,5956.039079270521,4852.043365723978,4786.364226056649,2010.4022496216626,3671.7727324740636,4654.898074399521,4536.98794804684,1301.7694472680926,1134.482820729479,924.1986342760221,911.6857739433517,382.9337503783376,699.3852675259363,886.6470256004801,864.1880519531604,4732.838641515066,4131.04742523442,3695.896527819871,3392.7434036611526,645.7295758682458,1644.8108323180343,3133.1453311914415,3039.3156678224545,1.5599979401514323,1.5599995899051464,1.55999949330967,1.5599966892755084,0.6372848344478615,1.0193269969731382,1.5599997915979857,1.5599995572415286,4.679995533529428,4.679998970453002,4.679998788780189,4.679848119337676,1.9103293864976278,3.044762290394696,4.679998423693387,4.679997072292306,0.1999990717509394,0.19999987076843073,0.1999999853142796,0.19999966750055623,0.19999999520112904,0.1999999964429364,0.19999995502061493,0.199999983427258
2032,NB,6,5103.554128768797,4475.246264862494,3563.6872425195393,3526.49917344403,1464.1879293777188,2652.361461100198,3393.9363615848056,3264.8105106991675,600.2618712312025,496.11943513750634,486.12875748046105,468.9528265559703,213.25807062228137,412.15253889980187,491.248438415194,522.2394893008326,959.9142724685474,930.5093195655796,722.4944253279607,565.9731700533137,184.04744297090534,447.5445649206937,761.1086779473303,540.3627586219955,1.0565375113781637,1.2373233148394902,0.8924142084272335,0.778678884280003,0.5000009924701783,0.7236385141474703,1.0526394891376591,0.7062465169433851,3.1538257187002534,3.6927509666256126,2.6721694837791166,2.33093398412562,1.4156456947737441,2.1673545218727703,3.151210449313812,2.115875987897406,0.13153110763135217,0.12472669707604853,0.1500350771972368,0.14670595121562502,0.1556496708233598,0.16810971725776078,0.15804907153071293,0.17237541733804532
2032,NB,7,8141.219685330173,6682.419439963481,5437.501593819939,5882.780635692992,1782.1950703608354,3862.750989132961,5261.518617690662,5718.982909176688,800.2203146698274,972.1897600365195,527.9604061800607,656.981364307007,254.4929296391649,512.9490108670394,1002.1933823093384,821.1170908233127,1089.3771574568955,1325.0731476164449,360.2699837078221,660.4748711638767,100.13752517539677,324.76303674853756,1326.0002572323438,1082.094530477326,1.9499914850267335,1.9499996252730616,0.8876671606325186,1.407548893656267,0.5000108663822095,0.9140854235005517,1.9499992411716247,1.949993593340147,5.826569769293701,5.8499989445426515,2.6591303174623073,4.209067766509969,1.4837958766917563,2.7383235464694886,5.8499962723423575,5.849933041239889,0.11191602255426177,0.15885364652603,0.1106209927062671,0.12556244355883853,0.15562827883918287,0.14652902720707664,0.19999990005721743,0.15701081013359086
2032,SB,1,7971.700162458371,7588.002644366191,6981.804795630786,6409.875947589992,1964.2162240380696,3466.946730752448,6382.849910032231,7165.354651111249,928.5818375416288,1008.0827556338095,709.8652043692128,1062.0760524100072,270.3817759619305,499.6192692475523,1239.0223899677699,829.8253488887509,8161.739610207608,8902.08082713345,6876.074964524552,9574.792419110774,732.23621786626,2108.8115290396163,10630.11031050316,11891.27925556851,1.949999962146692,1.9499992633678773,1.9499998991928162,1.949999494357504,0.5212545238881362,0.9369340472635991,1.9499998610248537,3.280105053212469,5.849998653804392,5.849992928821301,5.723844403484341,5.8499950722745435,1.561543609830313,2.7860782209038684,5.84999944043223,9.226552369647399,0.12805133597958673,0.1437016268232105,0.11270811193437284,0.173973582247589,0.14754863996342513,0.15357540724993862,0.19864779839736052,0.12632970867683557
