,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Segment 5 Revenue,Var Segment 5 Revenue (%),Segment 5 Transactions,Var Segment 5 Transactions (%),Segment 5 AADT,Var Segment 5 AADT (%),Segment 5 Toll/AADT/mi,Var Segment 5 Toll/AADT/mi (%)
0,2032,338536367,,62287017.03,,25423.24516,,2.038114,,32127293.71,,10513673.38,,28804.5846,,1.527881,
1,2033,367431997.9,0.085354584,63155882.17,0.013949378,25781.7665,0.014102108,2.181315,0.070261526,33400944.11,0.039643875,10668290.95,0.014706332,29228.19438,0.014706332,1.565431,0.024576521
2,2034,398794003.3,0.085354584,64036867.45,0.013949378,26145.34375,0.014102108,2.334578,0.070261746,34725086.95,0.039643875,10825182.37,0.014706332,29658.0339,0.014706332,1.603903,0.024575979
3,2035,432832899.6,0.085354584,64930141.92,0.013949378,26514.0482,0.014102108,2.498609,0.07026152,36101723.94,0.039643875,10984381.1,0.014706332,30094.19479,0.014706332,1.643321,0.024576299
4,2036,469777171.7,0.085354584,65835877.02,0.013949378,26887.95216,0.014102108,2.674166,0.070261894,37532936.15,0.039643875,11145921.05,0.014706332,30536.77,0.014706332,1.683707,0.024575844
5,2037,509874806.9,0.085354584,66754246.55,0.013949378,27267.12896,0.014102108,2.862057,0.070261532,39020887.16,0.039643875,11309836.66,0.014706332,30985.85387,0.014706332,1.725086,0.024576129
6,2038,553394959,0.085354584,67685426.77,0.013949378,27651.65295,0.014102108,3.06315,0.070261703,40567826.32,0.039643875,11476162.87,0.014706332,31441.54212,0.014706332,1.767482,0.024576166
7,2039,600629755.6,0.085354584,68629596.38,0.013949378,28041.59954,0.014102108,3.278371,0.070261332,42176092.14,0.039643875,11644935.13,0.014706332,31903.93188,0.014706332,1.81092,0.024576205
8,2040,651896258.7,0.085354584,69586936.56,0.013949378,28437.0452,0.014102108,3.508715,0.070261724,43848115.84,0.039643875,11816189.41,0.014706332,32373.12168,0.014706332,1.855425,0.024575906
9,2041,690100422.1,0.058604667,71086887.67,0.021555067,29144.18945,0.024867009,3.624219,0.032919174,45437839.77,0.036255239,11947318.8,0.011097434,32732.38027,0.011097434,1.901592,0.02488217
10,2042,730543527.7,0.058604667,72619170.32,0.021555067,29868.91827,0.024867009,3.743525,0.032919092,47085199.52,0.036255239,12079903.38,0.011097434,33095.6257,0.011097434,1.948906,0.024881257
11,2043,773356788.1,0.058604667,74184481.43,0.021555067,30611.66893,0.024867009,3.866758,0.032918973,48792284.69,0.036255239,12213959.31,0.011097434,33462.90222,0.011097434,1.997398,0.024881652
12,2044,818679105.4,0.058604667,75783532.92,0.021555067,31372.88958,0.024867009,3.994048,0.03291905,50561260.64,0.036255239,12349502.92,0.011097434,33834.25457,0.011097434,2.047097,0.024881871
13,2045,866657522.1,0.058604667,77417052.08,0.021555067,32153.0395,0.024867009,4.125528,0.032918983,52394371.23,0.036255239,12486550.71,0.011097434,34209.72797,0.011097434,2.098032,0.024881576
14,2046,917447697.9,0.058604667,79085781.85,0.021555067,32952.58942,0.024867009,4.261337,0.03291918,54293941.69,0.036255239,12625119.38,0.011097434,34589.36817,0.011097434,2.150235,0.024881889
15,2047,971214415,0.058604667,80790481.2,0.021555067,33772.02176,0.024867009,4.401616,0.032919011,56262381.53,0.036255239,12765225.81,0.011097434,34973.2214,0.011097434,2.203736,0.024881466
16,2048,1028132113,0.058604667,82531925.47,0.021555067,34611.83093,0.024867009,4.546513,0.032919046,58302187.63,0.036255239,12906887.06,0.011097434,35361.33442,0.011097434,2.258569,0.024881837
17,2049,1088385453,0.058604667,84310906.68,0.021555067,35472.52363,0.024867009,4.69618,0.032919074,60415947.38,0.036255239,13050120.39,0.011097434,35753.75449,0.011097434,2.314766,0.024881684
18,2050,1152169921,0.058604667,86128233.95,0.021555067,36354.6192,0.024867009,4.850774,0.032919096,62606342,0.036255239,13194943.24,0.011097434,36150.52943,0.011097434,2.372361,0.024881565
